generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,78574,49445,49445,0.0,0.0,0.5,4.0,6.0,linear
2,78333,49303,49303,0.0,0.0,0.5,4.0,6.0,linear
3,79646,50208,50208,0.0,0.0,0.5,4.0,6.0,linear
4,79675,50560,50560,0.0,0.0,0.5,4.0,6.0,linear
5,78382,50071,50071,0.0,0.0,0.5,4.0,6.0,linear
6,78435,50123,50123,0.0,0.0,0.5,4.0,6.0,linear
7,77564,49795,49795,0.0,0.0,0.5,4.0,6.0,linear
8,77471,49575,49575,0.0,0.0,0.5,4.0,6.0,linear
9,78274,50028,50028,0.0,0.0,0.5,4.0,6.0,linear
10,79889,50623,50623,0.0,0.0,0.5,4.0,6.0,linear
11,78489,49980,49980,0.0,0.0,0.5,4.0,6.0,linear
12,102046,49735,49735,0.197197,0.211442,0.5,4.0,6.0,linear
13,112713,48349,48349,0.28836,0.322136,0.5,4.0,6.0,linear
14,109007,44670,44670,0.316192,0.378738,0.5,4.0,6.0,linear
15,107897,41332,41332,0.345045,0.438164,0.5,4.0,6.0,linear
16,107292,37975,37975,0.371863,0.497461,0.5,4.0,6.0,linear
17,107224,34460,34460,0.39528,0.547014,0.5,4.0,6.0,linear
18,106530,31037,31037,0.414986,0.589034,0.5,4.0,6.0,linear
19,106283,28591,28591,0.428755,0.617351,0.5,4.0,6.0,linear
20,105891,26930,26930,0.440933,0.640048,0.5,4.0,6.0,linear
21,104356,25068,25068,0.451268,0.658311,0.5,4.0,6.0,linear
22,102852,23481,23481,0.460701,0.672684,0.5,4.0,6.0,linear
23,101032,22252,22252,0.468735,0.684599,0.5,4.0,6.0,linear
24,98805,21049,21049,0.475684,0.69516,0.5,4.0,6.0,linear
25,97319,19945,19945,0.482004,0.703924,0.5,4.0,6.0,linear
26,96386,19074,19074,0.489736,0.713469,0.5,4.0,6.0,linear
27,94745,18184,18184,0.497614,0.723769,0.5,4.0,6.0,linear
28,92843,17197,17197,0.502464,0.728547,0.5,4.0,6.0,linear
29,90700,16514,16514,0.508343,0.73677,0.5,4.0,6.0,linear
30,89594,15713,15713,0.515942,0.745802,0.5,4.0,6.0,linear
31,87611,14878,14878,0.522904,0.754148,0.5,4.0,6.0,linear
32,86542,13993,13993,0.532098,0.762839,0.5,4.0,6.0,linear
33,84325,13223,13223,0.537403,0.768048,0.5,4.0,6.0,linear
34,82592,12718,12718,0.542829,0.772415,0.5,4.0,6.0,linear
35,81101,12111,12111,0.551283,0.781577,0.5,4.0,6.0,linear
36,79439,11365,11365,0.559777,0.790552,0.5,4.0,6.0,linear
37,77569,10633,10633,0.56909,0.799963,0.5,4.0,6.0,linear
38,75819,9885,9885,0.577516,0.805574,0.5,4.0,6.0,linear
39,73520,9253,9253,0.589076,0.814846,0.5,4.0,6.0,linear
40,71126,8459,8459,0.599843,0.823151,0.5,4.0,6.0,linear
41,69328,7782,7782,0.609752,0.829773,0.5,4.0,6.0,linear
42,67568,7478,7478,0.6209,0.837949,0.5,4.0,6.0,linear
43,65388,6886,6886,0.630134,0.843821,0.5,4.0,6.0,linear
44,64072,6417,6417,0.640443,0.850231,0.5,4.0,6.0,linear
45,62523,5896,5896,0.651374,0.859116,0.5,4.0,6.0,linear
46,60890,5385,5385,0.665117,0.869385,0.5,4.0,6.0,linear
47,58965,4762,4762,0.679441,0.879525,0.5,4.0,6.0,linear
48,57391,4243,4243,0.697696,0.891312,0.5,4.0,6.0,linear
49,55334,3615,3615,0.716824,0.902479,0.5,4.0,6.0,linear
50,53326,3088,3088,0.736916,0.913678,0.5,4.0,6.0,linear
51,51281,2624,2624,0.758644,0.925685,0.5,4.0,6.0,linear
52,49140,2191,2191,0.782527,0.934589,0.5,4.0,6.0,linear
53,47265,1777,1777,0.805508,0.943747,0.5,4.0,6.0,linear
54,45567,1449,1449,0.827725,0.953614,0.5,4.0,6.0,linear
55,44085,1135,1135,0.848982,0.959827,0.5,4.0,6.0,linear
56,42690,918,918,0.875403,0.968147,0.5,4.0,6.0,linear
57,41114,672,672,0.895903,0.975918,0.5,4.0,6.0,linear
58,39863,477,477,0.918446,0.982868,0.5,4.0,6.0,linear
59,39020,336,336,0.935271,0.987948,0.5,4.0,6.0,linear
60,38462,217,217,0.953048,0.990987,0.5,4.0,6.0,linear
61,37742,146,146,0.966089,0.994212,0.5,4.0,6.0,linear
62,37082,92,92,0.977373,0.996298,0.5,4.0,6.0,linear
63,36743,54,54,0.984511,0.997789,0.5,4.0,6.0,linear
64,36571,29,29,0.990194,0.998912,0.5,4.0,6.0,linear
65,36295,17,17,0.994219,0.999451,0.5,4.0,6.0,linear
66,36392,10,10,0.996653,0.999726,0.5,4.0,6.0,linear
67,36335,7,7,0.998034,0.999808,0.5,4.0,6.0,linear
68,36140,1,1,0.999156,0.999972,0.5,4.0,6.0,linear
69,36080,1,1,0.999432,0.999972,0.5,4.0,6.0,linear
70,36102,1,1,0.999571,0.999972,0.5,4.0,6.0,linear
71,36168,1,1,0.999724,0.999972,0.5,4.0,6.0,linear
72,36164,0,0,0.999779,1.0,0.5,4.0,6.0,linear

