generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,78678,49507,49507,0.0,0.0,0.5,5.0,6.0,linear
2,78836,49571,49571,0.0,0.0,0.5,5.0,6.0,linear
3,79085,49679,49679,0.0,0.0,0.5,5.0,6.0,linear
4,79585,50167,50167,0.0,0.0,0.5,5.0,6.0,linear
5,78575,49926,49926,0.0,0.0,0.5,5.0,6.0,linear
6,78489,49969,49969,0.0,0.0,0.5,5.0,6.0,linear
7,78900,50183,50183,0.0,0.0,0.5,5.0,6.0,linear
8,77932,49727,49727,0.0,0.0,0.5,5.0,6.0,linear
9,77633,49575,49575,0.0,0.0,0.5,5.0,6.0,linear
10,79233,50191,50191,0.0,0.0,0.5,5.0,6.0,linear
11,78722,49988,49988,0.0,0.0,0.5,5.0,6.0,linear
12,108318,49662,49662,0.233321,0.248276,0.5,5.0,6.0,linear
13,121509,47885,47885,0.334117,0.368176,0.5,5.0,6.0,linear
14,117307,44024,44024,0.362929,0.426523,0.5,5.0,6.0,linear
15,115891,40245,40245,0.391166,0.487134,0.5,5.0,6.0,linear
16,116145,36708,36708,0.41525,0.540554,0.5,5.0,6.0,linear
17,116397,33415,33415,0.438307,0.589995,0.5,5.0,6.0,linear
18,115459,30082,30082,0.457137,0.629395,0.5,5.0,6.0,linear
19,114294,27465,27465,0.472739,0.659689,0.5,5.0,6.0,linear
20,112807,25155,25155,0.486147,0.683292,0.5,5.0,6.0,linear
21,111141,23102,23102,0.496889,0.701666,0.5,5.0,6.0,linear
22,109273,21422,21422,0.506478,0.715686,0.5,5.0,6.0,linear
23,107572,19858,19858,0.517076,0.730098,0.5,5.0,6.0,linear
24,105142,18514,18514,0.527258,0.743125,0.5,5.0,6.0,linear
25,102546,17229,17229,0.537411,0.755057,0.5,5.0,6.0,linear
26,99783,15994,15994,0.546194,0.764906,0.5,5.0,6.0,linear
27,97442,14932,14932,0.556104,0.774523,0.5,5.0,6.0,linear
28,95072,13912,13912,0.564903,0.783344,0.5,5.0,6.0,linear
29,93522,12943,12943,0.574762,0.792926,0.5,5.0,6.0,linear
30,91455,12161,12161,0.584203,0.800979,0.5,5.0,6.0,linear
31,89277,11437,11437,0.593897,0.80897,0.5,5.0,6.0,linear
32,86662,10713,10713,0.602347,0.81668,0.5,5.0,6.0,linear
33,84741,9850,9850,0.613116,0.824903,0.5,5.0,6.0,linear
34,82729,9157,9157,0.625531,0.83545,0.5,5.0,6.0,linear
35,80331,8386,8386,0.635863,0.844922,0.5,5.0,6.0,linear
36,78721,7635,7635,0.650847,0.856043,0.5,5.0,6.0,linear
37,76470,6805,6805,0.664552,0.866775,0.5,5.0,6.0,linear
38,73714,6084,6084,0.680478,0.87718,0.5,5.0,6.0,linear
39,71027,5370,5370,0.695701,0.886493,0.5,5.0,6.0,linear
40,68610,4756,4756,0.713299,0.897647,0.5,5.0,6.0,linear
41,66562,4109,4109,0.734339,0.907076,0.5,5.0,6.0,linear
42,63935,3527,3527,0.75423,0.916401,0.5,5.0,6.0,linear
43,61695,2971,2971,0.776266,0.928054,0.5,5.0,6.0,linear
44,59395,2445,2445,0.796293,0.937167,0.5,5.0,6.0,linear
45,57647,2077,2077,0.818222,0.946086,0.5,5.0,6.0,linear
46,55699,1656,1656,0.840157,0.956651,0.5,5.0,6.0,linear
47,53844,1246,1246,0.860818,0.96495,0.5,5.0,6.0,linear
48,52293,929,929,0.885214,0.973081,0.5,5.0,6.0,linear
49,50977,682,682,0.90744,0.979993,0.5,5.0,6.0,linear
50,49652,494,494,0.929605,0.98476,0.5,5.0,6.0,linear
51,48199,333,333,0.946896,0.989454,0.5,5.0,6.0,linear
52,47612,236,236,0.960914,0.993057,0.5,5.0,6.0,linear
53,46711,178,178,0.971578,0.99472,0.5,5.0,6.0,linear
54,46362,119,119,0.979764,0.996654,0.5,5.0,6.0,linear
55,46045,74,74,0.984793,0.997937,0.5,5.0,6.0,linear
56,45676,51,51,0.99026,0.998693,0.5,5.0,6.0,linear
57,45480,31,31,0.993871,0.999276,0.5,5.0,6.0,linear
58,45166,15,15,0.996596,0.999668,0.5,5.0,6.0,linear
59,45171,7,7,0.998198,0.999845,0.5,5.0,6.0,linear
60,45274,3,3,0.999084,0.999934,0.5,5.0,6.0,linear
61,45218,1,1,0.999271,0.999978,0.5,5.0,6.0,linear
62,45170,0,0,0.999712,1.0,0.5,5.0,6.0,linear

