generation,adult_population_size,adult_female_population_size,juvenile_population_size,adult_drive_frequency,juvenile_drive_frequency,drive_efficiency
119,77412,49390,29577,0.0,0.0,0.25
120,78863,49992,29494,0.0,0.0,0.25
121,79656,50450,28212,0.0,0.0,0.25
122,79115,50221,26808,0.0,0.0,0.25
123,77085,49195,29755,0.0,0.0,0.25
124,78557,50144,29629,0.0,0.0,0.25
125,79706,50707,27460,0.0,0.0,0.25
126,78236,49900,28063,0.0,0.0,0.25
127,77794,49623,29766,0.0,0.0,0.25
128,79217,50327,28358,0.0,0.0,0.25
129,78973,50005,26946,0.0,0.0,0.25
130,77089,49114,29724,0.0,0.0,0.25
131,78501,50023,29288,0.0,0.0,0.25
132,79642,50677,28036,0.0,0.0,0.25
133,79039,50326,28057,0.0,0.0,0.25
134,78167,49891,28373,0.0,0.0,0.25
135,78099,49819,28993,0.0,0.0,0.25
136,78391,49872,28557,0.0,0.0,0.25
137,78415,49785,28481,0.0,0.0,0.25
138,78301,49831,29139,0.0,0.0,0.25
139,78991,50255,28587,0.0,0.0,0.25
140,78962,50271,27948,0.0,0.0,0.25
141,78302,49748,28531,0.0,0.0,0.25
142,78145,49795,29335,0.0,0.0,0.25
143,78881,50059,28393,0.0,0.0,0.25
144,78615,49970,28367,0.0,0.0,0.25
145,78462,49888,29006,0.0,0.0,0.25
146,78889,50116,27905,0.0,0.0,0.25
147,78189,50039,29014,0.0,0.0,0.25
148,78915,50381,28460,0.0,0.0,0.25
149,78588,50210,27397,0.0,0.0,0.25
150,77623,49656,28633,0.0,0.0,0.25
151,77609,49722,29256,0.0,0.0,0.25
152,78887,50273,28206,0.0,0.0,0.25
153,78407,49970,28127,0.0,0.0,0.25
154,78299,49878,28110,0.0,0.0,0.25
155,77903,49583,29817,0.0,0.0,0.25
156,79425,50285,29345,0.0,0.0,0.25
157,79870,50540,27609,0.0,0.0,0.25
158,78352,49797,28033,0.0,0.0,0.25
159,77479,49509,29103,0.0,0.0,0.25
160,78567,50063,28436,0.0,0.0,0.25
161,78536,49838,27402,0.0,0.0,0.25
162,77350,49436,29515,0.0,0.0,0.25
163,78224,49753,29504,0.0,0.0,0.25
164,79442,50262,29056,0.0,0.0,0.25
165,79716,50511,28553,0.0,0.0,0.25
166,79142,50535,27425,0.0,0.0,0.25
167,77972,49890,28730,0.0,0.0,0.25
168,78498,50257,28478,0.0,0.0,0.25
169,78447,50043,28350,0.0,0.0,0.25
170,78271,50013,28534,0.0,0.0,0.25
171,78242,49823,28334,0.0,0.0,0.25
172,78049,49702,29480,0.0,0.0,0.25
173,79145,50433,28686,0.0,0.0,0.25
174,78974,50253,29163,0.0,0.0,0.25
175,79581,50601,27553,0.0,0.0,0.25
176,78276,50104,27722,0.0,0.0,0.25
177,77397,49593,28278,0.0,0.0,0.25
178,77444,49575,30370,0.0,0.0,0.25
179,79529,50387,28804,0.0,0.0,0.25
180,79566,50316,26712,0.0,0.0,0.25
181,77475,49259,28982,0.0,0.0,0.25
182,77972,49622,29778,0.0,0.0,0.25
183,79261,50247,29385,0.0,0.0,0.25
184,80110,50615,27130,0.0,0.0,0.25
185,78167,49782,28007,0.0,0.0,0.25
186,77597,49687,29672,0.0,0.0,0.25
187,79103,50386,28922,0.0,0.0,0.25
188,79376,50342,27149,0.0,0.0,0.25
189,77868,49730,28433,0.0,0.0,0.25
190,77846,49674,29133,0.0,0.0,0.25
191,78453,49614,28902,0.0,0.0,0.25
192,78849,49690,29302,0.0,0.0,0.25
193,79394,50174,28543,0.0,0.0,0.25
194,79016,50192,27695,0.0,0.0,0.25
195,77759,49684,28598,0.0,0.0,0.25
196,77937,49562,28588,0.0,0.0,0.25
197,78070,49535,30073,0.0,0.0,0.25
198,79578,50145,28571,0.0,0.0,0.25
199,79254,50182,27923,0.0,0.0,0.25
200,78389,49876,28641,0.0,0.0,0.25
201,78332,49679,29630,0.0,0.0,0.25
202,79414,50438,28746,0.0,0.0,0.25
203,79305,50404,27266,0.0,0.0,0.25
204,77508,49555,27901,0.0,0.0,0.25
205,77171,49154,29356,0.0,0.0,0.25
206,78460,49816,29336,0.0,0.0,0.25
207,79475,50426,27930,0.0,0.0,0.25
208,78636,50136,27992,0.0,0.0,0.25
209,77979,50031,28249,0.0,0.0,0.25
210,77844,49806,28002,0.0,0.0,0.25
211,77511,49465,29068,0.0,0.0,0.25
212,78283,49684,29575,0.0,0.0,0.25
213,79325,50292,28376,0.0,0.0,0.25
214,79068,50231,27268,0.0,0.0,0.25
215,77673,49644,28980,0.0,0.0,0.25
216,78386,50017,28939,0.0,0.0,0.25
217,78604,50041,28241,0.0,0.0,0.25
218,78313,49714,27915,0.0,0.0,0.25
219,77624,49462,30018,0.0,0.0,0.25
220,79339,50391,28844,0.0,0.0,0.25
221,79617,50615,28407,0.0,0.0,0.25
222,79182,50321,27158,0.0,0.0,0.25
223,77167,49301,29281,0.0,0.0,0.25
224,78111,49644,28770,0.0,0.0,0.25
225,78554,49809,29762,0.0,0.0,0.25
226,79824,50391,27298,0.0,0.0,0.25
227,78118,49731,28205,0.0,0.0,0.25
228,77949,49754,29672,0.0,0.0,0.25
229,79153,50339,28003,0.0,0.0,0.25
230,78679,49847,27544,0.0,0.0,0.25
231,77481,49308,30004,0.0,0.0,0.25
232,78852,49996,29212,0.0,0.0,0.25
233,79657,50496,28168,0.0,0.0,0.25
234,78944,50106,27675,0.0,0.0,0.25
235,77880,49778,28967,0.0,0.0,0.25
236,78602,50217,29536,0.0,0.0,0.25
237,79627,50632,27339,0.0,0.0,0.25
238,78212,49925,28399,0.0,0.0,0.25
239,78040,49982,28193,0.0,0.0,0.25
240,77756,49675,28693,0.0,0.0,0.25
241,78304,49654,29287,0.0,0.0,0.25
