generation,adult_population_size,adult_female_population_size,juvenile_population_size,adult_drive_frequency,juvenile_drive_frequency,drive_efficiency
1,78314,49321,28340,0.0,0.0,0.0
2,78115,49294,29905,0.0,0.0,0.0
3,79625,50151,29302,0.0,0.0,0.0
4,80013,50419,27341,0.0,0.0,0.0
5,77998,49608,28564,0.0,0.0,0.0
6,78096,49698,29277,0.0,0.0,0.0
7,78944,50271,28264,0.0,0.0,0.0
8,78676,50016,28523,0.0,0.0,0.0
9,78464,49750,28165,0.0,0.0,0.0
10,77785,49438,29191,0.0,0.0,0.0
11,78701,50015,28520,0.0,0.0,0.0
12,96942,50062,29523,0.187308,0.0782949,0.0
13,104331,48211,29062,0.269891,0.157061,0.0
14,100239,44241,31325,0.298621,0.22514,0.0
15,97127,39746,37239,0.33554,0.273154,0.0
16,96587,35720,39937,0.364097,0.3094,0.0
17,96338,31663,42155,0.391538,0.335097,0.0
18,96179,28432,43201,0.414394,0.352411,0.0
19,95149,25938,42980,0.435538,0.353315,0.0
20,94173,24422,42937,0.446471,0.353401,0.0
21,75246,23262,42210,0.321466,0.33787,0.0
22,65993,23118,41321,0.224584,0.305922,0.0
23,66281,24496,41899,0.204357,0.256522,0.0
24,69538,27759,42781,0.171503,0.214827,0.0
25,74827,32450,43695,0.137243,0.180341,0.0
26,81418,38210,42839,0.10884,0.14949,0.0
27,86650,43615,39035,0.0842758,0.127065,0.0
28,88170,47084,34041,0.0670012,0.109383,0.0
29,85160,47952,31094,0.0533819,0.0924616,0.0
30,80919,47482,30800,0.043457,0.0806006,0.0
31,78209,46561,32361,0.0363833,0.0696981,0.0
32,78597,46924,33020,0.0312162,0.0575106,0.0
33,80435,47954,32434,0.0263691,0.0500555,0.0
34,81404,48973,30213,0.0223453,0.0421507,0.0
35,80459,49073,29820,0.0190594,0.035949,0.0
36,79492,49069,29526,0.0162972,0.0318194,0.0
37,78661,48995,29466,0.0135391,0.0254022,0.0
38,78538,48925,30522,0.0114149,0.0239827,0.0
39,79388,49251,30714,0.00990074,0.0191606,0.0
40,80470,49783,27709,0.00833851,0.0172868,0.0
41,78330,48973,29591,0.00696413,0.0141766,0.0
42,78720,49402,29562,0.00600229,0.0123638,0.0
43,79069,49625,30051,0.00510946,0.0111144,0.0
44,80137,50141,29030,0.00459838,0.00857733,0.0
45,79633,50121,28872,0.003761,0.00727348,0.0
46,79188,50016,27692,0.00308759,0.00655424,0.0
47,77824,49354,29026,0.00253778,0.00611521,0.0
48,78315,49488,29604,0.00227287,0.00435752,0.0
49,79130,49824,28197,0.00187666,0.0043799,0.0
50,78186,49531,30012,0.00177781,0.00348194,0.0
51,79615,50152,29230,0.00151353,0.00251454,0.0
52,79871,50483,27966,0.00132088,0.00255668,0.0
53,78630,49959,27449,0.00118911,0.00225873,0.0
54,77208,49455,29717,0.000984354,0.00249016,0.0
55,78483,49965,29142,0.000911025,0.00126965,0.0
56,79081,50055,27870,0.000670199,0.00163258,0.0
57,78352,49647,28333,0.000593476,0.00121766,0.0
58,78129,49632,29249,0.000467176,0.00116243,0.0
59,78718,49935,29225,0.00042557,0.00111206,0.0
60,79225,50158,27636,0.000397602,0.000741786,0.0
61,78218,49626,28519,0.000357974,0.000455836,0.0
62,78018,49684,29091,0.000224307,0.000618748,0.0
63,78605,49672,29549,0.000216271,0.000338421,0.0
64,79385,50060,28344,0.00015746,0.000352808,0.0
65,78801,49794,28498,0.000107867,0.000403537,0.0
66,78453,49856,29238,0.000146585,0.000136808,0.0
67,79260,50451,28552,0.000126167,0.000350238,0.0
68,79157,50330,27628,0.000126331,0.000289561,0.0
69,77758,49813,28588,0.000102883,0.000262348,0.0
70,78170,50038,28068,0.000127926,0.000285022,0.0
71,77895,49955,29025,0.000128378,0.000310078,0.0
72,78647,50134,28444,0.000133508,0.000175784,0.0
73,78333,49852,27963,8.93621e-05,0.000250331,0.0
74,77973,49606,29121,0.000115425,0.000412074,0.0
75,78674,50061,28635,0.000133462,0.000261917,0.0
76,78554,50080,28814,0.000152761,0.000329701,0.0
77,79019,50264,27499,0.000132879,0.000181825,0.0
78,77702,49709,28245,7.07832e-05,0.000354045,0.0
79,77672,49626,30235,7.08106e-05,0.000148834,0.0
80,79524,50580,27503,8.17363e-05,5.45395e-05,0.0
81,78446,49888,28598,5.09905e-05,3.49675e-05,0.0
82,78357,49971,29379,1.27621e-05,5.10569e-05,0.0
83,79235,50402,27646,1.26207e-05,0.000144686,0.0
84,78292,49988,27728,2.55454e-05,9.01616e-05,0.0
85,77568,49591,28148,4.51217e-05,5.32898e-05,0.0
86,77268,49363,29508,1.2942e-05,0.00018639,0.0
87,78543,49927,29686,3.81956e-05,6.73718e-05,0.0
88,79873,50486,27946,4.38196e-05,3.57833e-05,0.0
89,78731,50007,28118,5.08059e-05,3.55644e-05,0.0
90,78235,49797,28581,2.5564e-05,6.99766e-05,0.0
91,78347,49923,28441,2.55275e-05,3.51605e-05,0.0
92,78468,49947,28879,2.54881e-05,5.19409e-05,0.0
93,78587,49875,27906,1.90871e-05,1.79173e-05,0.0
94,78058,49711,29400,1.92165e-05,0.0,0.0
95,78932,50071,28564,0.0,3.50091e-05,0.0
96,79067,50262,28816,6.32375e-06,0.0,0.0
97,79427,50620,27994,0.0,1.7861e-05,0.0
98,78555,49991,28364,0.0,0.0,0.0
99,78380,49752,27736,0.0,1.80271e-05,0.0
100,77541,49342,30507,6.4482e-06,0.0,0.0
101,79536,50201,28801,6.28646e-06,0.0,0.0
102,79666,50186,29091,0.0,1.71874e-05,0.0
103,79746,50475,27638,0.0,0.0,0.0
104,78204,49802,28166,0.0,1.77519e-05,0.0
105,77894,49885,29662,0.0,0.0,0.0
106,79269,50525,28834,0.0,0.0,0.0
107,79334,50396,27756,0.0,0.0,0.0
108,78255,50023,27936,0.0,0.0,0.0
109,77697,49646,29478,0.0,0.0,0.0
110,78686,49934,28315,0.0,0.0,0.0
111,78435,49760,28767,0.0,0.0,0.0
112,78589,49956,29607,0.0,0.0,0.0
113,79834,50872,27750,0.0,0.0,0.0
114,78849,50502,28050,0.0,0.0,0.0
115,78022,49930,28201,0.0,0.0,0.0
116,77693,49463,28552,0.0,0.0,0.0
117,78266,49846,29192,0.0,0.0,0.0
118,79067,50151,30059,0.0,0.0,0.0
119,80216,50647,27985,0.0,0.0,0.0
120,79196,50435,27757,0.0,0.0,0.0
121,78030,49784,28945,0.0,0.0,0.0
122,78366,49983,28992,0.0,0.0,0.0
123,78933,50179,28636,0.0,0.0,0.0
124,78764,50019,28196,0.0,0.0,0.0
125,78163,49775,29071,0.0,0.0,0.0
126,78650,49946,28073,0.0,0.0,0.0
127,78212,50012,28932,0.0,0.0,0.0
128,78510,50082,28526,0.0,0.0,0.0
129,78715,50188,28563,0.0,0.0,0.0
130,78806,50350,28519,0.0,0.0,0.0
131,78995,50338,28407,0.0,0.0,0.0
132,78666,50041,29102,0.0,0.0,0.0
133,78921,50082,28645,0.0,0.0,0.0
134,78791,49998,28036,0.0,0.0,0.0
135,78195,49769,28411,0.0,0.0,0.0
136,78156,49825,28492,0.0,0.0,0.0
137,78088,50007,29751,0.0,0.0,0.0
138,79748,50837,27263,0.0,0.0,0.0
139,78236,50116,27029,0.0,0.0,0.0
140,76737,49281,28718,0.0,0.0,0.0
141,77402,49334,28885,0.0,0.0,0.0
142,78113,49429,29547,0.0,0.0,0.0
143,79416,50141,29215,0.0,0.0,0.0
144,79732,50349,27909,0.0,0.0,0.0
145,78718,50029,27923,0.0,0.0,0.0
146,77933,49736,28178,0.0,0.0,0.0
147,77674,49634,29571,0.0,0.0,0.0
148,78960,50095,27588,0.0,0.0,0.0
149,77821,49540,29577,0.0,0.0,0.0
150,79088,50152,28883,0.0,0.0,0.0
151,79167,50037,27851,0.0,0.0,0.0
152,78300,49546,29146,0.0,0.0,0.0
153,78689,49957,28524,0.0,0.0,0.0
154,78491,49807,29964,0.0,0.0,0.0
155,80033,50433,28916,0.0,0.0,0.0
156,79836,50468,27420,0.0,0.0,0.0
157,78196,49700,28659,0.0,0.0,0.0
158,78362,49792,29107,0.0,0.0,0.0
159,78912,50050,29503,0.0,0.0,0.0
160,79695,50495,27889,0.0,0.0,0.0
161,78811,49989,27772,0.0,0.0,0.0
162,77855,49592,28444,0.0,0.0,0.0
163,78014,49573,29205,0.0,0.0,0.0
164,78806,50061,29562,0.0,0.0,0.0
165,79857,50701,28052,0.0,0.0,0.0
166,78895,50088,27702,0.0,0.0,0.0
167,77820,49842,28189,0.0,0.0,0.0
168,77570,49340,29018,0.0,0.0,0.0
