generation,adult_population_size,adult_female_population_size,juvenile_population_size,adult_drive_frequency,juvenile_drive_frequency,drive_efficiency
1,78005,49146,28981,0.0,0.0,0.0
2,78435,49323,29567,0.0,0.0,0.0
3,79135,49782,28983,0.0,0.0,0.0
4,79330,49914,28664,0.0,0.0,0.0
5,79263,50183,28472,0.0,0.0,0.0
6,78840,50103,28007,0.0,0.0,0.0
7,78074,49794,29151,0.0,0.0,0.0
8,78537,49908,28803,0.0,0.0,0.0
9,78926,50049,29029,0.0,0.0,0.0
10,79059,50137,28337,0.0,0.0,0.0
11,78812,50217,29084,0.0,0.0,0.0
12,97284,50787,28389,0.184666,0.0786572,0.0
13,103722,48403,26529,0.270772,0.157714,0.0
14,97591,43389,32365,0.304977,0.223467,0.0
15,95885,39156,37515,0.337952,0.27473,0.0
16,96419,35325,40050,0.36652,0.314507,0.0
17,96363,31442,43002,0.393377,0.336484,0.0
18,96677,28533,43350,0.416433,0.347843,0.0
19,95726,26185,43347,0.432599,0.349644,0.0
20,94596,24910,42848,0.439918,0.348744,0.0
21,75794,23793,42838,0.315869,0.332357,0.0
22,67163,24040,42212,0.219608,0.299903,0.0
23,68027,25509,42306,0.199377,0.250685,0.0
24,71169,28813,43114,0.167439,0.211602,0.0
25,76177,33395,43147,0.134037,0.173929,0.0
26,81732,38822,42237,0.104989,0.143429,0.0
27,86668,44132,38401,0.0809064,0.123734,0.0
28,87635,47440,33834,0.0641867,0.103032,0.0
29,84955,48446,30352,0.050821,0.0923827,0.0
30,80355,47506,31148,0.0415593,0.0769231,0.0
31,78247,47003,31419,0.0348001,0.0691779,0.0
32,78178,47007,32648,0.0303474,0.0570785,0.0
33,79882,47792,31807,0.0256003,0.0492502,0.0
34,80683,48568,31711,0.0218509,0.0415629,0.0
35,81234,49403,29204,0.0184529,0.0335399,0.0
36,79598,48982,29408,0.0149501,0.0289547,0.0
37,78811,49056,29817,0.0120415,0.0238622,0.0
38,78610,49104,28827,0.00999873,0.0217678,0.0
39,78108,48703,29722,0.0087507,0.0188413,0.0
40,78605,49294,30811,0.00767763,0.0165688,0.0
41,80007,49961,28926,0.00658067,0.0124283,0.0
42,79323,50004,28529,0.00504898,0.0105682,0.0
43,78633,49855,28872,0.00445742,0.00919576,0.0
