generation,adult_population_size,adult_female_population_size,juvenile_population_size,adult_drive_frequency,juvenile_drive_frequency,drive_efficiency
1,78178,49211,28317,0.0,0.0,1.0
2,77980,48972,30330,0.0,0.0,1.0
3,79891,50139,29377,0.0,0.0,1.0
4,80386,50517,28094,0.0,0.0,1.0
5,79016,49986,27268,0.0,0.0,1.0
6,77289,49258,29475,0.0,0.0,1.0
7,78370,50038,28662,0.0,0.0,1.0
8,78761,49897,28959,0.0,0.0,1.0
9,79142,50015,29134,0.0,0.0,1.0
10,79494,50359,28573,0.0,0.0,1.0
11,79194,50438,27960,0.0,0.0,1.0
12,96378,50090,27668,0.188124,0.0748699,1.0
13,102316,47346,28752,0.274405,0.155711,1.0
14,99068,43604,33700,0.303796,0.225074,1.0
15,97574,39626,37417,0.335258,0.276278,1.0
16,96971,35673,39955,0.364403,0.326355,1.0
17,96217,31434,42661,0.395627,0.364431,1.0
18,95158,27099,43022,0.430389,0.384582,1.0
19,92852,23323,43270,0.460227,0.401537,1.0
20,90009,20016,41667,0.485835,0.417285,1.0
21,67861,16911,39298,0.382421,0.427884,1.0
22,54767,14163,36549,0.310817,0.426988,1.0
23,50382,12131,32701,0.322744,0.42777,1.0
24,45431,10362,30094,0.329555,0.426846,1.0
25,41522,9260,26855,0.332402,0.427742,1.0
26,37024,8225,24932,0.332798,0.43005,1.0
27,33792,7443,22902,0.335346,0.425858,1.0
28,30970,6925,21185,0.333387,0.42818,1.0
29,28580,6288,19959,0.334797,0.429831,1.0
30,26549,5742,17851,0.336774,0.427931,1.0
31,24336,5259,16585,0.336107,0.426651,1.0
32,22360,4849,15672,0.335018,0.425983,1.0
33,20798,4508,14897,0.334239,0.425858,1.0
34,19681,4238,13819,0.334053,0.426948,1.0
35,18581,3963,12816,0.335612,0.425094,1.0
36,17332,3700,12180,0.334468,0.435714,1.0
37,16141,3373,11333,0.340344,0.422527,1.0
38,15287,3179,10212,0.338229,0.42592,1.0
39,14028,2940,9796,0.337325,0.426041,1.0
40,12968,2735,9366,0.335287,0.426223,1.0
41,12188,2629,9078,0.334017,0.432364,1.0
42,11748,2479,8543,0.338824,0.433337,1.0
43,11155,2343,7821,0.340161,0.427567,1.0
44,10474,2258,7503,0.339985,0.425696,1.0
45,9855,2133,6977,0.33653,0.431059,1.0
46,9255,1953,6933,0.338736,0.434516,1.0
47,8937,1843,6477,0.344355,0.427127,1.0
48,8456,1750,6188,0.343543,0.437056,1.0
49,8122,1651,5490,0.346528,0.433515,1.0
50,7431,1549,5489,0.343763,0.434414,1.0
51,7009,1440,5168,0.344985,0.419214,1.0
52,6751,1412,4854,0.337876,0.422538,1.0
53,6428,1374,4701,0.33463,0.424165,1.0
54,6221,1303,4519,0.337084,0.421,1.0
55,5956,1289,4507,0.330927,0.41724,1.0
56,5832,1287,4220,0.327503,0.424052,1.0
57,5577,1247,4256,0.327864,0.434093,1.0
58,5350,1155,4178,0.336729,0.42999,1.0
59,5283,1086,3871,0.339864,0.429605,1.0
60,4979,1007,3536,0.339124,0.427885,1.0
61,4699,952,3299,0.339008,0.425432,1.0
62,4443,902,3159,0.339748,0.421811,1.0
63,4187,920,2842,0.335204,0.432266,1.0
64,3895,862,3118,0.334917,0.429763,1.0
65,3887,814,2879,0.337664,0.435568,1.0
66,3730,751,2745,0.342627,0.412933,1.0
67,3597,770,2479,0.335974,0.435256,1.0
68,3336,691,2545,0.340078,0.427112,1.0
69,3220,687,2227,0.337112,0.434216,1.0
70,3006,643,2241,0.340319,0.443329,1.0
71,2816,582,2106,0.348189,0.428063,1.0
72,2679,535,2070,0.344158,0.444203,1.0
73,2593,487,1843,0.354609,0.442485,1.0
74,2396,453,1654,0.358723,0.432285,1.0
75,2159,427,1511,0.350394,0.441099,1.0
76,1996,384,1462,0.352455,0.44528,1.0
77,1927,361,1242,0.363259,0.413849,1.0
78,1767,357,1197,0.340407,0.428571,1.0
79,1594,338,1184,0.337202,0.44299,1.0
80,1529,319,1130,0.342381,0.426549,1.0
81,1439,303,1061,0.341904,0.430726,1.0
82,1387,285,1049,0.340303,0.422784,1.0
83,1333,284,977,0.334959,0.420676,1.0
84,1266,277,1005,0.332543,0.400498,1.0
85,1286,288,918,0.317652,0.430283,1.0
86,1243,268,970,0.327434,0.412371,1.0
87,1241,264,879,0.322321,0.415245,1.0
88,1229,257,854,0.324654,0.393443,1.0
89,1150,263,816,0.311739,0.41299,1.0
90,1089,263,854,0.30854,0.364754,1.0
91,1147,299,822,0.285092,0.371046,1.0
92,1144,306,1003,0.276224,0.40329,1.0
93,1250,317,1134,0.2904,0.364638,1.0
94,1424,374,1016,0.276685,0.367126,1.0
95,1494,415,1336,0.268742,0.398952,1.0
96,1675,457,1538,0.280597,0.399545,1.0
97,1904,482,1670,0.29438,0.392216,1.0
98,2179,558,1651,0.297384,0.385827,1.0
99,2240,598,1890,0.293973,0.379894,1.0
100,2426,663,1902,0.282564,0.409832,1.0
101,2512,669,2399,0.290406,0.404335,1.0
102,2868,735,2411,0.298291,0.388221,1.0
103,3061,841,2611,0.285201,0.385676,1.0
104,3393,918,2918,0.28323,0.367889,1.0
105,3804,1073,3105,0.270505,0.386473,1.0
106,4096,1156,3554,0.272461,0.378165,1.0
107,4557,1302,3848,0.270682,0.367334,1.0
108,5106,1492,4222,0.263416,0.387849,1.0
109,5546,1573,4697,0.271818,0.379498,1.0
110,6170,1692,5369,0.274473,0.381915,1.0
111,6864,1901,5780,0.276661,0.383218,1.0
112,7483,2067,6334,0.275959,0.381749,1.0
113,8187,2275,6451,0.274582,0.37095,1.0
114,8800,2476,7190,0.270398,0.379277,1.0
115,9555,2699,7868,0.271533,0.3682,1.0
116,10399,3018,8811,0.2644,0.380774,1.0
117,11475,3277,9762,0.269281,0.370057,1.0
118,12804,3735,10326,0.26605,0.373765,1.0
119,13840,4056,11744,0.264126,0.378789,1.0
120,15215,4396,12722,0.267039,0.375413,1.0
121,16894,4847,13420,0.26832,0.374888,1.0
122,18063,5130,15150,0.266788,0.367987,1.0
123,19943,5744,15388,0.262749,0.369931,1.0
124,21189,6212,17202,0.261409,0.365684,1.0
125,22990,6855,18161,0.257308,0.374456,1.0
126,24754,7261,19941,0.26218,0.364224,1.0
127,26781,8021,20150,0.257011,0.363821,1.0
128,28477,8677,22778,0.254381,0.373518,1.0
129,30620,9131,23731,0.258818,0.372909,1.0
130,32590,9621,24819,0.261399,0.377614,1.0
131,34170,10066,25996,0.264223,0.367114,1.0
132,35888,10760,26620,0.259084,0.374117,1.0
133,37247,11186,27927,0.260598,0.369195,1.0
134,39141,11860,28638,0.258041,0.373472,1.0
135,40090,12249,29982,0.259329,0.371456,1.0
136,41692,12636,30896,0.258947,0.371181,1.0
137,43481,13290,31071,0.258021,0.371102,1.0
138,44552,13610,32119,0.258036,0.375354,1.0
139,45473,13742,32509,0.261221,0.37768,1.0
140,45898,13818,32487,0.262473,0.378474,1.0
141,46186,13861,33374,0.263348,0.375652,1.0
142,47055,14134,33126,0.263543,0.373921,1.0
143,47526,14392,33530,0.262677,0.375231,1.0
144,47877,14545,33780,0.261806,0.378893,1.0
145,47986,14519,33930,0.26216,0.37735,1.0
146,48347,14485,33829,0.263925,0.377369,1.0
147,48221,14435,33374,0.263588,0.378603,1.0
148,48116,14381,34017,0.264985,0.381412,1.0
149,48113,14259,33765,0.267474,0.382971,1.0
150,47755,14081,33638,0.269103,0.379779,1.0
151,47730,14090,33246,0.269212,0.386272,1.0
152,47395,13743,33050,0.272476,0.377307,1.0
153,47244,13921,32697,0.268658,0.382482,1.0
154,46725,13830,32919,0.26885,0.378155,1.0
155,46611,13803,33003,0.266976,0.384541,1.0
