generation,adult_population_size,adult_female_population_size,juvenile_population_size,adult_drive_frequency,juvenile_drive_frequency,drive_efficiency
1,77839,49018,28718,0.0,0.0,0.0
2,77975,49163,30333,0.0,0.0,0.0
3,79802,50367,29464,0.0,0.0,0.0
4,80211,50683,26968,0.0,0.0,0.0
5,78357,50192,27641,0.0,0.0,0.0
6,77530,49847,28829,0.0,0.0,0.0
7,77912,50000,29002,0.0,0.0,0.0
8,78819,50146,28945,0.0,0.0,0.0
9,79090,50137,27792,0.0,0.0,0.0
10,78092,49727,28294,0.0,0.0,0.0
11,77991,49826,29184,0.0,0.0,0.0
12,97098,50120,29146,0.186482,0.08068,0.0
13,104321,47994,27879,0.271484,0.162793,0.0
14,98982,43405,31780,0.304389,0.223254,0.0
15,96105,39058,37573,0.338411,0.275677,0.0
16,96532,35284,41250,0.366293,0.313976,0.0
17,97515,31749,41755,0.391924,0.338822,0.0
18,96471,28336,43522,0.417566,0.345791,0.0
19,95946,26137,43386,0.433838,0.352856,0.0
20,94799,24591,42486,0.445089,0.353952,0.0
21,75241,23489,42677,0.319985,0.34139,0.0
22,65495,23234,42133,0.22462,0.306245,0.0
23,66880,24513,41676,0.206676,0.257906,0.0
24,69762,27690,42843,0.174543,0.212613,0.0
25,75231,32500,43383,0.13838,0.17946,0.0
26,81090,38157,42796,0.107929,0.148367,0.0
27,86453,43826,39375,0.0836582,0.128013,0.0
28,88671,47624,33810,0.0676208,0.107912,0.0
29,85637,48393,29577,0.0531838,0.0938229,0.0
30,80023,47478,31587,0.0432063,0.0814259,0.0
31,78259,47026,32586,0.0360853,0.0700147,0.0
32,78835,47269,31799,0.0308302,0.0600491,0.0
33,79451,47700,32024,0.026381,0.0489633,0.0
34,80432,48273,30322,0.022,0.0435163,0.0
35,79881,48516,30485,0.0187466,0.0379695,0.0
36,79934,49002,30591,0.0159757,0.0311366,0.0
37,80014,49469,29534,0.0133727,0.0273075,0.0
38,79230,49154,29389,0.0115865,0.0229508,0.0
39,78634,49174,29968,0.00975405,0.0210725,0.0
40,79020,49475,29175,0.00870666,0.016521,0.0
41,79094,49528,29346,0.00735833,0.0145505,0.0
42,79130,49562,29631,0.00625553,0.0122169,0.0
43,79408,49883,28369,0.00523877,0.010663,0.0
44,78471,49485,29319,0.00449211,0.00951601,0.0
45,79011,49952,29820,0.00389186,0.00880282,0.0
46,79637,50074,28475,0.003472,0.0065496,0.0
47,78971,50050,28832,0.00283648,0.00591357,0.0
48,78635,49984,29023,0.00238443,0.00494435,0.0
49,78899,50070,28663,0.0020089,0.00380281,0.0
50,78772,50002,28512,0.0016186,0.00341961,0.0
51,78608,49766,29066,0.00141843,0.00276956,0.0
52,79000,49991,29602,0.00122785,0.00277008,0.0
53,79545,50365,27990,0.00104343,0.00209003,0.0
54,78768,50071,28807,0.000920425,0.0020134,0.0
55,78618,49920,27683,0.000737745,0.00162555,0.0
56,77626,49424,29217,0.000753613,0.0012835,0.0
57,78398,49865,29444,0.000612261,0.00140946,0.0
58,79201,50328,28292,0.000555549,0.00106037,0.0
59,78664,50102,28000,0.00049578,0.000892857,0.0
60,78168,50081,28231,0.000390185,0.000920973,0.0
61,77947,49907,28866,0.00033356,0.000536964,0.0
62,78319,49897,28224,0.00026175,0.000549178,0.0
63,78345,49620,28586,0.000172315,0.000472259,0.0
64,78193,49466,29462,0.000147072,0.000458217,0.0
65,79120,50265,30261,0.000202224,0.00028089,0.0
66,80535,51020,26337,0.000149004,0.000132893,0.0
67,77890,49872,28033,0.000109128,0.000303214,0.0
68,77484,49691,29415,9.03412e-05,0.000152983,0.0
69,78568,49954,28638,5.09113e-05,0.000157134,0.0
70,78794,49960,28739,3.8074e-05,0.000121786,0.0
71,78762,50006,28407,5.07859e-05,5.28039e-05,0.0
72,78611,49984,27548,3.18022e-05,0.000108901,0.0
73,77468,49448,29441,2.58171e-05,6.79325e-05,0.0
74,78547,49903,29163,1.90968e-05,3.429e-05,0.0
75,79327,50314,27471,0.0,1.8201e-05,0.0
76,77973,49744,28146,6.41248e-06,0.0,0.0
77,77763,49856,29088,0.0,1.71892e-05,0.0
78,78504,50275,28220,6.3691e-06,5.31538e-05,0.0
79,78313,50021,28660,1.27693e-05,0.0,0.0
80,78510,50115,28857,6.36862e-06,0.0,0.0
81,78951,50402,28245,0.0,5.31067e-05,0.0
82,78825,50258,28112,1.90295e-05,0.0,0.0
83,78235,50079,29012,1.2782e-05,0.0,0.0
84,78669,50052,29308,1.27115e-05,1.70602e-05,0.0
85,79238,50375,28137,0.0,1.77702e-05,0.0
86,78837,49938,28049,6.3422e-06,0.0,0.0
87,78360,49824,28637,6.38081e-06,0.0,0.0
88,78249,49861,28739,6.38986e-06,0.0,0.0
89,78482,49921,28306,0.0,0.0,0.0
90,78320,49810,28673,0.0,0.0,0.0
91,78397,49897,28246,0.0,0.0,0.0
92,78091,49768,28798,0.0,0.0,0.0
93,78485,49727,29374,0.0,0.0,0.0
94,79266,50371,27637,0.0,0.0,0.0
95,78210,49790,27906,0.0,0.0,0.0
96,77424,49528,29560,0.0,0.0,0.0
97,78723,50183,29268,0.0,0.0,0.0
98,79630,50710,27322,0.0,0.0,0.0
99,78279,50157,27886,0.0,0.0,0.0
100,77477,49519,28995,0.0,0.0,0.0
101,78063,49764,29584,0.0,0.0,0.0
102,79200,50121,28553,0.0,0.0,0.0
103,79126,49932,28275,0.0,0.0,0.0
104,78669,49985,28512,0.0,0.0,0.0
105,78392,50025,28439,0.0,0.0,0.0
106,78442,49774,27973,0.0,0.0,0.0
107,77894,49733,27698,0.0,0.0,0.0
108,77109,49244,29737,0.0,0.0,0.0
109,78803,49987,29483,0.0,0.0,0.0
110,79697,50249,27938,0.0,0.0,0.0
111,78866,50087,28176,0.0,0.0,0.0
112,78242,49780,28445,0.0,0.0,0.0
113,78295,49823,28711,0.0,0.0,0.0
114,78366,49793,28267,0.0,0.0,0.0
115,77675,49249,28758,0.0,0.0,0.0
116,78098,49517,30107,0.0,0.0,0.0
117,79918,50542,28524,0.0,0.0,0.0
118,79565,50360,27455,0.0,0.0,0.0
119,78270,49891,29364,0.0,0.0,0.0
120,79165,50524,28420,0.0,0.0,0.0
121,78928,50417,27083,0.0,0.0,0.0
122,77171,49306,28743,0.0,0.0,0.0
123,77489,49372,30038,0.0,0.0,0.0
124,79464,50349,29309,0.0,0.0,0.0
125,80056,50706,26835,0.0,0.0,0.0
126,77787,49566,27290,0.0,0.0,0.0
127,76414,48981,30040,0.0,0.0,0.0
128,78526,49883,29622,0.0,0.0,0.0
129,79862,50474,28158,0.0,0.0,0.0
130,78996,50154,28054,0.0,0.0,0.0
131,78448,50073,28725,0.0,0.0,0.0
132,78794,50256,27397,0.0,0.0,0.0
133,77687,49556,28330,0.0,0.0,0.0
134,77357,49269,29653,0.0,0.0,0.0
135,78947,49981,29940,0.0,0.0,0.0
136,80092,50676,27767,0.0,0.0,0.0
137,78992,50478,26921,0.0,0.0,0.0
138,77171,49621,28314,0.0,0.0,0.0
139,77245,49488,29050,0.0,0.0,0.0
140,78413,49756,28847,0.0,0.0,0.0
141,78650,49772,28212,0.0,0.0,0.0
142,78140,49516,30340,0.0,0.0,0.0
143,80040,50650,29321,0.0,0.0,0.0
144,80667,51091,27045,0.0,0.0,0.0
145,78452,50173,26781,0.0,0.0,0.0
146,76443,49174,28724,0.0,0.0,0.0
147,77285,49491,29710,0.0,0.0,0.0
148,78971,49993,29455,0.0,0.0,0.0
149,79886,50347,29248,0.0,0.0,0.0
150,80017,50535,28197,0.0,0.0,0.0
151,79231,50130,27952,0.0,0.0,0.0
152,78204,49624,28616,0.0,0.0,0.0
153,78197,49453,28785,0.0,0.0,0.0
154,78629,49769,29402,0.0,0.0,0.0
155,79480,50488,29514,0.0,0.0,0.0
156,79760,50670,27234,0.0,0.0,0.0
157,78293,49833,27926,0.0,0.0,0.0
158,77584,49492,29288,0.0,0.0,0.0
159,78588,49730,28903,0.0,0.0,0.0
160,78858,49786,29662,0.0,0.0,0.0
161,79841,50412,29011,0.0,0.0,0.0
162,79842,50723,28429,0.0,0.0,0.0
163,79325,50489,27714,0.0,0.0,0.0
164,78011,49911,29180,0.0,0.0,0.0
165,78868,50080,28583,0.0,0.0,0.0
166,78964,50078,28728,0.0,0.0,0.0
167,78935,49960,29049,0.0,0.0,0.0
168,79235,50165,28615,0.0,0.0,0.0
169,79161,50390,27701,0.0,0.0,0.0
170,77875,49756,27780,0.0,0.0,0.0
171,77173,49527,29148,0.0,0.0,0.0
172,78182,49745,28698,0.0,0.0,0.0
173,78462,49634,28249,0.0,0.0,0.0
174,78238,49458,29156,0.0,0.0,0.0
175,78708,49848,29075,0.0,0.0,0.0
176,79001,50154,28242,0.0,0.0,0.0
177,78648,50091,28612,0.0,0.0,0.0
178,78642,50185,29315,0.0,0.0,0.0
179,79470,50400,28124,0.0,0.0,0.0
180,78999,50183,28236,0.0,0.0,0.0
181,78462,50011,29108,0.0,0.0,0.0
182,78859,50236,27932,0.0,0.0,0.0
183,77986,49536,28147,0.0,0.0,0.0
184,77648,49299,30480,0.0,0.0,0.0
185,79682,50397,28830,0.0,0.0,0.0
186,79577,50736,27862,0.0,0.0,0.0
187,78502,50122,27188,0.0,0.0,0.0
188,77218,49506,28206,0.0,0.0,0.0
189,77319,49448,29654,0.0,0.0,0.0
190,78939,50148,29143,0.0,0.0,0.0
191,79361,50167,28449,0.0,0.0,0.0
192,78922,50203,27747,0.0,0.0,0.0
193,77970,49692,28431,0.0,0.0,0.0
194,78029,49845,28351,0.0,0.0,0.0
195,77933,49750,29385,0.0,0.0,0.0
196,78947,49882,28633,0.0,0.0,0.0
197,79140,50004,28998,0.0,0.0,0.0
198,79175,50043,28042,0.0,0.0,0.0
199,78238,50055,28437,0.0,0.0,0.0
200,78220,49874,28633,0.0,0.0,0.0
201,78554,50096,28630,0.0,0.0,0.0
202,78784,50239,28485,0.0,0.0,0.0
203,78668,50108,28095,0.0,0.0,0.0
204,78219,49856,28721,0.0,0.0,0.0
205,78442,49943,27958,0.0,0.0,0.0
206,77600,49368,29191,0.0,0.0,0.0
207,78485,49945,29031,0.0,0.0,0.0
208,79083,50244,28384,0.0,0.0,0.0
209,78938,50162,28209,0.0,0.0,0.0
210,78449,49963,28301,0.0,0.0,0.0
211,78081,49800,28825,0.0,0.0,0.0
212,78566,50158,29426,0.0,0.0,0.0
213,79362,50449,28822,0.0,0.0,0.0
214,79488,50669,27003,0.0,0.0,0.0
215,77739,49917,28473,0.0,0.0,0.0
216,77952,49901,28567,0.0,0.0,0.0
217,77883,49717,28747,0.0,0.0,0.0
218,78429,49917,29109,0.0,0.0,0.0
219,79236,50264,28630,0.0,0.0,0.0
220,79036,50048,28287,0.0,0.0,0.0
221,78838,50195,29276,0.0,0.0,0.0
222,79303,50492,27762,0.0,0.0,0.0
223,78270,49750,27884,0.0,0.0,0.0
224,77787,49493,29176,0.0,0.0,0.0
225,78417,49737,28941,0.0,0.0,0.0
226,78914,50069,28789,0.0,0.0,0.0
227,79037,50121,28317,0.0,0.0,0.0
228,78666,50083,28240,0.0,0.0,0.0
229,78361,49967,28497,0.0,0.0,0.0
230,78235,49958,28369,0.0,0.0,0.0
231,78166,49979,29128,0.0,0.0,0.0
232,78936,50401,28877,0.0,0.0,0.0
233,79222,50389,26890,0.0,0.0,0.0
234,77522,49479,28410,0.0,0.0,0.0
235,77432,49488,29599,0.0,0.0,0.0
236,78789,50036,28707,0.0,0.0,0.0
237,79313,50447,28470,0.0,0.0,0.0
238,79046,50324,27601,0.0,0.0,0.0
239,77969,49818,28858,0.0,0.0,0.0
240,78612,50182,28599,0.0,0.0,0.0
241,78647,50178,28276,0.0,0.0,0.0
242,78424,49976,27306,0.0,0.0,0.0
243,77077,49371,29642,0.0,0.0,0.0
244,78693,50078,29275,0.0,0.0,0.0
245,79427,50391,28278,0.0,0.0,0.0
246,79076,50244,27508,0.0,0.0,0.0
247,77450,49482,28712,0.0,0.0,0.0
248,78071,49845,30076,0.0,0.0,0.0
249,79640,50500,27706,0.0,0.0,0.0
250,78354,49700,28161,0.0,0.0,0.0
251,78256,49748,29523,0.0,0.0,0.0
252,79246,50324,28573,0.0,0.0,0.0
253,79163,50403,27955,0.0,0.0,0.0
254,78412,49868,28178,0.0,0.0,0.0
255,77824,49678,28766,0.0,0.0,0.0
256,78325,49955,28705,0.0,0.0,0.0
257,78508,49691,28576,0.0,0.0,0.0
258,78571,49800,28561,0.0,0.0,0.0
259,78642,49940,28183,0.0,0.0,0.0
260,78276,49915,28661,0.0,0.0,0.0
261,78205,49729,28334,0.0,0.0,0.0
262,78240,49706,29499,0.0,0.0,0.0
263,79189,50209,28891,0.0,0.0,0.0
264,79267,50177,27869,0.0,0.0,0.0
265,78542,49985,27878,0.0,0.0,0.0
266,77723,49661,29004,0.0,0.0,0.0
267,78368,49991,28783,0.0,0.0,0.0
268,78736,49985,28385,0.0,0.0,0.0
269,78751,49872,28473,0.0,0.0,0.0
270,78583,49919,29322,0.0,0.0,0.0
271,79090,50273,28201,0.0,0.0,0.0
272,78412,50119,27581,0.0,0.0,0.0
273,77629,49664,29024,0.0,0.0,0.0
274,78209,49737,28212,0.0,0.0,0.0
275,78303,49786,28956,0.0,0.0,0.0
276,78869,50035,28305,0.0,0.0,0.0
277,78260,49865,28419,0.0,0.0,0.0
278,78178,49819,28509,0.0,0.0,0.0
279,78271,49883,28535,0.0,0.0,0.0
280,78260,49710,29621,0.0,0.0,0.0
281,79506,50414,28402,0.0,0.0,0.0
282,79081,50172,28005,0.0,0.0,0.0
283,78365,49839,28491,0.0,0.0,0.0
284,78088,49914,29377,0.0,0.0,0.0
285,79022,50410,27363,0.0,0.0,0.0
286,77988,49848,28273,0.0,0.0,0.0
287,77844,49508,29901,0.0,0.0,0.0
288,79190,50139,29572,0.0,0.0,0.0
289,80208,50698,28344,0.0,0.0,0.0
290,79259,50432,27134,0.0,0.0,0.0
291,77394,49641,28598,0.0,0.0,0.0
292,77780,49655,29518,0.0,0.0,0.0
293,79121,50403,28363,0.0,0.0,0.0
294,79060,50124,27941,0.0,0.0,0.0
295,78176,49783,29383,0.0,0.0,0.0
296,78988,50260,28265,0.0,0.0,0.0
297,78523,50026,28108,0.0,0.0,0.0
298,78097,49731,28296,0.0,0.0,0.0
299,77994,49672,29677,0.0,0.0,0.0
300,79308,50427,28605,0.0,0.0,0.0
301,79287,50483,28217,0.0,0.0,0.0
302,78861,50203,27816,0.0,0.0,0.0
303,78163,49974,28570,0.0,0.0,0.0
304,78101,49863,28135,0.0,0.0,0.0
305,77805,49456,29522,0.0,0.0,0.0
306,78909,49888,29656,0.0,0.0,0.0
307,79938,50568,29007,0.0,0.0,0.0
308,80215,50829,26485,0.0,0.0,0.0
309,77595,49637,27426,0.0,0.0,0.0
310,76501,49056,30317,0.0,0.0,0.0
311,78886,49980,29512,0.0,0.0,0.0
312,80073,50470,28254,0.0,0.0,0.0
313,79335,50225,27678,0.0,0.0,0.0
314,78278,50144,29405,0.0,0.0,0.0
315,79350,50780,28438,0.0,0.0,0.0
316,79075,50606,26732,0.0,0.0,0.0
317,77073,49471,28359,0.0,0.0,0.0

