drive_fitness,drop_ratio,drive_efficiency,low_density_growth_rate,density_growth_curve,weeks_to_suppression,type
0.575,5.0,0.5,0.0,6.0,57.500,FLADSPLIT
0.600,0.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.600,0.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.600,0.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.600,0.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.600,1.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.600,1.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.600,1.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.600,1.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.600,2.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.600,2.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.600,2.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.600,2.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.600,3.0,0.5,0.0,6.0,236.200,FLADSPLIT
0.600,3.25,0.5,0.0,6.0,149.700,FLADSPLIT
0.600,3.5,0.5,0.0,6.0,110.900,FLADSPLIT
0.600,3.75,0.5,0.0,6.0,90.400,FLADSPLIT
0.600,4.0,0.5,0.0,6.0,75.900,FLADSPLIT
0.600,4.25,0.5,0.0,6.0,69.700,FLADSPLIT
0.600,4.5,0.5,0.0,6.0,63.100,FLADSPLIT
0.600,4.75,0.5,0.0,6.0,59.000,FLADSPLIT
0.600,5.0,0.5,0.0,6.0,55.450,FLADSPLIT
0.625,0.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.625,0.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.625,0.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.625,0.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.625,1.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.625,1.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.625,1.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.625,1.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.625,2.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.625,2.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.625,2.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.625,2.75,0.5,0.0,6.0,305.000,FLADSPLIT
0.625,3.0,0.5,0.0,6.0,186.850,FLADSPLIT
0.625,3.25,0.5,0.0,6.0,128.200,FLADSPLIT
0.625,3.5,0.5,0.0,6.0,98.950,FLADSPLIT
0.625,3.75,0.5,0.0,6.0,82.550,FLADSPLIT
0.625,4.0,0.5,0.0,6.0,72.750,FLADSPLIT
0.625,4.25,0.5,0.0,6.0,65.350,FLADSPLIT
0.625,4.5,0.5,0.0,6.0,60.500,FLADSPLIT
0.625,4.75,0.5,0.0,6.0,56.650,FLADSPLIT
0.625,5.0,0.5,0.0,6.0,54.000,FLADSPLIT
0.650,0.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.650,0.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.650,0.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.650,0.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.650,1.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.650,1.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.650,1.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.650,1.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.650,2.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.650,2.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.650,2.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.650,2.75,0.5,0.0,6.0,259.050,FLADSPLIT
0.650,3.0,0.5,0.0,6.0,155.950,FLADSPLIT
0.650,3.25,0.5,0.0,6.0,112.650,FLADSPLIT
0.650,3.5,0.5,0.0,6.0,89.700,FLADSPLIT
0.650,3.75,0.5,0.0,6.0,76.900,FLADSPLIT
0.650,4.0,0.5,0.0,6.0,68.600,FLADSPLIT
0.650,4.25,0.5,0.0,6.0,62.400,FLADSPLIT
0.650,4.5,0.5,0.0,6.0,57.850,FLADSPLIT
0.650,4.75,0.5,0.0,6.0,54.350,FLADSPLIT
0.650,5.0,0.5,0.0,6.0,51.800,FLADSPLIT
0.675,0.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.675,0.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.675,0.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.675,0.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.675,1.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.675,1.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.675,1.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.675,1.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.675,2.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.675,2.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.675,2.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.675,2.75,0.5,0.0,6.0,207.100,FLADSPLIT
0.675,3.0,0.5,0.0,6.0,135.450,FLADSPLIT
0.675,3.25,0.5,0.0,6.0,101.500,FLADSPLIT
0.675,3.5,0.5,0.0,6.0,83.850,FLADSPLIT
0.675,3.75,0.5,0.0,6.0,72.750,FLADSPLIT
0.675,4.0,0.5,0.0,6.0,65.350,FLADSPLIT
0.675,4.25,0.5,0.0,6.0,59.700,FLADSPLIT
0.675,4.5,0.5,0.0,6.0,56.300,FLADSPLIT
0.675,4.75,0.5,0.0,6.0,53.000,FLADSPLIT
0.675,5.0,0.5,0.0,6.0,50.500,FLADSPLIT
0.700,0.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.700,0.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.700,0.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.700,0.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.700,1.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.700,1.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.700,1.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.700,1.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.700,2.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.700,2.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.700,2.5,0.5,0.0,6.0,302.500,FLADSPLIT
0.700,2.75,0.5,0.0,6.0,170.350,FLADSPLIT
0.700,3.0,0.5,0.0,6.0,118.300,FLADSPLIT
0.700,3.25,0.5,0.0,6.0,92.350,FLADSPLIT
0.700,3.5,0.5,0.0,6.0,78.050,FLADSPLIT
0.700,3.75,0.5,0.0,6.0,68.500,FLADSPLIT
0.700,4.0,0.5,0.0,6.0,62.400,FLADSPLIT
0.700,4.25,0.5,0.0,6.0,58.400,FLADSPLIT
0.700,4.5,0.5,0.0,6.0,54.300,FLADSPLIT
0.700,4.75,0.5,0.0,6.0,52.600,FLADSPLIT
0.700,5.0,0.5,0.0,6.0,49.150,FLADSPLIT
0.725,0.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.725,0.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.725,0.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.725,0.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.725,1.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.725,1.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.725,1.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.725,1.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.725,2.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.725,2.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.725,2.5,0.5,0.0,6.0,248.600,FLADSPLIT
0.725,2.75,0.5,0.0,6.0,148.800,FLADSPLIT
0.725,3.0,0.5,0.0,6.0,107.500,FLADSPLIT
0.725,3.25,0.5,0.0,6.0,86.550,FLADSPLIT
0.725,3.5,0.5,0.0,6.0,74.150,FLADSPLIT
0.725,3.75,0.5,0.0,6.0,65.950,FLADSPLIT
0.725,4.0,0.5,0.0,6.0,60.650,FLADSPLIT
0.725,4.25,0.5,0.0,6.0,55.900,FLADSPLIT
0.725,4.5,0.5,0.0,6.0,53.200,FLADSPLIT
0.725,4.75,0.5,0.0,6.0,50.900,FLADSPLIT
0.725,5.0,0.5,0.0,6.0,48.200,FLADSPLIT
0.750,0.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.750,0.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.750,0.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.750,0.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.750,1.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.750,1.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.750,1.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.750,1.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.750,2.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.750,2.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.750,2.5,0.5,0.0,6.0,207.500,FLADSPLIT
0.750,2.75,0.5,0.0,6.0,130.600,FLADSPLIT
0.750,3.0,0.5,0.0,6.0,98.350,FLADSPLIT
0.750,3.25,0.5,0.0,6.0,80.300,FLADSPLIT
0.750,3.5,0.5,0.0,6.0,70.100,FLADSPLIT
0.750,3.75,0.5,0.0,6.0,63.050,FLADSPLIT
0.750,4.0,0.5,0.0,6.0,58.550,FLADSPLIT
0.750,4.25,0.5,0.0,6.0,54.400,FLADSPLIT
