generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,rate_complete_r2,rate_partial_r2,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,78107,49105,49105,0.0,0.0,0.0,0.0,0.5,1.5,6.0,linear
2,78075,49172,49172,0.0,0.0,0.0,0.0,0.5,1.5,6.0,linear
3,79979,50362,50362,0.0,0.0,0.0,0.0,0.5,1.5,6.0,linear
4,80714,51014,51014,0.0,0.0,0.0,0.0,0.5,1.5,6.0,linear
5,78119,49919,49919,0.0,0.0,0.0,0.0,0.5,1.5,6.0,linear
6,77016,49502,49502,0.0,0.0,0.0,0.0,0.5,1.5,6.0,linear
7,76910,49246,49246,0.0,0.0,0.0,0.0,0.5,1.5,6.0,linear
8,78353,49856,49856,0.0,0.0,0.0,0.0,0.5,1.5,6.0,linear
9,79842,50327,50327,0.0,0.0,0.0,0.0,0.5,1.5,6.0,linear
10,79350,50149,50149,0.0,0.0,0.0,0.0,0.5,1.5,6.0,linear
11,78736,50126,50126,0.0,0.0,0.0,0.0,0.5,1.5,6.0,linear
12,86976,49611,49611,0.0918289,0.104526,0.0,0.0,0.5,1.5,6.0,linear
13,89837,47947,47947,0.147061,0.180188,0.0,0.0,0.5,1.5,6.0,linear
14,88134,45525,45525,0.173787,0.233255,0.0,0.0,0.5,1.5,6.0,linear
15,86489,42554,42554,0.203848,0.295725,0.0,0.0,0.5,1.5,6.0,linear
16,86595,39929,39929,0.231074,0.352395,0.0,0.0,0.5,1.5,6.0,linear
17,86872,37512,37512,0.253999,0.401417,0.0,0.0,0.5,1.5,6.0,linear
18,87293,35466,35466,0.272674,0.440345,0.0,0.0,0.5,1.5,6.0,linear
19,87009,33365,33365,0.290945,0.476429,0.0,0.0,0.5,1.5,6.0,linear
20,86530,31440,31440,0.302666,0.501092,0.0,0.0,0.5,1.5,6.0,linear
21,86307,30187,30187,0.31369,0.523482,0.0,0.0,0.5,1.5,6.0,linear
22,85158,28751,28751,0.322774,0.540886,0.0,0.0,0.5,1.5,6.0,linear
23,84467,27652,27652,0.330573,0.555318,0.0,0.0,0.5,1.5,6.0,linear
24,83045,26495,26495,0.3375,0.568524,0.0,0.0,0.5,1.5,6.0,linear
25,81967,25414,25414,0.343647,0.57963,0.0,0.0,0.5,1.5,6.0,linear
26,81401,24732,24732,0.349022,0.587995,0.0,0.0,0.5,1.5,6.0,linear
27,80146,23790,23790,0.352554,0.594891,0.0,0.0,0.5,1.5,6.0,linear
28,79058,22982,22982,0.356325,0.601784,0.0,0.0,0.5,1.5,6.0,linear
29,78564,22398,22398,0.360468,0.60731,0.0,0.0,0.5,1.5,6.0,linear
30,77090,21894,21894,0.364356,0.615198,0.0,0.0,0.5,1.5,6.0,linear
31,76660,21536,21536,0.367357,0.619564,0.0,0.0,0.5,1.5,6.0,linear
32,75650,20878,20878,0.371529,0.625804,0.0,0.0,0.5,1.5,6.0,linear
33,74894,20444,20444,0.373911,0.629687,0.0,0.0,0.5,1.5,6.0,linear
34,74027,19912,19912,0.375136,0.632028,0.0,0.0,0.5,1.5,6.0,linear
35,73343,19578,19578,0.376892,0.634306,0.0,0.0,0.5,1.5,6.0,linear
36,72736,19205,19205,0.379783,0.638222,0.0,0.0,0.5,1.5,6.0,linear
37,72230,18975,18975,0.383543,0.646089,0.0,0.0,0.5,1.5,6.0,linear
38,71620,18475,18475,0.383838,0.64526,0.0,0.0,0.5,1.5,6.0,linear
39,70850,18239,18239,0.385222,0.646925,0.0,0.0,0.5,1.5,6.0,linear
40,70131,17953,17953,0.38693,0.650352,0.0,0.0,0.5,1.5,6.0,linear
41,69613,17639,17639,0.388409,0.651618,0.0,0.0,0.5,1.5,6.0,linear
42,69387,17367,17367,0.391357,0.656176,0.0,0.0,0.5,1.5,6.0,linear
43,68768,17084,17084,0.394382,0.659989,0.0,0.0,0.5,1.5,6.0,linear
44,67721,16778,16778,0.395457,0.660535,0.0,0.0,0.5,1.5,6.0,linear
45,67307,16588,16588,0.394544,0.660173,0.0,0.0,0.5,1.5,6.0,linear
46,66785,16493,16493,0.395534,0.661559,0.0,0.0,0.5,1.5,6.0,linear
