generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,rate_complete_r2,rate_partial_r2,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,77942,49141,49141,0.0,0.0,0.0,0.0,0.5,0.1,6.0,linear
2,77819,48989,48989,0.0,0.0,0.0,0.0,0.5,0.1,6.0,linear
3,79504,49985,49985,0.0,0.0,0.0,0.0,0.5,0.1,6.0,linear
4,80245,50528,50528,0.0,0.0,0.0,0.0,0.5,0.1,6.0,linear
5,79471,50510,50510,0.0,0.0,0.0,0.0,0.5,0.1,6.0,linear
6,77477,49823,49823,0.0,0.0,0.0,0.0,0.5,0.1,6.0,linear
7,77564,49705,49705,0.0,0.0,0.0,0.0,0.5,0.1,6.0,linear
8,78866,50023,50023,0.0,0.0,0.0,0.0,0.5,0.1,6.0,linear
9,79624,50346,50346,0.0,0.0,0.0,0.0,0.5,0.1,6.0,linear
10,80151,50665,50665,0.0,0.0,0.0,0.0,0.5,0.1,6.0,linear
11,78136,49750,49750,0.0,0.0,0.0,0.0,0.5,0.1,6.0,linear
12,78641,49755,49755,0.00677183,0.0080725,0.0,0.0,0.5,0.1,6.0,linear
13,79656,50061,50061,0.0121232,0.0159608,0.0,0.0,0.5,0.1,6.0,linear
14,79060,49477,49477,0.0155726,0.0226055,0.0,0.0,0.5,0.1,6.0,linear
15,78662,49129,49129,0.0187943,0.0294631,0.0,0.0,0.5,0.1,6.0,linear
16,79609,49522,49522,0.0223814,0.0365228,0.0,0.0,0.5,0.1,6.0,linear
17,80035,49477,49477,0.0253284,0.042495,0.0,0.0,0.5,0.1,6.0,linear
18,78671,48478,48478,0.0288258,0.0494654,0.0,0.0,0.5,0.1,6.0,linear
19,78979,48480,48480,0.0317185,0.0552238,0.0,0.0,0.5,0.1,6.0,linear
20,79966,48829,48829,0.0342162,0.0601982,0.0,0.0,0.5,0.1,6.0,linear
21,80583,48896,48896,0.0364148,0.0647465,0.0,0.0,0.5,0.1,6.0,linear
22,80052,48413,48413,0.0380752,0.0684606,0.0,0.0,0.5,0.1,6.0,linear
23,80421,48487,48487,0.0408005,0.0737522,0.0,0.0,0.5,0.1,6.0,linear
24,81509,48866,48866,0.042951,0.0777973,0.0,0.0,0.5,0.1,6.0,linear
25,81569,48797,48797,0.0442672,0.0803238,0.0,0.0,0.5,0.1,6.0,linear
26,80856,48247,48247,0.045427,0.0829103,0.0,0.0,0.5,0.1,6.0,linear
27,80669,48319,48319,0.0473403,0.0867398,0.0,0.0,0.5,0.1,6.0,linear
28,81235,48465,48465,0.047982,0.0882978,0.0,0.0,0.5,0.1,6.0,linear
29,81422,48300,48300,0.0497447,0.0914471,0.0,0.0,0.5,0.1,6.0,linear
30,82216,48585,48585,0.0506321,0.093325,0.0,0.0,0.5,0.1,6.0,linear
31,81808,48291,48291,0.0518406,0.0958342,0.0,0.0,0.5,0.1,6.0,linear
32,81753,48298,48298,0.0527723,0.0975964,0.0,0.0,0.5,0.1,6.0,linear
33,82014,48403,48403,0.0533802,0.0987152,0.0,0.0,0.5,0.1,6.0,linear
34,81315,48138,48138,0.0541401,0.10049,0.0,0.0,0.5,0.1,6.0,linear
35,81445,47981,47981,0.0548625,0.101951,0.0,0.0,0.5,0.1,6.0,linear
36,82615,48453,48453,0.0552728,0.102925,0.0,0.0,0.5,0.1,6.0,linear
37,81506,48027,48027,0.0564627,0.104975,0.0,0.0,0.5,0.1,6.0,linear
38,81582,47912,47912,0.0580432,0.108077,0.0,0.0,0.5,0.1,6.0,linear
39,81255,47756,47756,0.059716,0.111503,0.0,0.0,0.5,0.1,6.0,linear
40,82023,47890,47890,0.0596726,0.111401,0.0,0.0,0.5,0.1,6.0,linear
41,82428,48146,48146,0.0599266,0.112198,0.0,0.0,0.5,0.1,6.0,linear
42,81739,47711,47711,0.0604013,0.113004,0.0,0.0,0.5,0.1,6.0,linear
43,81687,47667,47667,0.0611849,0.114404,0.0,0.0,0.5,0.1,6.0,linear
44,82159,47954,47954,0.0607891,0.113862,0.0,0.0,0.5,0.1,6.0,linear
45,82828,48037,48037,0.0621746,0.116819,0.0,0.0,0.5,0.1,6.0,linear
46,82782,47844,47844,0.0621569,0.116806,0.0,0.0,0.5,0.1,6.0,linear
47,82098,47724,47724,0.0623544,0.117051,0.0,0.0,0.5,0.1,6.0,linear
48,81937,47555,47555,0.063267,0.118812,0.0,0.0,0.5,0.1,6.0,linear
49,82227,47658,47658,0.0623097,0.116985,0.0,0.0,0.5,0.1,6.0,linear
50,82610,47875,47875,0.0622135,0.116863,0.0,0.0,0.5,0.1,6.0,linear
51,82224,47909,47909,0.0632994,0.119148,0.0,0.0,0.5,0.1,6.0,linear
52,82306,47725,47725,0.0643142,0.120784,0.0,0.0,0.5,0.1,6.0,linear
53,82202,47607,47607,0.064441,0.120974,0.0,0.0,0.5,0.1,6.0,linear
54,82782,47965,47965,0.0642838,0.120713,0.0,0.0,0.5,0.1,6.0,linear
55,82566,48136,48136,0.0640838,0.120322,0.0,0.0,0.5,0.1,6.0,linear
56,81981,47650,47650,0.064965,0.122078,0.0,0.0,0.5,0.1,6.0,linear
57,82109,47663,47663,0.0654798,0.122805,0.0,0.0,0.5,0.1,6.0,linear
58,82310,47436,47436,0.0661366,0.124181,0.0,0.0,0.5,0.1,6.0,linear
59,82745,47630,47630,0.0663704,0.124599,0.0,0.0,0.5,0.1,6.0,linear
60,82547,47606,47606,0.0656965,0.124061,0.0,0.0,0.5,0.1,6.0,linear
61,82382,47396,47396,0.0664806,0.125244,0.0,0.0,0.5,0.1,6.0,linear
62,82388,47467,47467,0.0667087,0.125918,0.0,0.0,0.5,0.1,6.0,linear
63,82429,47242,47242,0.0658847,0.123944,0.0,0.0,0.5,0.1,6.0,linear
64,81855,47246,47246,0.0666638,0.125541,0.0,0.0,0.5,0.1,6.0,linear
65,82503,47793,47793,0.0655838,0.123428,0.0,0.0,0.5,0.1,6.0,linear
66,82472,47529,47529,0.0658721,0.123631,0.0,0.0,0.5,0.1,6.0,linear
