generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,rate_complete_r2,rate_partial_r2,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,78710,49417,49417,0.0,0.0,0.0,0.0,0.5,2.9,6.0,linear
2,78713,49354,49354,0.0,0.0,0.0,0.0,0.5,2.9,6.0,linear
3,79300,49924,49924,0.0,0.0,0.0,0.0,0.5,2.9,6.0,linear
4,78605,49702,49702,0.0,0.0,0.0,0.0,0.5,2.9,6.0,linear
5,78708,49894,49894,0.0,0.0,0.0,0.0,0.5,2.9,6.0,linear
6,79746,50681,50681,0.0,0.0,0.0,0.0,0.5,2.9,6.0,linear
7,79634,50553,50553,0.0,0.0,0.0,0.0,0.5,2.9,6.0,linear
8,77897,49653,49653,0.0,0.0,0.0,0.0,0.5,2.9,6.0,linear
9,76792,49249,49249,0.0,0.0,0.0,0.0,0.5,2.9,6.0,linear
10,77946,49753,49753,0.0,0.0,0.0,0.0,0.5,2.9,6.0,linear
11,78963,49994,49994,0.0,0.0,0.0,0.0,0.5,2.9,6.0,linear
12,96088,49814,49814,0.157792,0.175,0.0,0.0,0.5,2.9,6.0,linear
13,102070,47302,47302,0.242344,0.284916,0.0,0.0,0.5,2.9,6.0,linear
14,98623,43541,43541,0.277579,0.356302,1.8943e-05,0.0,0.5,2.9,6.0,linear
15,97061,39563,39561,0.31152,0.4275,8.59139e-05,0.0,0.5,2.9,6.0,linear
16,96115,35746,35736,0.34222,0.494454,0.000223142,0.0,0.5,2.9,6.0,linear
17,96448,32173,32139,0.373313,0.558635,0.000421473,0.0,0.5,2.9,6.0,linear
18,95288,28256,28199,0.397305,0.606855,0.000860077,0.0,0.5,2.9,6.0,linear
19,94325,25462,25349,0.416961,0.642826,0.00142913,0.0,0.5,2.9,6.0,linear
20,92120,23009,22855,0.432072,0.670718,0.00216477,0.0,0.5,2.9,6.0,linear
21,89777,20783,20572,0.443863,0.688852,0.00306977,0.0,0.5,2.9,6.0,linear
22,87656,18943,18672,0.455913,0.705591,0.00393951,0.0,0.5,2.9,6.0,linear
23,84829,17423,17076,0.466572,0.721264,0.00495114,0.0,0.5,2.9,6.0,linear
24,82014,16022,15619,0.476797,0.733928,0.00609229,0.0,0.5,2.9,6.0,linear
25,79158,14880,14423,0.485627,0.743241,0.007447,0.0,0.5,2.9,6.0,linear
26,76961,14022,13490,0.493364,0.752289,0.00916868,0.0,0.5,2.9,6.0,linear
27,74520,12868,12267,0.503617,0.764077,0.0106896,0.0,0.5,2.9,6.0,linear
28,72350,11868,11248,0.514173,0.775554,0.0120524,0.0,0.5,2.9,6.0,linear
29,69947,10946,10326,0.524801,0.785379,0.0132041,0.0,0.5,2.9,6.0,linear
30,67346,9992,9382,0.534819,0.795022,0.0145904,0.0,0.5,2.9,6.0,linear
31,64845,9116,8485,0.545905,0.802772,0.0155342,0.0,0.5,2.9,6.0,linear
32,61902,8273,7615,0.556237,0.811896,0.0167851,0.0,0.5,2.9,6.0,linear
33,59493,7602,6942,0.567619,0.819655,0.0174872,0.0,0.5,2.9,6.0,linear
34,57344,6849,6180,0.581394,0.829645,0.0190679,0.0,0.5,2.9,6.0,linear
35,54765,6174,5527,0.596231,0.840814,0.0204712,0.0,0.5,2.9,6.0,linear
36,52433,5479,4859,0.610909,0.850668,0.0212206,0.0,0.5,2.9,6.0,linear
37,50181,4803,4229,0.627899,0.861507,0.021941,0.0,0.5,2.9,6.0,linear
38,47987,4213,3669,0.647573,0.871899,0.0218047,0.0,0.5,2.9,6.0,linear
39,45424,3637,3146,0.66689,0.884321,0.0221067,0.0,0.5,2.9,6.0,linear
40,43336,3139,2684,0.688236,0.896525,0.0220367,0.0,0.5,2.9,6.0,linear
41,41245,2622,2202,0.708707,0.90694,0.0225671,0.0,0.5,2.9,6.0,linear
42,39289,2225,1843,0.73173,0.917305,0.0214137,0.0,0.5,2.9,6.0,linear
43,37366,1792,1447,0.755686,0.928937,0.0208459,0.0,0.5,2.9,6.0,linear
44,35977,1443,1135,0.785617,0.941048,0.0204534,0.0,0.5,2.9,6.0,linear
45,34040,1090,848,0.812394,0.950379,0.0196109,0.0,0.5,2.9,6.0,linear
46,32738,889,670,0.839964,0.959282,0.0178929,0.0,0.5,2.9,6.0,linear
47,31271,666,510,0.866342,0.968517,0.0161351,0.0,0.5,2.9,6.0,linear
48,30131,482,375,0.888353,0.976596,0.0135604,0.0,0.5,2.9,6.0,linear
49,29366,344,260,0.915148,0.984083,0.0108111,0.0,0.5,2.9,6.0,linear
50,28445,217,161,0.934978,0.990165,0.00838666,0.0,0.5,2.9,6.0,linear
51,27780,132,94,0.953611,0.993588,0.00637679,0.0,0.5,2.9,6.0,linear
52,27371,70,46,0.968595,0.996413,0.00425066,0.0,0.5,2.9,6.0,linear
53,27057,35,19,0.981008,0.998313,0.00278654,0.0,0.5,2.9,6.0,linear
54,26783,20,12,0.989533,0.998959,0.00152445,0.0,0.5,2.9,6.0,linear
55,26502,11,6,0.993962,0.999511,0.00120391,0.0,0.5,2.9,6.0,linear
56,26170,8,5,0.996795,0.999695,0.000629555,0.0,0.5,2.9,6.0,linear
57,26290,2,1,0.99774,0.999924,0.000493827,0.0,0.5,2.9,6.0,linear
58,25973,0,0,0.999037,1.0,0.000173257,0.0,0.5,2.9,6.0,linear

