generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,rate_complete_r2,rate_partial_r2,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,78159,49299,49299,0.0,0.0,0.0,0.0,0.5,0.4,6.0,linear
2,78013,49072,49072,0.0,0.0,0.0,0.0,0.5,0.4,6.0,linear
3,80458,50599,50599,0.0,0.0,0.0,0.0,0.5,0.4,6.0,linear
4,80810,50982,50982,0.0,0.0,0.0,0.0,0.5,0.4,6.0,linear
5,78206,49842,49842,0.0,0.0,0.0,0.0,0.5,0.4,6.0,linear
6,77649,49724,49724,0.0,0.0,0.0,0.0,0.5,0.4,6.0,linear
7,78688,50124,50124,0.0,0.0,0.0,0.0,0.5,0.4,6.0,linear
8,79332,50271,50271,0.0,0.0,0.0,0.0,0.5,0.4,6.0,linear
9,78611,49771,49771,0.0,0.0,0.0,0.0,0.5,0.4,6.0,linear
10,77128,49176,49176,0.0,0.0,0.0,0.0,0.5,0.4,6.0,linear
11,78749,49988,49988,0.0,0.0,0.0,0.0,0.5,0.4,6.0,linear
12,82229,50668,50668,0.0266487,0.0315898,0.0,0.0,0.5,0.4,6.0,linear
13,82051,49791,49791,0.0459233,0.0590736,0.0,0.0,0.5,0.4,6.0,linear
14,79399,48050,48050,0.0582065,0.0828153,0.0,0.0,0.5,0.4,6.0,linear
15,78727,46862,46862,0.0710208,0.109197,0.0,0.0,0.5,0.4,6.0,linear
16,80700,46510,46510,0.0818111,0.132191,0.0,0.0,0.5,0.4,6.0,linear
17,81922,46105,46105,0.0928555,0.154849,0.0,0.0,0.5,0.4,6.0,linear
18,82134,45365,45365,0.103326,0.175294,0.0,0.0,0.5,0.4,6.0,linear
19,82542,44835,44835,0.113522,0.196492,0.0,0.0,0.5,0.4,6.0,linear
20,83030,44505,44505,0.120775,0.212184,0.0,0.0,0.5,0.4,6.0,linear
21,84756,44772,44772,0.127146,0.224618,0.0,0.0,0.5,0.4,6.0,linear
