generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,rate_complete_r2,rate_partial_r2,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,77999,49152,49152,0.0,0.0,0.0,0.0,0.5,1.9,6.0,linear
2,78099,49166,49166,0.0,0.0,0.0,0.0,0.5,1.9,6.0,linear
3,79981,50242,50242,0.0,0.0,0.0,0.0,0.5,1.9,6.0,linear
4,80393,50615,50615,0.0,0.0,0.0,0.0,0.5,1.9,6.0,linear
5,79030,50120,50120,0.0,0.0,0.0,0.0,0.5,1.9,6.0,linear
6,78284,50095,50095,0.0,0.0,0.0,0.0,0.5,1.9,6.0,linear
7,77997,49949,49949,0.0,0.0,0.0,0.0,0.5,1.9,6.0,linear
8,77621,49653,49653,0.0,0.0,0.0,0.0,0.5,1.9,6.0,linear
9,77833,49732,49732,0.0,0.0,0.0,0.0,0.5,1.9,6.0,linear
10,78200,49848,49848,0.0,0.0,0.0,0.0,0.5,1.9,6.0,linear
11,78239,49726,49726,0.0,0.0,0.0,0.0,0.5,1.9,6.0,linear
12,90371,49993,49993,0.110987,0.125938,0.0,0.0,0.5,1.9,6.0,linear
13,94643,48420,48420,0.175828,0.212943,0.0,0.0,0.5,1.9,6.0,linear
14,91141,45141,45141,0.206232,0.273768,0.0,0.0,0.5,1.9,6.0,linear
15,89346,41721,41721,0.237707,0.338519,3.99065e-06,0.0,0.5,1.9,6.0,linear
16,89333,38818,38817,0.265901,0.397751,3.91595e-06,0.0,0.5,1.9,6.0,linear
17,89706,35997,35996,0.293241,0.454205,3.8406e-06,0.0,0.5,1.9,6.0,linear
18,89154,32983,32983,0.313885,0.497199,0.0,0.0,0.5,1.9,6.0,linear
19,88890,30772,30772,0.329519,0.528576,7.59296e-06,0.0,0.5,1.9,6.0,linear
20,88390,29094,29093,0.341712,0.553083,7.59031e-06,0.0,0.5,1.9,6.0,linear
21,87651,27536,27535,0.352008,0.573438,1.52314e-05,0.0,0.5,1.9,6.0,linear
22,86662,26024,26023,0.360946,0.590342,1.15734e-05,0.0,0.5,1.9,6.0,linear
23,84855,24627,24627,0.368985,0.605592,0.0,0.0,0.5,1.9,6.0,linear
24,83801,23435,23435,0.376896,0.618443,0.0,0.0,0.5,1.9,6.0,linear
25,82224,22392,22392,0.381984,0.626887,4.01784e-06,0.0,0.5,1.9,6.0,linear
26,81465,21615,21615,0.387444,0.635791,1.63078e-05,0.0,0.5,1.9,6.0,linear
27,79756,20832,20831,0.393179,0.64371,1.24417e-05,0.0,0.5,1.9,6.0,linear
28,78503,20030,20029,0.398743,0.65281,3.36947e-05,0.0,0.5,1.9,6.0,linear
29,76899,19104,19103,0.403275,0.659761,2.14202e-05,0.0,0.5,1.9,6.0,linear
30,75873,18446,18444,0.408086,0.667739,3.04221e-05,0.0,0.5,1.9,6.0,linear
31,74622,17760,17758,0.413105,0.674606,2.20468e-05,0.0,0.5,1.9,6.0,linear
32,73712,17127,17126,0.417309,0.678361,1.79772e-05,0.0,0.5,1.9,6.0,linear
33,71930,16581,16580,0.419753,0.683175,1.37268e-05,0.0,0.5,1.9,6.0,linear
34,71105,16105,16104,0.424433,0.688237,4.19663e-05,0.0,0.5,1.9,6.0,linear
35,69271,15503,15500,0.428184,0.692533,6.19431e-05,0.0,0.5,1.9,6.0,linear
36,67894,14894,14889,0.431702,0.695787,4.88649e-05,0.0,0.5,1.9,6.0,linear
