generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,rate_complete_r2,rate_partial_r2,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,78581,49323,49323,0.0,0.0,0.0,0.0,0.5,1.4,6.0,linear
2,78696,49221,49221,0.0,0.0,0.0,0.0,0.5,1.4,6.0,linear
3,79744,50160,50160,0.0,0.0,0.0,0.0,0.5,1.4,6.0,linear
4,80636,50973,50973,0.0,0.0,0.0,0.0,0.5,1.4,6.0,linear
5,79113,50477,50477,0.0,0.0,0.0,0.0,0.5,1.4,6.0,linear
6,77623,49896,49896,0.0,0.0,0.0,0.0,0.5,1.4,6.0,linear
7,78085,50105,50105,0.0,0.0,0.0,0.0,0.5,1.4,6.0,linear
8,78344,50088,50088,0.0,0.0,0.0,0.0,0.5,1.4,6.0,linear
9,79384,50363,50363,0.0,0.0,0.0,0.0,0.5,1.4,6.0,linear
10,78307,49672,49672,0.0,0.0,0.0,0.0,0.5,1.4,6.0,linear
11,78482,49943,49943,0.0,0.0,0.0,0.0,0.5,1.4,6.0,linear
12,88370,50840,50840,0.0854997,0.0975183,0.0,0.0,0.5,1.4,6.0,linear
13,89198,48396,48396,0.139001,0.169952,0.0,0.0,0.5,1.4,6.0,linear
14,85564,45257,45257,0.164467,0.223116,0.0,0.0,0.5,1.4,6.0,linear
15,85651,43012,43012,0.193086,0.282213,0.0,0.0,0.5,1.4,6.0,linear
16,86827,40771,40771,0.219658,0.337826,0.0,0.0,0.5,1.4,6.0,linear
17,86830,38139,38139,0.243228,0.38686,0.0,0.0,0.5,1.4,6.0,linear
18,86558,35749,35749,0.264275,0.430361,0.0,0.0,0.5,1.4,6.0,linear
19,86795,34060,34060,0.282292,0.467317,0.0,0.0,0.5,1.4,6.0,linear
20,86667,32106,32106,0.297974,0.498508,0.0,0.0,0.5,1.4,6.0,linear
21,85337,30087,30087,0.311569,0.525924,0.0,0.0,0.5,1.4,6.0,linear
22,84053,28342,28342,0.323927,0.548839,0.0,0.0,0.5,1.4,6.0,linear
23,82545,26772,26772,0.333963,0.568678,0.0,0.0,0.5,1.4,6.0,linear
24,81108,25143,25143,0.344964,0.588801,0.0,0.0,0.5,1.4,6.0,linear
25,79699,23724,23724,0.355318,0.606454,0.0,0.0,0.5,1.4,6.0,linear
26,77193,22323,22323,0.362244,0.618189,0.0,0.0,0.5,1.4,6.0,linear
27,75226,20984,20984,0.372888,0.635739,0.0,0.0,0.5,1.4,6.0,linear
28,73072,19697,19697,0.382164,0.651215,0.0,0.0,0.5,1.4,6.0,linear
29,70476,18263,18263,0.390769,0.664685,0.0,0.0,0.5,1.4,6.0,linear
30,67981,16830,16830,0.39968,0.679361,0.0,0.0,0.5,1.4,6.0,linear
31,65620,15627,15627,0.409672,0.694003,0.0,0.0,0.5,1.4,6.0,linear
32,62834,14303,14303,0.422952,0.713084,0.0,0.0,0.5,1.4,6.0,linear
33,60006,12960,12960,0.431595,0.725167,0.0,0.0,0.5,1.4,6.0,linear
34,57122,11786,11786,0.440312,0.734769,0.0,0.0,0.5,1.4,6.0,linear
35,54328,10744,10744,0.450063,0.747278,0.0,0.0,0.5,1.4,6.0,linear
36,51393,9587,9587,0.463884,0.763486,0.0,0.0,0.5,1.4,6.0,linear
37,48331,8438,8438,0.47704,0.77728,0.0,0.0,0.5,1.4,6.0,linear
38,45328,7427,7427,0.489373,0.791038,0.0,0.0,0.5,1.4,6.0,linear
39,42303,6447,6447,0.504413,0.805923,0.0,0.0,0.5,1.4,6.0,linear
40,39267,5629,5629,0.521096,0.820636,0.0,0.0,0.5,1.4,6.0,linear
41,36259,4692,4692,0.539531,0.835416,0.0,0.0,0.5,1.4,6.0,linear
42,33625,3934,3934,0.559565,0.848886,0.0,0.0,0.5,1.4,6.0,linear
43,30814,3301,3301,0.581266,0.863159,0.0,0.0,0.5,1.4,6.0,linear
44,28058,2677,2677,0.606418,0.878547,0.0,0.0,0.5,1.4,6.0,linear
45,25551,2090,2090,0.638538,0.898305,0.0,0.0,0.5,1.4,6.0,linear
46,23296,1588,1588,0.672382,0.913411,0.0,0.0,0.5,1.4,6.0,linear
47,21158,1244,1244,0.706299,0.925869,0.0,0.0,0.5,1.4,6.0,linear
48,19321,904,904,0.741282,0.93947,0.0,0.0,0.5,1.4,6.0,linear
49,17955,644,644,0.780188,0.950747,0.0,0.0,0.5,1.4,6.0,linear
50,16610,487,487,0.815797,0.961752,0.0,0.0,0.5,1.4,6.0,linear
51,15629,315,315,0.853035,0.972377,0.0,0.0,0.5,1.4,6.0,linear
52,14856,248,248,0.890413,0.977524,0.0,0.0,0.5,1.4,6.0,linear
53,14259,167,167,0.915435,0.986077,0.0,0.0,0.5,1.4,6.0,linear
54,13748,94,94,0.937107,0.992178,0.0,0.0,0.5,1.4,6.0,linear
55,13504,61,61,0.958859,0.995066,0.0,0.0,0.5,1.4,6.0,linear
56,13202,24,24,0.973574,0.998128,0.0,0.0,0.5,1.4,6.0,linear
57,12845,7,7,0.986028,0.999458,0.0,0.0,0.5,1.4,6.0,linear
58,12807,2,2,0.993882,0.999844,0.0,0.0,0.5,1.4,6.0,linear
59,12683,1,1,0.99795,0.999921,0.0,0.0,0.5,1.4,6.0,linear
60,12592,0,0,0.999484,1.0,0.0,0.0,0.5,1.4,6.0,linear

