generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,rate_complete_r2,rate_partial_r2,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,78013,48996,48996,0.0,0.0,0.0,0.0,0.5,2.0,6.0,linear
2,78114,49215,49215,0.0,0.0,0.0,0.0,0.5,2.0,6.0,linear
3,79795,50456,50456,0.0,0.0,0.0,0.0,0.5,2.0,6.0,linear
4,80098,50903,50903,0.0,0.0,0.0,0.0,0.5,2.0,6.0,linear
5,78510,50245,50245,0.0,0.0,0.0,0.0,0.5,2.0,6.0,linear
6,78182,50110,50110,0.0,0.0,0.0,0.0,0.5,2.0,6.0,linear
7,77949,49892,49892,0.0,0.0,0.0,0.0,0.5,2.0,6.0,linear
8,77894,49648,49648,0.0,0.0,0.0,0.0,0.5,2.0,6.0,linear
9,78616,49754,49754,0.0,0.0,0.0,0.0,0.5,2.0,6.0,linear
10,79015,50075,50075,0.0,0.0,0.0,0.0,0.5,2.0,6.0,linear
11,79388,50389,50389,0.0,0.0,0.0,0.0,0.5,2.0,6.0,linear
12,91136,50523,50523,0.115881,0.13083,0.0,0.0,0.5,2.0,6.0,linear
13,94520,48195,48195,0.184784,0.220848,0.0,0.0,0.5,2.0,6.0,linear
14,90280,44238,44238,0.216096,0.285193,0.0,0.0,0.5,2.0,6.0,linear
15,89652,41011,41011,0.247719,0.352939,0.0,0.0,0.5,2.0,6.0,linear
16,90538,38061,38061,0.279342,0.41908,0.0,0.0,0.5,2.0,6.0,linear
17,90062,34710,34710,0.306698,0.477172,0.0,0.0,0.5,2.0,6.0,linear
18,89840,32068,32068,0.33048,0.525171,0.0,0.0,0.5,2.0,6.0,linear
19,89223,29424,29424,0.351273,0.567096,0.0,0.0,0.5,2.0,6.0,linear
20,87740,26786,26786,0.369939,0.602536,0.0,0.0,0.5,2.0,6.0,linear
21,85554,24251,24251,0.386444,0.63173,0.0,0.0,0.5,2.0,6.0,linear
22,83153,22035,22035,0.403116,0.661329,0.0,0.0,0.5,2.0,6.0,linear
23,80341,19518,19518,0.418477,0.685357,0.0,0.0,0.5,2.0,6.0,linear
24,76626,17554,17554,0.432493,0.70631,0.0,0.0,0.5,2.0,6.0,linear
25,72620,15498,15498,0.447735,0.72878,0.0,0.0,0.5,2.0,6.0,linear
26,68828,13631,13631,0.462675,0.746876,0.0,0.0,0.5,2.0,6.0,linear
27,65012,11939,11939,0.477311,0.764852,0.0,0.0,0.5,2.0,6.0,linear
28,60821,10296,10296,0.493944,0.783415,0.0,0.0,0.5,2.0,6.0,linear
29,56760,8843,8843,0.511286,0.800631,0.0,0.0,0.5,2.0,6.0,linear
30,52738,7513,7513,0.529631,0.817023,0.0,0.0,0.5,2.0,6.0,linear
31,48311,6328,6328,0.551763,0.836676,0.0,0.0,0.5,2.0,6.0,linear
32,44241,5133,5133,0.574187,0.853757,0.0,0.0,0.5,2.0,6.0,linear
33,40435,4167,4167,0.599109,0.870075,0.0,0.0,0.5,2.0,6.0,linear
34,37208,3333,3333,0.626987,0.884856,0.0,0.0,0.5,2.0,6.0,linear
35,34136,2642,2642,0.654659,0.899034,0.0,0.0,0.5,2.0,6.0,linear
36,31385,2069,2069,0.683983,0.910747,0.0,0.0,0.5,2.0,6.0,linear
37,28691,1593,1593,0.715657,0.925991,0.0,0.0,0.5,2.0,6.0,linear
38,26823,1204,1204,0.754705,0.939847,0.0,0.0,0.5,2.0,6.0,linear
39,24899,898,898,0.789021,0.952777,0.0,0.0,0.5,2.0,6.0,linear
40,23353,623,623,0.826533,0.966881,0.0,0.0,0.5,2.0,6.0,linear
41,22039,381,381,0.863816,0.977529,0.0,0.0,0.5,2.0,6.0,linear
42,21008,216,216,0.897422,0.98481,0.0,0.0,0.5,2.0,6.0,linear
43,20105,149,149,0.929735,0.989503,0.0,0.0,0.5,2.0,6.0,linear
44,19308,87,87,0.951385,0.993907,0.0,0.0,0.5,2.0,6.0,linear
45,18917,47,47,0.970219,0.996824,0.0,0.0,0.5,2.0,6.0,linear
46,18552,25,25,0.98308,0.998447,0.0,0.0,0.5,2.0,6.0,linear
47,18307,12,12,0.990164,0.999294,0.0,0.0,0.5,2.0,6.0,linear
48,18082,8,8,0.994512,0.999559,0.0,0.0,0.5,2.0,6.0,linear
49,18099,2,2,0.997296,0.99989,0.0,0.0,0.5,2.0,6.0,linear
50,18227,0,0,0.998684,1.0,0.0,0.0,0.5,2.0,6.0,linear

