drive_fitness,drop_ratio,drive_efficiency,low_density_growth_rate,density_growth_curve,weeks_to_suppression,type
1.0,2.5,0.5,3.0,linear,33.350,FLAD
1.0,2.5,0.5,4.0,linear,38.300,FLAD
1.0,2.5,0.5,5.0,linear,45.050,FLAD
1.0,2.5,0.5,6.0,linear,55.050,FLAD
1.0,2.5,0.5,7.0,linear,73.750,FLAD
1.0,2.5,0.5,8.0,linear,186.550,FLAD
1.0,2.5,0.5,9.0,linear,NAN,FLAD
1.0,3.0,0.5,10.0,linear,NAN,FLAD
1.0,3.0,0.5,11.0,linear,NAN,FLAD
1.0,3.0,0.5,12.0,linear,NAN,FLAD
1.0,3.0,0.5,13.0,linear,NAN,FLAD
1.0,3.0,0.5,14.0,linear,NAN,FLAD
1.0,3.0,0.5,15.0,linear,NAN,FLAD
1.0,3.0,0.5,16.0,linear,NAN,FLAD
1.0,3.0,0.5,2.0,linear,28.100,FLAD
1.0,3.0,0.5,3.0,linear,31.500,FLAD
1.0,3.0,0.5,4.0,linear,35.550,FLAD
1.0,3.0,0.5,5.0,linear,40.900,FLAD
1.0,3.0,0.5,6.0,linear,48.100,FLAD
1.0,3.0,0.5,7.0,linear,57.300,FLAD
1.0,3.0,0.5,8.0,linear,79.300,FLAD
1.0,3.0,0.5,9.0,linear,261.529,FLAD
1.0,3.5,0.5,10.0,linear,NAN,FLAD
1.0,3.5,0.5,11.0,linear,NAN,FLAD
1.0,3.5,0.5,12.0,linear,NAN,FLAD
1.0,3.5,0.5,13.0,linear,NAN,FLAD
1.0,3.5,0.5,14.0,linear,NAN,FLAD
1.0,3.5,0.5,15.0,linear,NAN,FLAD
1.0,3.5,0.5,16.0,linear,NAN,FLAD
1.0,3.5,0.5,2.0,linear,27.100,FLAD
1.0,3.5,0.5,3.0,linear,30.250,FLAD
1.0,3.5,0.5,4.0,linear,33.500,FLAD
1.0,3.5,0.5,5.0,linear,38.350,FLAD
1.0,3.5,0.5,6.0,linear,42.750,FLAD
1.0,3.5,0.5,7.0,linear,50.450,FLAD
1.0,3.5,0.5,8.0,linear,61.400,FLAD
1.0,3.5,0.5,9.0,linear,87.150,FLAD
1.0,4.0,0.5,10.0,linear,97.350,FLAD
1.0,4.0,0.5,11.0,linear,NAN,FLAD
1.0,4.0,0.5,12.0,linear,NAN,FLAD
1.0,4.0,0.5,13.0,linear,NAN,FLAD
1.0,4.0,0.5,14.0,linear,NAN,FLAD
1.0,4.0,0.5,15.0,linear,NAN,FLAD
1.0,4.0,0.5,16.0,linear,NAN,FLAD
1.0,4.0,0.5,2.0,linear,26.150,FLAD
1.0,4.0,0.5,3.0,linear,29.700,FLAD
1.0,4.0,0.5,4.0,linear,32.250,FLAD
1.0,4.0,0.5,5.0,linear,35.800,FLAD
1.0,4.0,0.5,6.0,linear,39.900,FLAD
1.0,4.0,0.5,7.0,linear,45.750,FLAD
1.0,4.0,0.5,8.0,linear,53.500,FLAD
1.0,4.0,0.5,9.0,linear,66.600,FLAD
1.0,4.5,0.5,10.0,linear,71.550,FLAD
1.0,4.5,0.5,11.0,linear,112.750,FLAD
1.0,4.5,0.5,12.0,linear,NAN,FLAD
1.0,4.5,0.5,13.0,linear,NAN,FLAD
1.0,4.5,0.5,14.0,linear,NAN,FLAD
1.0,4.5,0.5,15.0,linear,NAN,FLAD
1.0,4.5,0.5,16.0,linear,NAN,FLAD
1.0,4.5,0.5,2.0,linear,25.750,FLAD
1.0,4.5,0.5,3.0,linear,28.050,FLAD
1.0,4.5,0.5,4.0,linear,30.900,FLAD
1.0,4.5,0.5,5.0,linear,34.750,FLAD
1.0,4.5,0.5,6.0,linear,38.850,FLAD
1.0,4.5,0.5,7.0,linear,42.650,FLAD
1.0,4.5,0.5,8.0,linear,48.300,FLAD
1.0,4.5,0.5,9.0,linear,56.350,FLAD
1.0,5.0,0.5,10.0,linear,60.300,FLAD
1.0,5.0,0.5,11.0,linear,79.150,FLAD
1.0,5.0,0.5,12.0,linear,141.350,FLAD
1.0,5.0,0.5,13.0,linear,NAN,FLAD
1.0,5.0,0.5,14.0,linear,NAN,FLAD
1.0,5.0,0.5,15.0,linear,NAN,FLAD
1.0,5.0,0.5,16.0,linear,NAN,FLAD
1.0,5.0,0.5,2.0,linear,25.400,FLAD
1.0,5.0,0.5,3.0,linear,28.500,FLAD
1.0,5.0,0.5,4.0,linear,30.750,FLAD
1.0,5.0,0.5,5.0,linear,33.700,FLAD
1.0,5.0,0.5,6.0,linear,35.800,FLAD
1.0,5.0,0.5,7.0,linear,39.700,FLAD
1.0,5.0,0.5,8.0,linear,43.750,FLAD
1.0,5.0,0.5,9.0,linear,51.250,FLAD
1.0,5.5,0.5,10.0,linear,54.650,FLAD
1.0,5.5,0.5,11.0,linear,66.000,FLAD
1.0,5.5,0.5,12.0,linear,87.800,FLAD
1.0,5.5,0.5,13.0,linear,203.150,FLAD
1.0,5.5,0.5,14.0,linear,NAN,FLAD
1.0,5.5,0.5,15.0,linear,NAN,FLAD
1.0,5.5,0.5,16.0,linear,NAN,FLAD
1.0,5.5,0.5,2.0,linear,24.950,FLAD
1.0,5.5,0.5,3.0,linear,26.850,FLAD
1.0,5.5,0.5,4.0,linear,29.450,FLAD
1.0,5.5,0.5,5.0,linear,32.050,FLAD
1.0,5.5,0.5,6.0,linear,35.100,FLAD
1.0,5.5,0.5,7.0,linear,38.300,FLAD
1.0,5.5,0.5,8.0,linear,42.000,FLAD
1.0,5.5,0.5,9.0,linear,47.750,FLAD
1.0,6.0,0.5,10.0,linear,50.050,FLAD
1.0,6.0,0.5,11.0,linear,57.850,FLAD
1.0,6.0,0.5,12.0,linear,70.850,FLAD
1.0,6.0,0.5,13.0,linear,100.100,FLAD
1.0,6.0,0.5,14.0,linear,NAN,FLAD
1.0,6.0,0.5,15.0,linear,NAN,FLAD
1.0,6.0,0.5,16.0,linear,NAN,FLAD
1.0,6.0,0.5,2.0,linear,24.850,FLAD
1.0,6.0,0.5,3.0,linear,27.100,FLAD
1.0,6.0,0.5,4.0,linear,29.800,FLAD
1.0,6.0,0.5,5.0,linear,30.450,FLAD
1.0,6.0,0.5,6.0,linear,34.050,FLAD
1.0,6.0,0.5,7.0,linear,36.750,FLAD
1.0,6.0,0.5,8.0,linear,40.350,FLAD
1.0,6.0,0.5,9.0,linear,44.400,FLAD
1.0,6.5,0.5,10.0,linear,47.600,FLAD
1.0,6.5,0.5,11.0,linear,53.550,FLAD
1.0,6.5,0.5,12.0,linear,62.150,FLAD
1.0,6.5,0.5,13.0,linear,77.300,FLAD
1.0,6.5,0.5,14.0,linear,117.850,FLAD
1.0,6.5,0.5,15.0,linear,NAN,FLAD
1.0,6.5,0.5,16.0,linear,NAN,FLAD
1.0,6.5,0.5,2.0,linear,24.350,FLAD
1.0,6.5,0.5,3.0,linear,26.700,FLAD
1.0,6.5,0.5,4.0,linear,28.050,FLAD
1.0,6.5,0.5,5.0,linear,30.950,FLAD
1.0,6.5,0.5,6.0,linear,32.800,FLAD
1.0,6.5,0.5,7.0,linear,36.000,FLAD
1.0,6.5,0.5,8.0,linear,38.300,FLAD
1.0,6.5,0.5,9.0,linear,41.950,FLAD
1.0,7.0,0.5,10.0,linear,44.850,FLAD
1.0,7.0,0.5,11.0,linear,49.550,FLAD
1.0,7.0,0.5,12.0,linear,56.100,FLAD
1.0,7.0,0.5,13.0,linear,67.200,FLAD
1.0,7.0,0.5,14.0,linear,86.750,FLAD
1.0,7.0,0.5,15.0,linear,158.450,FLAD
1.0,7.0,0.5,16.0,linear,NAN,FLAD
1.0,7.0,0.5,2.0,linear,23.950,FLAD
1.0,7.0,0.5,3.0,linear,26.300,FLAD
1.0,7.0,0.5,4.0,linear,27.800,FLAD
1.0,7.0,0.5,5.0,linear,30.500,FLAD
1.0,7.0,0.5,6.0,linear,32.450,FLAD
1.0,7.0,0.5,7.0,linear,35.050,FLAD
1.0,7.0,0.5,8.0,linear,37.100,FLAD
1.0,7.0,0.5,9.0,linear,40.800,FLAD
1.0,7.5,0.5,10.0,linear,42.800,FLAD
1.0,7.5,0.5,11.0,linear,46.750,FLAD
1.0,7.5,0.5,12.0,linear,52.800,FLAD
1.0,7.5,0.5,13.0,linear,61.150,FLAD
1.0,7.5,0.5,14.0,linear,72.050,FLAD
1.0,7.5,0.5,15.0,linear,99.200,FLAD
1.0,7.5,0.5,16.0,linear,252.666,FLAD
1.0,7.5,0.5,2.0,linear,23.550,FLAD
1.0,7.5,0.5,3.0,linear,26.000,FLAD
1.0,7.5,0.5,4.0,linear,27.200,FLAD
1.0,7.5,0.5,5.0,linear,29.900,FLAD
1.0,7.5,0.5,6.0,linear,31.350,FLAD
1.0,7.5,0.5,7.0,linear,33.850,FLAD
1.0,7.5,0.5,8.0,linear,36.300,FLAD
1.0,7.5,0.5,9.0,linear,38.600,FLAD
1.0,8.0,0.5,10.0,linear,40.400,FLAD
1.0,8.0,0.5,11.0,linear,44.350,FLAD
1.0,8.0,0.5,12.0,linear,49.750,FLAD
1.0,8.0,0.5,13.0,linear,55.950,FLAD
1.0,8.0,0.5,14.0,linear,65.200,FLAD
1.0,8.0,0.5,15.0,linear,79.300,FLAD
1.0,8.0,0.5,16.0,linear,115.850,FLAD
1.0,8.0,0.5,2.0,linear,23.450,FLAD
1.0,8.0,0.5,3.0,linear,24.700,FLAD
1.0,8.0,0.5,4.0,linear,27.250,FLAD
1.0,8.0,0.5,5.0,linear,29.400,FLAD
1.0,8.0,0.5,6.0,linear,30.750,FLAD
1.0,8.0,0.5,7.0,linear,33.050,FLAD
1.0,8.0,0.5,8.0,linear,35.100,FLAD
1.0,8.0,0.5,9.0,linear,38.450,FLAD
1.0,8.5,0.5,10.0,linear,39.700,FLAD
1.0,8.5,0.5,11.0,linear,43.100,FLAD
1.0,8.5,0.5,12.0,linear,47.650,FLAD
1.0,8.5,0.5,13.0,linear,51.500,FLAD
1.0,8.5,0.5,14.0,linear,59.200,FLAD
