sim.cycle,total_adults_2,total_adult_females_2,total_juveniles_2,adult_drive_frequency_2,juveniles_drive_frequency_2,total_adults_3,total_adult_females_3,total_juveniles_3,adult_drive_frequency_3,juveniles_drive_frequency_3,drive_efficiency,drive_fitness,low_density_growth_rate,drop_ratio
1,77808,48689,28548,0.0,0.0,79649,50118,28647,0.0,0.0,0.5,1.0,6.0,3.0
2,76957,48204,30710,0.0,0.0,80162,50587,28508,0.0,0.0,0.5,1.0,6.0,3.0
3,78803,49306,31194,0.0,0.0,79980,51015,27505,0.0,0.0,0.5,1.0,6.0,3.0
4,80417,50191,28645,0.0,0.0,79199,50757,26657,0.0,0.0,0.5,1.0,6.0,3.0
5,79407,50099,29040,0.0,0.0,77772,50098,28690,0.0,0.0,0.5,1.0,6.0,3.0
6,78759,49844,27909,0.0,0.0,78465,50151,27977,0.0,0.0,0.5,1.0,6.0,3.0
7,77087,49078,29514,0.0,0.0,78757,50234,28632,0.0,0.0,0.5,1.0,6.0,3.0
8,77590,49249,29833,0.0,0.0,79322,50799,29195,0.0,0.0,0.5,1.0,6.0,3.0
9,78610,49590,28890,0.0,0.0,80329,51597,26091,0.0,0.0,0.5,1.0,6.0,3.0
10,78125,49495,30321,0.0,0.0,78217,50667,26189,0.0,0.0,0.5,1.0,6.0,3.0
11,79362,50177,28150,0.0,0.0,76521,49674,28627,0.0,0.0,0.5,1.0,6.0,3.0
12,95759,49574,28261,0.18463,0.0822865,78399,50053,28989,0.00487251,0.0,0.5,1.0,6.0,3.0
13,101209,46831,29117,0.270969,0.157812,80243,50559,27984,0.00910983,0.00362707,0.5,1.0,6.0,3.0
14,96909,42649,33745,0.30088,0.227812,80070,50549,27334,0.0104409,0.00876198,0.5,1.0,6.0,3.0
15,95394,38470,37760,0.333045,0.274669,78647,49668,28252,0.0126769,0.0141937,0.5,1.0,6.0,3.0
16,95406,34590,41207,0.36428,0.321754,78756,49639,28809,0.0145195,0.0210524,0.5,1.0,6.0,3.0
17,95567,30418,42525,0.395738,0.352757,79036,49383,29323,0.0167898,0.0237868,0.5,1.0,6.0,3.0
