sim.cycle,total_adults_2,total_adult_females_2,total_juveniles_2,adult_drive_frequency_2,juveniles_drive_frequency_2,total_adults_3,total_adult_females_3,total_juveniles_3,adult_drive_frequency_3,juveniles_drive_frequency_3,drive_efficiency,drive_fitness,low_density_growth_rate,drop_ratio
1,74530,46654,28438,0.0,0.0,82392,52036,28347,0.0,0.0,0.5,1.0,6.0,3.0
2,72142,44745,35619,0.0,0.0,84179,53566,24698,0.0,0.0,0.5,1.0,6.0,3.0
3,78247,47404,33821,0.0,0.0,81368,52934,23271,0.0,0.0,0.5,1.0,6.0,3.0
4,80927,49073,31220,0.0,0.0,77696,51413,26360,0.0,0.0,0.5,1.0,6.0,3.0
5,79891,49100,28992,0.0,0.0,78470,51605,26489,0.0,0.0,0.5,1.0,6.0,3.0
6,76431,47866,29830,0.0,0.0,79605,51986,26969,0.0,0.0,0.5,1.0,6.0,3.0
7,75276,47114,31981,0.0,0.0,80896,52553,25342,0.0,0.0,0.5,1.0,6.0,3.0
8,76836,47447,32231,0.0,0.0,79713,52031,23835,0.0,0.0,0.5,1.0,6.0,3.0
9,78128,48035,31691,0.0,0.0,77447,50912,26412,0.0,0.0,0.5,1.0,6.0,3.0
10,78299,48122,30673,0.0,0.0,78507,51426,26598,0.0,0.0,0.5,1.0,6.0,3.0
11,77506,47893,31609,0.0,0.0,79685,52113,26295,0.0,0.0,0.5,1.0,6.0,3.0
12,94508,48263,30958,0.174398,0.0840332,81523,52307,24140,0.0178845,0.0,0.5,1.0,6.0,3.0
13,98929,45550,30815,0.255203,0.166753,80977,51187,25696,0.0352816,0.0127646,0.5,1.0,6.0,3.0
14,94260,40613,35341,0.293306,0.228347,80649,50811,28356,0.0377066,0.0331676,0.5,1.0,6.0,3.0
15,92145,36380,40028,0.329258,0.279779,81989,50908,27936,0.0450365,0.050383,0.5,1.0,6.0,3.0
16,91841,32740,42292,0.359954,0.322011,82189,50010,27105,0.0518622,0.0683269,0.5,1.0,6.0,3.0
17,90967,28624,43089,0.390796,0.347571,80655,48356,29789,0.0601451,0.086777,0.5,1.0,6.0,3.0
18,88969,24832,43466,0.419781,0.363226,81174,47639,31365,0.0692894,0.0995855,0.5,1.0,6.0,3.0
19,87027,22172,42223,0.442466,0.377472,82374,47387,31632,0.076183,0.108624,0.5,1.0,6.0,3.0
20,84446,19596,40701,0.46406,0.383295,83207,46908,32101,0.0815797,0.115744,0.5,1.0,6.0,3.0
21,81279,17446,39750,0.482695,0.389811,83153,46083,32716,0.0863769,0.12095,0.5,1.0,6.0,3.0
22,78655,15581,37029,0.499676,0.397594,83468,45904,34102,0.0892618,0.128453,0.5,1.0,6.0,3.0
23,74773,13918,35571,0.516109,0.402491,84068,45846,33591,0.0915093,0.136495,0.5,1.0,6.0,3.0
24,71772,12640,32900,0.532359,0.405988,83518,45331,33906,0.0954225,0.13564,0.5,1.0,6.0,3.0
25,68404,11470,30365,0.548513,0.412432,83529,45056,34593,0.0970142,0.141994,0.5,1.0,6.0,3.0
