sim.cycle,total_adults_2,total_adult_females_2,total_juveniles_2,adult_drive_frequency_2,juveniles_drive_frequency_2,total_adults_3,total_adult_females_3,total_juveniles_3,adult_drive_frequency_3,juveniles_drive_frequency_3,drive_efficiency,drive_fitness,low_density_growth_rate,drop_ratio
1,78084,48870,28437,0.0,0.0,79522,50371,28330,0.0,0.0,0.5,1.0,6.0,3.0
2,77029,48360,30789,0.0,0.0,80027,50838,27546,0.0,0.0,0.5,1.0,6.0,3.0
3,78799,49316,29993,0.0,0.0,79120,50665,27710,0.0,0.0,0.5,1.0,6.0,3.0
4,79639,50161,28876,0.0,0.0,78628,50634,27424,0.0,0.0,0.5,1.0,6.0,3.0
5,79120,50089,28019,0.0,0.0,78284,50613,29244,0.0,0.0,0.5,1.0,6.0,3.0
6,77370,49339,28401,0.0,0.0,79821,51157,26926,0.0,0.0,0.5,1.0,6.0,3.0
7,76831,48823,30935,0.0,0.0,78848,50477,27305,0.0,0.0,0.5,1.0,6.0,3.0
8,78938,49865,29839,0.0,0.0,78099,50056,28318,0.0,0.0,0.5,1.0,6.0,3.0
9,79720,50272,28467,0.0,0.0,78718,50375,29148,0.0,0.0,0.5,1.0,6.0,3.0
10,78514,49597,29339,0.0,0.0,79957,50682,27820,0.0,0.0,0.5,1.0,6.0,3.0
11,78451,49528,29280,0.0,0.0,79497,50753,28126,0.0,0.0,0.5,1.0,6.0,3.0
12,96129,49534,29009,0.184148,0.075873,79883,51011,27937,0.0049197,0.0,0.5,1.0,6.0,3.0
13,102455,47154,29047,0.268713,0.159535,79940,50724,26907,0.00951964,0.00325194,0.5,1.0,6.0,3.0
14,98018,43145,33572,0.299471,0.225768,78699,50081,27941,0.0101907,0.00914427,0.5,1.0,6.0,3.0
15,95802,38975,37613,0.33254,0.280541,78309,49578,28880,0.0114419,0.0143525,0.5,1.0,6.0,3.0
16,95428,34752,41045,0.365548,0.320636,78960,49577,29573,0.0138235,0.0196463,0.5,1.0,6.0,3.0
17,94985,30604,42442,0.394236,0.353235,80337,50047,29012,0.0160574,0.0244726,0.5,1.0,6.0,3.0
18,93564,26645,43410,0.424693,0.367761,80101,49757,29161,0.0183206,0.0284112,0.5,1.0,6.0,3.0
19,91746,23585,42906,0.447404,0.379248,80015,49560,29112,0.0213148,0.0320143,0.5,1.0,6.0,3.0
20,89576,21038,42350,0.467966,0.384982,79574,49223,29112,0.0230729,0.0336459,0.5,1.0,6.0,3.0
21,87334,19058,40598,0.483718,0.388406,79300,48825,30106,0.0237957,0.0383977,0.5,1.0,6.0,3.0
22,84562,17288,38447,0.497381,0.398497,79644,48545,29740,0.024936,0.0417787,0.5,1.0,6.0,3.0
23,81379,15615,37546,0.512614,0.399909,79438,48259,30713,0.0260014,0.0436949,0.5,1.0,6.0,3.0
24,78309,14311,34987,0.525917,0.407366,79983,48718,32187,0.0268807,0.0454687,0.5,1.0,6.0,3.0
25,75323,13161,33405,0.541588,0.408666,81607,49436,28888,0.0275405,0.0468014,0.5,1.0,6.0,3.0
26,72401,11985,32135,0.554516,0.414921,80228,48808,29984,0.0288116,0.0484425,0.5,1.0,6.0,3.0
27,70007,10944,30004,0.569443,0.416994,79657,48662,30524,0.0292818,0.0502883,0.5,1.0,6.0,3.0
28,67495,9887,28375,0.584347,0.417427,79550,48526,29881,0.029516,0.0507513,0.5,1.0,6.0,3.0
29,64837,9130,26184,0.59547,0.424935,79574,48256,30894,0.0298967,0.0509322,0.5,1.0,6.0,3.0
30,61573,8162,24442,0.611705,0.431511,79839,48273,30142,0.0303611,0.0526674,0.5,1.0,6.0,3.0
31,58704,7248,22762,0.629403,0.431575,79177,47741,32207,0.0304255,0.0536219,0.5,1.0,6.0,3.0
32,56586,6424,20587,0.647757,0.433259,80841,48391,31749,0.031296,0.0537655,0.5,1.0,6.0,3.0
33,53900,5669,18554,0.665056,0.434623,81513,48782,30111,0.0313692,0.0545648,0.5,1.0,6.0,3.0
34,51262,5090,16988,0.682513,0.441429,80647,48437,29652,0.0307203,0.0539087,0.5,1.0,6.0,3.0
35,48631,4494,15114,0.702474,0.447962,79298,48014,31209,0.0315266,0.057163,0.5,1.0,6.0,3.0
36,45909,3768,13599,0.724292,0.451761,79527,47955,30707,0.0319451,0.0556713,0.5,1.0,6.0,3.0
37,44106,3134,11340,0.746849,0.451543,79550,47847,31397,0.0316845,0.0556423,0.5,1.0,6.0,3.0
38,41693,2644,9985,0.771436,0.455583,80237,48081,31711,0.0315316,0.0531046,0.5,1.0,6.0,3.0
39,39535,2164,8388,0.793563,0.464175,80914,48445,30822,0.0310206,0.0544416,0.5,1.0,6.0,3.0
40,37531,1635,7155,0.819562,0.468553,80829,48546,29798,0.0306697,0.0518995,0.5,1.0,6.0,3.0
41,35760,1315,5586,0.844128,0.467061,79583,48253,30768,0.0300064,0.0541797,0.5,1.0,6.0,3.0
42,33672,996,4308,0.868808,0.47052,79324,48123,31328,0.0300729,0.050897,0.5,1.0,6.0,3.0
43,32266,770,3308,0.892301,0.473247,79934,48315,30397,0.0292929,0.0518472,0.5,1.0,6.0,3.0
44,30826,567,2613,0.913158,0.477421,79590,48109,30486,0.0289358,0.051499,0.5,1.0,6.0,3.0
45,29642,415,1946,0.931668,0.477133,79392,47868,31430,0.0288946,0.0511772,0.5,1.0,6.0,3.0
