sim.cycle,total_adults_2,total_adult_females_2,total_juveniles_2,adult_drive_frequency_2,juveniles_drive_frequency_2,total_adults_3,total_adult_females_3,total_juveniles_3,adult_drive_frequency_3,juveniles_drive_frequency_3,drive_efficiency,drive_fitness,low_density_growth_rate,drop_ratio
56,0,0,0,NAN,NAN,79241,45840,34083,0.0449199,0.0968958,0.5,1.0,6.0,3.0
57,0,0,0,NAN,NAN,80422,46470,33477,0.0427744,0.0898229,0.5,1.0,6.0,3.0
58,0,0,0,NAN,NAN,80852,47088,32665,0.0395043,0.0841267,0.5,1.0,6.0,3.0
59,0,0,0,NAN,NAN,80604,47598,33034,0.0362637,0.076618,0.5,1.0,6.0,3.0
60,0,0,0,NAN,NAN,81079,48276,31292,0.0332577,0.0738687,0.5,1.0,6.0,3.0
61,0,0,0,NAN,NAN,79789,47938,30685,0.0304553,0.0672967,0.5,1.0,6.0,3.0
62,0,0,0,NAN,NAN,78534,47476,31149,0.0278414,0.065299,0.5,1.0,6.0,3.0
63,0,0,0,NAN,NAN,78396,47502,32374,0.026583,0.0586427,0.5,1.0,6.0,3.0
64,0,0,0,NAN,NAN,79876,48179,31404,0.0250638,0.0560916,0.5,1.0,6.0,3.0
65,0,0,0,NAN,NAN,80118,48435,31159,0.023559,0.0506595,0.5,1.0,6.0,3.0
66,0,0,0,NAN,NAN,80092,48470,30552,0.0213317,0.0486875,0.5,1.0,6.0,3.0
67,0,0,0,NAN,NAN,79516,48417,30234,0.019254,0.0452636,0.5,1.0,6.0,3.0
68,0,0,0,NAN,NAN,79299,48481,30536,0.0184492,0.0415903,0.5,1.0,6.0,3.0
69,0,0,0,NAN,NAN,78996,48406,30997,0.0167414,0.0386489,0.5,1.0,6.0,3.0
70,0,0,0,NAN,NAN,79391,48568,30191,0.0156315,0.0353748,0.5,1.0,6.0,3.0
71,0,0,0,NAN,NAN,79534,48888,30724,0.0140883,0.0329384,0.5,1.0,6.0,3.0
72,0,0,0,NAN,NAN,79771,49309,29155,0.0131313,0.0331676,0.5,1.0,6.0,3.0
73,0,0,0,NAN,NAN,78762,48991,31055,0.0129123,0.0285783,0.5,1.0,6.0,3.0
74,0,0,0,NAN,NAN,80076,49652,30491,0.0119949,0.0274179,0.5,1.0,6.0,3.0
75,0,0,0,NAN,NAN,80561,49914,28167,0.0110972,0.0248695,0.5,1.0,6.0,3.0
76,0,0,0,NAN,NAN,78759,49070,29838,0.00994172,0.0247336,0.5,1.0,6.0,3.0
77,0,0,0,NAN,NAN,78401,48826,29249,0.00952794,0.0231803,0.5,1.0,6.0,3.0
78,0,0,0,NAN,NAN,78121,48774,30410,0.00897966,0.0209799,0.5,1.0,6.0,3.0
79,0,0,0,NAN,NAN,79743,49576,29812,0.00826405,0.020428,0.5,1.0,6.0,3.0
80,0,0,0,NAN,NAN,79621,49590,29041,0.00791249,0.0181468,0.5,1.0,6.0,3.0
81,0,0,0,NAN,NAN,79101,49393,29515,0.00725655,0.0178214,0.5,1.0,6.0,3.0
82,0,0,0,NAN,NAN,79067,49592,29187,0.0069751,0.0165827,0.5,1.0,6.0,3.0
83,0,0,0,NAN,NAN,78802,49325,28823,0.00670668,0.016237,0.5,1.0,6.0,3.0
84,0,0,0,NAN,NAN,78464,49241,29110,0.00656352,0.0159739,0.5,1.0,6.0,3.0
85,0,0,0,NAN,NAN,78438,49260,29425,0.00634896,0.0142906,0.5,1.0,6.0,3.0
86,0,0,0,NAN,NAN,78642,49636,29934,0.00584293,0.0139641,0.5,1.0,6.0,3.0
87,0,0,0,NAN,NAN,79652,50284,29260,0.00559308,0.0144737,0.5,1.0,6.0,3.0
88,0,0,0,NAN,NAN,79583,50335,26936,0.00523981,0.013662,0.5,1.0,6.0,3.0
89,0,0,0,NAN,NAN,77311,49223,28644,0.00485054,0.0127077,0.5,1.0,6.0,3.0
90,0,0,0,NAN,NAN,77111,48871,30006,0.00480476,0.0111144,0.5,1.0,6.0,3.0
91,0,0,0,NAN,NAN,78879,49425,30596,0.00458931,0.010034,0.5,1.0,6.0,3.0
92,0,0,0,NAN,NAN,80713,50137,28430,0.0041629,0.00930355,0.5,1.0,6.0,3.0
93,0,0,0,NAN,NAN,79551,49801,28113,0.00391573,0.00942624,0.5,1.0,6.0,3.0
94,0,0,0,NAN,NAN,78090,49485,29338,0.00348316,0.00826573,0.5,1.0,6.0,3.0
95,0,0,0,NAN,NAN,78461,49896,28968,0.00329463,0.00766363,0.5,1.0,6.0,3.0
96,0,0,0,NAN,NAN,78707,49768,28960,0.00295399,0.00733771,0.5,1.0,6.0,3.0
97,0,0,0,NAN,NAN,78718,49755,29273,0.00289642,0.00746422,0.5,1.0,6.0,3.0
98,0,0,0,NAN,NAN,79150,49996,28227,0.00282375,0.00657172,0.5,1.0,6.0,3.0
99,0,0,0,NAN,NAN,78487,49724,28357,0.00270108,0.00655923,0.5,1.0,6.0,3.0
100,0,0,0,NAN,NAN,77942,49270,29072,0.00261092,0.00612273,0.5,1.0,6.0,3.0
101,0,0,0,NAN,NAN,78208,49320,29576,0.00241663,0.00539289,0.5,1.0,6.0,3.0
102,0,0,0,NAN,NAN,78818,49613,29661,0.00211246,0.00569772,0.5,1.0,6.0,3.0
103,0,0,0,NAN,NAN,79797,50149,29409,0.00204268,0.00545751,0.5,1.0,6.0,3.0
104,0,0,0,NAN,NAN,79879,50402,28282,0.00214074,0.0057457,0.5,1.0,6.0,3.0
105,0,0,0,NAN,NAN,78906,50023,28189,0.00207209,0.0042215,0.5,1.0,6.0,3.0
106,0,0,0,NAN,NAN,77958,49504,27607,0.00178943,0.00458217,0.5,1.0,6.0,3.0
107,0,0,0,NAN,NAN,76856,48997,30145,0.00163292,0.00497595,0.5,1.0,6.0,3.0
108,0,0,0,NAN,NAN,78882,49836,30640,0.00178748,0.00380222,0.5,1.0,6.0,3.0
109,0,0,0,NAN,NAN,80694,50743,27625,0.00156145,0.0038914,0.5,1.0,6.0,3.0
110,0,0,0,NAN,NAN,79135,50026,28049,0.00147849,0.00379693,0.5,1.0,6.0,3.0
111,0,0,0,NAN,NAN,78047,49827,29187,0.00133253,0.00351184,0.5,1.0,6.0,3.0
112,0,0,0,NAN,NAN,78513,50056,28857,0.00138831,0.00289358,0.5,1.0,6.0,3.0
113,0,0,0,NAN,NAN,78987,50128,28528,0.00120906,0.00290942,0.5,1.0,6.0,3.0
114,0,0,0,NAN,NAN,78588,49937,28062,0.00109431,0.00301119,0.5,1.0,6.0,3.0
115,0,0,0,NAN,NAN,77859,49446,28982,0.00109172,0.00219102,0.5,1.0,6.0,3.0
116,0,0,0,NAN,NAN,78429,49957,29275,0.000956279,0.0023228,0.5,1.0,6.0,3.0
117,0,0,0,NAN,NAN,79100,50192,27417,0.000872314,0.00209724,0.5,1.0,6.0,3.0
118,0,0,0,NAN,NAN,77567,49224,28733,0.000812201,0.00200118,0.5,1.0,6.0,3.0
119,0,0,0,NAN,NAN,77634,49266,29967,0.000856583,0.00205226,0.5,1.0,6.0,3.0
120,0,0,0,NAN,NAN,79024,49745,29045,0.000702318,0.00201412,0.5,1.0,6.0,3.0
121,0,0,0,NAN,NAN,79331,49935,29317,0.000611363,0.00163728,0.5,1.0,6.0,3.0
122,0,0,0,NAN,NAN,79733,50428,28676,0.000639635,0.00158669,0.5,1.0,6.0,3.0
123,0,0,0,NAN,NAN,79396,50478,28225,0.000610862,0.00100974,0.5,1.0,6.0,3.0
124,0,0,0,NAN,NAN,78826,50158,27862,0.000520133,0.00134592,0.5,1.0,6.0,3.0
125,0,0,0,NAN,NAN,77836,49689,29009,0.000475358,0.0012927,0.5,1.0,6.0,3.0
126,0,0,0,NAN,NAN,78405,49688,28996,0.000427269,0.00129328,0.5,1.0,6.0,3.0
127,0,0,0,NAN,NAN,78681,49799,28328,0.000495672,0.00123553,0.5,1.0,6.0,3.0
128,0,0,0,NAN,NAN,78550,49807,29501,0.000451941,0.000779635,0.5,1.0,6.0,3.0
129,0,0,0,NAN,NAN,79366,50210,28183,0.000321296,0.000638683,0.5,1.0,6.0,3.0
130,0,0,0,NAN,NAN,78778,50118,28601,0.000260225,0.00118877,0.5,1.0,6.0,3.0
131,0,0,0,NAN,NAN,78519,49766,28806,0.000401177,0.00112824,0.5,1.0,6.0,3.0
132,0,0,0,NAN,NAN,78515,49800,28847,0.000452143,0.000745311,0.5,1.0,6.0,3.0
133,0,0,0,NAN,NAN,78783,49997,29245,0.00034906,0.000974526,0.5,1.0,6.0,3.0
134,0,0,0,NAN,NAN,79559,50483,27840,0.000345655,0.000664511,0.5,1.0,6.0,3.0
135,0,0,0,NAN,NAN,78651,50046,27492,0.00031786,0.000872981,0.5,1.0,6.0,3.0
