sim.cycle,total_adults_2,total_adult_females_2,total_juveniles_2,adult_drive_frequency_2,juveniles_drive_frequency_2,total_adults_3,total_adult_females_3,total_juveniles_3,adult_drive_frequency_3,juveniles_drive_frequency_3,drive_efficiency,drive_fitness,low_density_growth_rate,drop_ratio
1,73328,45680,28755,0.0,0.0,82714,52513,28459,0.0,0.0,0.5,1.0,6.0,3.0
2,70911,43643,35991,0.0,0.0,85466,54627,24137,0.0,0.0,0.5,1.0,6.0,3.0
3,77319,46604,35764,0.0,0.0,82294,53810,21738,0.0,0.0,0.5,1.0,6.0,3.0
4,81243,48741,31363,0.0,0.0,77653,51824,23274,0.0,0.0,0.5,1.0,6.0,3.0
5,79787,48599,29568,0.0,0.0,76234,50829,26962,0.0,0.0,0.5,1.0,6.0,3.0
6,76431,47483,30249,0.0,0.0,78987,52034,26997,0.0,0.0,0.5,1.0,6.0,3.0
7,74850,46535,32613,0.0,0.0,81568,53303,25808,0.0,0.0,0.5,1.0,6.0,3.0
8,76447,47328,33207,0.0,0.0,81594,53396,23954,0.0,0.0,0.5,1.0,6.0,3.0
9,78152,47794,31371,0.0,0.0,79737,52651,24348,0.0,0.0,0.5,1.0,6.0,3.0
10,77189,47344,31647,0.0,0.0,78661,52353,24704,0.0,0.0,0.5,1.0,6.0,3.0
11,76905,47224,31521,0.0,0.0,78464,52184,26835,0.0,0.0,0.5,1.0,6.0,3.0
12,92955,47477,33151,0.174923,0.0871919,82476,52998,25420,0.0216548,0.0,0.5,1.0,6.0,3.0
13,99040,45180,31728,0.253201,0.174058,84193,52861,23227,0.04207,0.0140569,0.5,1.0,6.0,3.0
14,93765,39968,35194,0.292732,0.23369,81516,51487,25505,0.0455616,0.0370908,0.5,1.0,6.0,3.0
15,90878,35395,40538,0.329711,0.284239,80674,50540,27620,0.0550859,0.0611694,0.5,1.0,6.0,3.0
16,90149,31539,42378,0.360115,0.32006,81147,49604,28176,0.0631385,0.0812216,0.5,1.0,6.0,3.0
17,89322,27679,43170,0.390884,0.347336,81553,48165,29931,0.0731242,0.0997795,0.5,1.0,6.0,3.0
18,87282,24033,43119,0.420906,0.356896,81937,46773,31993,0.0826306,0.115244,0.5,1.0,6.0,3.0
19,85484,21628,41899,0.440328,0.376226,83428,46589,32536,0.0918936,0.125492,0.5,1.0,6.0,3.0
20,82372,19150,40961,0.461838,0.382706,84576,46391,33686,0.0976636,0.135754,0.5,1.0,6.0,3.0
21,79399,17055,38661,0.479773,0.391299,85484,46145,32168,0.103745,0.142533,0.5,1.0,6.0,3.0
22,75764,15082,36733,0.498456,0.394972,84080,45223,33046,0.10889,0.152303,0.5,1.0,6.0,3.0
23,72408,13620,34434,0.515654,0.403104,83139,44407,35169,0.112336,0.159075,0.5,1.0,6.0,3.0
24,69217,12100,32520,0.533446,0.40818,83925,44124,34678,0.116682,0.16385,0.5,1.0,6.0,3.0
25,65928,10749,29781,0.552868,0.409926,83871,43579,35948,0.118557,0.168772,0.5,1.0,6.0,3.0
26,62560,9653,27717,0.569709,0.418588,84401,43649,35293,0.120917,0.167144,0.5,1.0,6.0,3.0
27,58995,8381,25605,0.588465,0.427905,84225,43364,36326,0.121704,0.171172,0.5,1.0,6.0,3.0
28,56072,7282,22702,0.609279,0.432187,84568,43434,35876,0.121322,0.17449,0.5,1.0,6.0,3.0
29,52525,6113,20237,0.634393,0.430993,83871,42911,36513,0.122158,0.174582,0.5,1.0,6.0,3.0
30,49162,5223,17728,0.657418,0.439982,84257,42803,37495,0.124642,0.17473,0.5,1.0,6.0,3.0
31,46014,4352,15516,0.68264,0.44989,84619,42858,35847,0.124151,0.174715,0.5,1.0,6.0,3.0
32,42698,3576,13249,0.712855,0.451128,83759,42467,37110,0.124876,0.170884,0.5,1.0,6.0,3.0
33,40027,2817,10850,0.743298,0.453456,84047,42498,37476,0.12233,0.178154,0.5,1.0,6.0,3.0
34,37129,2267,8831,0.770328,0.459971,83840,42447,37091,0.123306,0.173465,0.5,1.0,6.0,3.0
35,34703,1746,7326,0.800853,0.463281,83947,42477,36785,0.123143,0.174433,0.5,1.0,6.0,3.0
36,32491,1306,5623,0.829122,0.459808,83758,42391,37004,0.12434,0.169914,0.5,1.0,6.0,3.0
37,30793,1044,4392,0.855308,0.469376,83641,42568,37109,0.121466,0.166995,0.5,1.0,6.0,3.0
38,29294,783,3568,0.883048,0.473094,83895,42731,36762,0.119459,0.16634,0.5,1.0,6.0,3.0
39,27972,550,2610,0.907819,0.480843,83712,42751,37071,0.118334,0.164104,0.5,1.0,6.0,3.0
40,26837,359,2039,0.929631,0.481609,83664,42944,36237,0.116418,0.164832,0.5,1.0,6.0,3.0
41,26036,252,1285,0.944001,0.483268,83173,42844,36329,0.114989,0.161469,0.5,1.0,6.0,3.0
42,25395,148,840,0.960819,0.492262,82978,42902,36454,0.113741,0.158145,0.5,1.0,6.0,3.0
43,24766,89,484,0.973573,0.493802,83358,43133,36738,0.113714,0.160842,0.5,1.0,6.0,3.0
44,24353,43,321,0.984068,0.5,83305,43205,36323,0.112988,0.15698,0.5,1.0,6.0,3.0
45,24003,28,163,0.990189,0.5,83287,43250,35768,0.1118,0.157236,0.5,1.0,6.0,3.0
46,23917,14,91,0.994418,0.5,82887,43287,36010,0.112171,0.154818,0.5,1.0,6.0,3.0
47,23789,8,52,0.996742,0.5,82772,43287,35951,0.110829,0.155615,0.5,1.0,6.0,3.0
48,23679,2,26,0.998374,0.5,82864,43241,36345,0.111345,0.153886,0.5,1.0,6.0,3.0
49,23610,0,8,0.999153,0.5,83334,43480,36467,0.109337,0.152659,0.5,1.0,6.0,3.0
50,7272,0,0,0.998419,NAN,81782,43715,36488,0.0895735,0.154352,0.5,1.0,6.0,3.0
51,11,0,0,0.5,NAN,80240,43897,35869,0.0697034,0.141863,0.5,1.0,6.0,3.0
52,4,0,0,0.5,NAN,80214,44279,36085,0.0658551,0.135001,0.5,1.0,6.0,3.0
53,0,0,0,NAN,NAN,80990,45037,34083,0.0617978,0.122847,0.5,1.0,6.0,3.0
54,0,0,0,NAN,NAN,80406,45370,34677,0.0567682,0.116922,0.5,1.0,6.0,3.0
55,0,0,0,NAN,NAN,80744,46033,33930,0.0524683,0.11008,0.5,1.0,6.0,3.0
56,0,0,0,NAN,NAN,80310,46111,33390,0.0490972,0.0995508,0.5,1.0,6.0,3.0
57,0,0,0,NAN,NAN,80381,46472,33730,0.0454896,0.0964127,0.5,1.0,6.0,3.0
58,0,0,0,NAN,NAN,80752,46957,33263,0.0417575,0.0885518,0.5,1.0,6.0,3.0
59,0,0,0,NAN,NAN,80755,47498,32082,0.0386354,0.0789539,0.5,1.0,6.0,3.0
60,0,0,0,NAN,NAN,80137,47615,31920,0.0346906,0.0764411,0.5,1.0,6.0,3.0
61,0,0,0,NAN,NAN,79705,47581,31865,0.0315225,0.0715989,0.5,1.0,6.0,3.0
62,0,0,0,NAN,NAN,79502,47624,31168,0.0291565,0.0668795,0.5,1.0,6.0,3.0
63,0,0,0,NAN,NAN,79211,47728,31153,0.0276351,0.0627066,0.5,1.0,6.0,3.0
64,0,0,0,NAN,NAN,78778,47548,31377,0.0257623,0.0576537,0.5,1.0,6.0,3.0
65,0,0,0,NAN,NAN,79108,47908,31405,0.0245234,0.0534151,0.5,1.0,6.0,3.0
66,0,0,0,NAN,NAN,79548,48178,30693,0.0224644,0.0522269,0.5,1.0,6.0,3.0
67,0,0,0,NAN,NAN,79363,48318,30597,0.0209921,0.0459195,0.5,1.0,6.0,3.0
68,0,0,0,NAN,NAN,79232,48448,30450,0.0191905,0.0445813,0.5,1.0,6.0,3.0
69,0,0,0,NAN,NAN,79215,48661,30701,0.0179007,0.0420996,0.5,1.0,6.0,3.0
70,0,0,0,NAN,NAN,79557,49046,29763,0.0171387,0.0394281,0.5,1.0,6.0,3.0
71,0,0,0,NAN,NAN,78843,48701,29859,0.0163046,0.0370073,0.5,1.0,6.0,3.0
72,0,0,0,NAN,NAN,78445,48612,30332,0.0146727,0.0352763,0.5,1.0,6.0,3.0
73,0,0,0,NAN,NAN,78789,48911,30351,0.0139423,0.03219,0.5,1.0,6.0,3.0
74,0,0,0,NAN,NAN,79359,49068,29150,0.0132751,0.030669,0.5,1.0,6.0,3.0
75,0,0,0,NAN,NAN,78553,48775,30148,0.0123102,0.0273484,0.5,1.0,6.0,3.0
76,0,0,0,NAN,NAN,79047,49109,29843,0.010867,0.0275274,0.5,1.0,6.0,3.0
77,0,0,0,NAN,NAN,79086,49024,29415,0.0103116,0.0233554,0.5,1.0,6.0,3.0
78,0,0,0,NAN,NAN,78936,49010,29878,0.00938735,0.0231441,0.5,1.0,6.0,3.0
79,0,0,0,NAN,NAN,79023,49150,29316,0.00896574,0.0199038,0.5,1.0,6.0,3.0
80,0,0,0,NAN,NAN,78536,48986,29346,0.00818733,0.0199175,0.5,1.0,6.0,3.0
81,0,0,0,NAN,NAN,78635,49245,29024,0.00753481,0.018054,0.5,1.0,6.0,3.0
82,0,0,0,NAN,NAN,78309,49096,29665,0.0071767,0.0171414,0.5,1.0,6.0,3.0
83,0,0,0,NAN,NAN,78591,49226,28905,0.00657836,0.0153261,0.5,1.0,6.0,3.0
84,0,0,0,NAN,NAN,78353,49197,29816,0.00573048,0.0142206,0.5,1.0,6.0,3.0
85,0,0,0,NAN,NAN,78997,49347,28730,0.00575971,0.0123216,0.5,1.0,6.0,3.0
86,0,0,0,NAN,NAN,78575,49518,30331,0.00523703,0.0117537,0.5,1.0,6.0,3.0
87,0,0,0,NAN,NAN,79642,50068,29260,0.00458301,0.0109364,0.5,1.0,6.0,3.0
88,0,0,0,NAN,NAN,79828,50327,28303,0.00424663,0.0108999,0.5,1.0,6.0,3.0
89,0,0,0,NAN,NAN,78848,49864,28399,0.00412185,0.00970105,0.5,1.0,6.0,3.0
90,0,0,0,NAN,NAN,77897,49422,28019,0.0037357,0.0100111,0.5,1.0,6.0,3.0
91,0,0,0,NAN,NAN,76982,48711,30184,0.00357226,0.0089617,0.5,1.0,6.0,3.0
92,0,0,0,NAN,NAN,78790,49442,30207,0.00335703,0.00892177,0.5,1.0,6.0,3.0
93,0,0,0,NAN,NAN,80258,50114,28629,0.00329562,0.00717804,0.5,1.0,6.0,3.0
94,0,0,0,NAN,NAN,79500,49835,28145,0.00288679,0.00712382,0.5,1.0,6.0,3.0
95,0,0,0,NAN,NAN,78254,49724,29221,0.00283692,0.00639951,0.5,1.0,6.0,3.0
96,0,0,0,NAN,NAN,78748,49929,29008,0.00247625,0.00634308,0.5,1.0,6.0,3.0
97,0,0,0,NAN,NAN,78951,49914,28258,0.00231789,0.00567981,0.5,1.0,6.0,3.0
98,0,0,0,NAN,NAN,78029,49328,28720,0.00208256,0.00602368,0.5,1.0,6.0,3.0
99,0,0,0,NAN,NAN,78016,49394,29532,0.00215981,0.00502844,0.5,1.0,6.0,3.0
100,0,0,0,NAN,NAN,79146,50093,30102,0.00198368,0.00421899,0.5,1.0,6.0,3.0
101,0,0,0,NAN,NAN,80322,50730,27560,0.00181768,0.00513425,0.5,1.0,6.0,3.0
102,0,0,0,NAN,NAN,78786,50008,27316,0.00185947,0.0038439,0.5,1.0,6.0,3.0
103,0,0,0,NAN,NAN,77358,49480,29480,0.00156416,0.00349389,0.5,1.0,6.0,3.0
104,0,0,0,NAN,NAN,78313,49922,29055,0.0012897,0.00349337,0.5,1.0,6.0,3.0
105,0,0,0,NAN,NAN,78889,49779,28934,0.00115986,0.00283404,0.5,1.0,6.0,3.0
106,0,0,0,NAN,NAN,79263,50023,27414,0.00109761,0.00275407,0.5,1.0,6.0,3.0
107,0,0,0,NAN,NAN,77421,49097,29610,0.00104623,0.00249916,0.5,1.0,6.0,3.0
108,0,0,0,NAN,NAN,78619,49855,29622,0.000928529,0.00258254,0.5,1.0,6.0,3.0
109,0,0,0,NAN,NAN,79405,50384,28093,0.000881557,0.00220696,0.5,1.0,6.0,3.0
110,0,0,0,NAN,NAN,78883,50034,27689,0.000849359,0.00207664,0.5,1.0,6.0,3.0
111,0,0,0,NAN,NAN,77621,49386,28749,0.00074722,0.00253922,0.5,1.0,6.0,3.0
112,0,0,0,NAN,NAN,77926,49533,30374,0.000808459,0.00139922,0.5,1.0,6.0,3.0
113,0,0,0,NAN,NAN,79958,50595,29089,0.000637835,0.0021142,0.5,1.0,6.0,3.0
114,0,0,0,NAN,NAN,79999,50863,27122,0.000618758,0.00127203,0.5,1.0,6.0,3.0
115,0,0,0,NAN,NAN,78081,49959,28002,0.000646764,0.00126777,0.5,1.0,6.0,3.0
116,0,0,0,NAN,NAN,77472,49539,28314,0.00052277,0.001554,0.5,1.0,6.0,3.0
117,0,0,0,NAN,NAN,77604,49442,29747,0.000451008,0.00144552,0.5,1.0,6.0,3.0
118,0,0,0,NAN,NAN,79015,49993,28299,0.000531545,0.000971766,0.5,1.0,6.0,3.0
119,0,0,0,NAN,NAN,78605,49872,27960,0.000489791,0.00126967,0.5,1.0,6.0,3.0
120,0,0,0,NAN,NAN,77936,49513,29402,0.000519657,0.00132644,0.5,1.0,6.0,3.0
121,0,0,0,NAN,NAN,78915,50047,29347,0.000551226,0.00103929,0.5,1.0,6.0,3.0
122,0,0,0,NAN,NAN,79718,50602,28751,0.000464136,0.000713019,0.5,1.0,6.0,3.0
123,0,0,0,NAN,NAN,79653,50680,26937,0.000382911,0.00118796,0.5,1.0,6.0,3.0
124,0,0,0,NAN,NAN,77625,49932,28015,0.00036715,0.000928074,0.5,1.0,6.0,3.0
125,0,0,0,NAN,NAN,77359,49700,28493,0.000323169,0.00108799,0.5,1.0,6.0,3.0
126,0,0,0,NAN,NAN,77688,49702,29053,0.000379724,0.000980966,0.5,1.0,6.0,3.0
127,0,0,0,NAN,NAN,78430,49793,28918,0.000369756,0.000968255,0.5,1.0,6.0,3.0
128,0,0,0,NAN,NAN,78885,50112,29155,0.000386639,0.000548791,0.5,1.0,6.0,3.0
129,0,0,0,NAN,NAN,79177,50172,27399,0.000284173,0.000875944,0.5,1.0,6.0,3.0
130,0,0,0,NAN,NAN,77839,49609,29262,0.000289058,0.000837263,0.5,1.0,6.0,3.0
131,0,0,0,NAN,NAN,78784,50142,29190,0.000285591,0.000548133,0.5,1.0,6.0,3.0
132,0,0,0,NAN,NAN,79370,50500,27958,0.000258284,0.000715359,0.5,1.0,6.0,3.0
133,0,0,0,NAN,NAN,78488,49929,26633,0.000248446,0.000600758,0.5,1.0,6.0,3.0
134,0,0,0,NAN,NAN,76322,48737,30609,0.000248945,0.000751413,0.5,1.0,6.0,3.0
135,0,0,0,NAN,NAN,78868,50080,29710,0.000297966,0.00077415,0.5,1.0,6.0,3.0
136,0,0,0,NAN,NAN,80239,50756,27789,0.000324032,0.000683724,0.5,1.0,6.0,3.0
137,0,0,0,NAN,NAN,79018,50173,27853,0.000297401,0.00052059,0.5,1.0,6.0,3.0
138,0,0,0,NAN,NAN,77959,49734,28876,0.000256545,0.00083114,0.5,1.0,6.0,3.0
139,0,0,0,NAN,NAN,78412,50124,29387,0.000306076,0.000612516,0.5,1.0,6.0,3.0
140,0,0,0,NAN,NAN,79759,50583,27345,0.0002821,0.000658256,0.5,1.0,6.0,3.0
141,0,0,0,NAN,NAN,78009,49581,26979,0.000294838,0.000611587,0.5,1.0,6.0,3.0
142,0,0,0,NAN,NAN,76229,48761,30478,0.000229571,0.000541374,0.5,1.0,6.0,3.0
143,0,0,0,NAN,NAN,78835,50106,29343,0.000228325,0.000511195,0.5,1.0,6.0,3.0
144,0,0,0,NAN,NAN,79956,50435,28872,0.00020011,0.000311721,0.5,1.0,6.0,3.0
145,0,0,0,NAN,NAN,79749,50495,28372,0.000131663,0.000475821,0.5,1.0,6.0,3.0
146,0,0,0,NAN,NAN,78992,50474,27741,0.000177233,0.000396525,0.5,1.0,6.0,3.0
147,0,0,0,NAN,NAN,78015,50004,27870,0.000173044,0.000269107,0.5,1.0,6.0,3.0
148,0,0,0,NAN,NAN,77475,49540,28957,0.000167796,0.000276272,0.5,1.0,6.0,3.0
149,0,0,0,NAN,NAN,78198,49790,29043,0.000115092,0.000241022,0.5,1.0,6.0,3.0
150,0,0,0,NAN,NAN,78924,49910,28872,0.000139375,0.00015586,0.5,1.0,6.0,3.0
151,0,0,0,NAN,NAN,79279,50162,28681,0.000107216,0.00027893,0.5,1.0,6.0,3.0
152,0,0,0,NAN,NAN,79142,50251,27423,0.000107402,0.000273493,0.5,1.0,6.0,3.0
153,0,0,0,NAN,NAN,77658,49467,28496,0.000141647,0.000386019,0.5,1.0,6.0,3.0
154,0,0,0,NAN,NAN,77820,49519,30025,0.000141352,0.000333056,0.5,1.0,6.0,3.0
155,0,0,0,NAN,NAN,79556,50275,28660,0.000131983,0.000453594,0.5,1.0,6.0,3.0
156,0,0,0,NAN,NAN,79293,50249,27682,0.000151337,0.000415432,0.5,1.0,6.0,3.0
157,0,0,0,NAN,NAN,78053,49719,28692,0.00014093,0.000400809,0.5,1.0,6.0,3.0
158,0,0,0,NAN,NAN,78302,50049,29390,0.000172409,0.000289214,0.5,1.0,6.0,3.0
159,0,0,0,NAN,NAN,79123,50351,28514,0.000139024,0.000315634,0.5,1.0,6.0,3.0
160,0,0,0,NAN,NAN,78860,50218,28576,0.000158509,0.00055991,0.5,1.0,6.0,3.0
161,0,0,0,NAN,NAN,78860,50053,27783,0.000158509,0.000251953,0.5,1.0,6.0,3.0
162,0,0,0,NAN,NAN,77642,49558,28211,0.000141676,0.000283577,0.5,1.0,6.0,3.0
163,0,0,0,NAN,NAN,77659,49461,29831,0.000103014,0.000385505,0.5,1.0,6.0,3.0
164,0,0,0,NAN,NAN,79190,50338,29157,0.000107337,0.000257228,0.5,1.0,6.0,3.0
165,0,0,0,NAN,NAN,79789,50559,27778,9.39979e-05,0.000251998,0.5,1.0,6.0,3.0
166,0,0,0,NAN,NAN,78645,50088,27701,8.26499e-05,0.000306848,0.5,1.0,6.0,3.0
167,0,0,0,NAN,NAN,77392,49571,28596,8.3988e-05,0.000297244,0.5,1.0,6.0,3.0
168,0,0,0,NAN,NAN,77626,49510,29499,7.08525e-05,0.000322045,0.5,1.0,6.0,3.0
169,0,0,0,NAN,NAN,78893,50116,29824,0.000107741,0.000117355,0.5,1.0,6.0,3.0
170,0,0,0,NAN,NAN,79862,50612,27733,8.76512e-05,0.000216349,0.5,1.0,6.0,3.0
171,0,0,0,NAN,NAN,78607,50203,28253,7.63291e-05,5.30917e-05,0.5,1.0,6.0,3.0
172,0,0,0,NAN,NAN,78333,50243,28186,3.1915e-05,0.000159654,0.5,1.0,6.0,3.0
173,0,0,0,NAN,NAN,78171,50082,28342,5.11699e-05,0.000176417,0.5,1.0,6.0,3.0
174,0,0,0,NAN,NAN,77948,49827,28417,3.84872e-05,0.000140761,0.5,1.0,6.0,3.0
175,0,0,0,NAN,NAN,77896,49646,28979,4.49317e-05,0.000189793,0.5,1.0,6.0,3.0
176,0,0,0,NAN,NAN,78562,49637,28736,4.45508e-05,0.000121798,0.5,1.0,6.0,3.0
177,0,0,0,NAN,NAN,78575,49818,30026,5.72701e-05,0.000166522,0.5,1.0,6.0,3.0
178,0,0,0,NAN,NAN,80009,50621,28576,8.12409e-05,8.7486e-05,0.5,1.0,6.0,3.0
179,0,0,0,NAN,NAN,79499,50466,26850,5.66045e-05,0.000111732,0.5,1.0,6.0,3.0
180,0,0,0,NAN,NAN,77374,49516,29051,1.29242e-05,0.000189322,0.5,1.0,6.0,3.0
181,0,0,0,NAN,NAN,78074,49816,29080,4.48293e-05,0.000103164,0.5,1.0,6.0,3.0
182,0,0,0,NAN,NAN,78801,49930,28161,6.3451e-05,0.0,0.5,1.0,6.0,3.0
183,0,0,0,NAN,NAN,78643,49677,28964,3.81471e-05,8.6314e-05,0.5,1.0,6.0,3.0
184,0,0,0,NAN,NAN,78543,49646,29876,2.54638e-05,0.000184094,0.5,1.0,6.0,3.0
185,0,0,0,NAN,NAN,79672,50106,27711,3.13787e-05,5.41301e-05,0.5,1.0,6.0,3.0
186,0,0,0,NAN,NAN,78493,49848,28050,2.548e-05,0.000124777,0.5,1.0,6.0,3.0
187,0,0,0,NAN,NAN,77822,49698,28989,3.21246e-05,8.62396e-05,0.5,1.0,6.0,3.0
188,0,0,0,NAN,NAN,78328,50124,29502,4.46839e-05,5.0844e-05,0.5,1.0,6.0,3.0
189,0,0,0,NAN,NAN,79532,50499,27030,3.77207e-05,9.24898e-05,0.5,1.0,6.0,3.0
190,0,0,0,NAN,NAN,77863,49826,28393,4.49507e-05,7.04399e-05,0.5,1.0,6.0,3.0
191,0,0,0,NAN,NAN,77730,49703,29568,2.57301e-05,0.0,0.5,1.0,6.0,3.0
192,0,0,0,NAN,NAN,78938,50234,28423,6.33408e-06,0.000158322,0.5,1.0,6.0,3.0
193,0,0,0,NAN,NAN,78994,50178,28113,2.53184e-05,3.55707e-05,0.5,1.0,6.0,3.0
194,0,0,0,NAN,NAN,78435,49951,27630,3.82482e-05,5.42888e-05,0.5,1.0,6.0,3.0
195,0,0,0,NAN,NAN,77364,49424,28434,4.52407e-05,8.79229e-05,0.5,1.0,6.0,3.0
196,0,0,0,NAN,NAN,77605,49511,29137,3.86573e-05,0.000137282,0.5,1.0,6.0,3.0
197,0,0,0,NAN,NAN,78513,49832,29008,4.45786e-05,0.0,0.5,1.0,6.0,3.0
198,0,0,0,NAN,NAN,78913,50220,28333,3.16805e-05,8.82363e-05,0.5,1.0,6.0,3.0
199,0,0,0,NAN,NAN,78899,50266,29020,1.26744e-05,1.72295e-05,0.5,1.0,6.0,3.0
200,0,0,0,NAN,NAN,79228,50581,28770,6.3109e-06,5.21376e-05,0.5,1.0,6.0,3.0
201,0,0,0,NAN,NAN,79230,50703,25647,6.31074e-06,1.94955e-05,0.5,1.0,6.0,3.0
202,0,0,0,NAN,NAN,76140,49015,27926,0.0,0.0,0.5,1.0,6.0,3.0

