sim.cycle,total_adults_2,total_adult_females_2,total_juveniles_2,adult_drive_frequency_2,juveniles_drive_frequency_2,total_adults_3,total_adult_females_3,total_juveniles_3,adult_drive_frequency_3,juveniles_drive_frequency_3,drive_efficiency,drive_fitness,low_density_growth_rate,drop_ratio
1,75214,47137,28551,0.0,0.0,82174,51903,28376,0.0,0.0,0.5,1.0,6.0,3.0
2,73553,45666,33685,0.0,0.0,83035,53016,25276,0.0,0.0,0.5,1.0,6.0,3.0
3,77881,47869,33094,0.0,0.0,80432,52425,24681,0.0,0.0,0.5,1.0,6.0,3.0
4,80730,49303,30595,0.0,0.0,77922,51211,25237,0.0,0.0,0.5,1.0,6.0,3.0
5,79689,49051,30166,0.0,0.0,76699,50279,28350,0.0,0.0,0.5,1.0,6.0,3.0
6,78686,49163,29696,0.0,0.0,79269,51317,28882,0.0,0.0,0.5,1.0,6.0,3.0
7,77468,48685,29435,0.0,0.0,81845,52573,25595,0.0,0.0,0.5,1.0,6.0,3.0
8,76548,48069,30443,0.0,0.0,80209,51969,24878,0.0,0.0,0.5,1.0,6.0,3.0
9,76403,47789,30899,0.0,0.0,78281,51416,26458,0.0,0.0,0.5,1.0,6.0,3.0
10,77253,47987,31962,0.0,0.0,78273,51406,27070,0.0,0.0,0.5,1.0,6.0,3.0
11,79127,49031,30241,0.0,0.0,79221,51549,25963,0.0,0.0,0.5,1.0,6.0,3.0
12,95404,48585,30098,0.178965,0.0834109,79920,51282,27373,0.0134259,0.0,0.5,1.0,6.0,3.0
13,100127,45709,30370,0.262771,0.164817,81808,51710,26428,0.025951,0.00962994,0.5,1.0,6.0,3.0
14,95392,41318,35188,0.297216,0.229155,81310,51466,26979,0.028293,0.0246303,0.5,1.0,6.0,3.0
15,93746,37218,39098,0.329998,0.281063,80767,50629,25644,0.0331943,0.0384885,0.5,1.0,6.0,3.0
16,93072,33255,41499,0.361451,0.319984,78437,48833,28545,0.0395987,0.0528289,0.5,1.0,6.0,3.0
17,92285,29125,43287,0.392686,0.350856,78915,48162,30806,0.0454666,0.0656041,0.5,1.0,6.0,3.0
