sim.cycle,total_adults_2,total_adult_females_2,total_juveniles_2,adult_drive_frequency_2,juveniles_drive_frequency_2,total_adults_3,total_adult_females_3,total_juveniles_3,adult_drive_frequency_3,juveniles_drive_frequency_3,drive_efficiency,drive_fitness,low_density_growth_rate,drop_ratio
1,73936,46016,28295,0.0,0.0,83122,52605,28736,0.0,0.0,0.5,1.0,6.0,3.0
2,70786,43685,35491,0.0,0.0,85814,54777,22420,0.0,0.0,0.5,1.0,6.0,3.0
3,76403,46200,36196,0.0,0.0,80680,52879,20877,0.0,0.0,0.5,1.0,6.0,3.0
4,81258,48768,31718,0.0,0.0,75710,50760,27334,0.0,0.0,0.5,1.0,6.0,3.0
5,80286,48819,29795,0.0,0.0,78712,52008,28147,0.0,0.0,0.5,1.0,6.0,3.0
6,76941,47627,29744,0.0,0.0,82441,53641,24579,0.0,0.0,0.5,1.0,6.0,3.0
7,74571,46418,33073,0.0,0.0,81540,53322,23664,0.0,0.0,0.5,1.0,6.0,3.0
8,76702,47207,32976,0.0,0.0,78884,52312,24260,0.0,0.0,0.5,1.0,6.0,3.0
9,77937,47641,31895,0.0,0.0,78057,51914,25840,0.0,0.0,0.5,1.0,6.0,3.0
10,77633,47360,31720,0.0,0.0,79400,52367,25909,0.0,0.0,0.5,1.0,6.0,3.0
11,77251,47430,32300,0.0,0.0,80358,52386,25644,0.0,0.0,0.5,1.0,6.0,3.0
12,94000,47697,30724,0.173936,0.0869841,82361,52707,24249,0.0217457,0.0,0.5,1.0,6.0,3.0
13,97331,44287,31414,0.254867,0.169733,83219,52430,24561,0.0421538,0.0140874,0.5,1.0,6.0,3.0
14,92367,39492,36736,0.292475,0.23266,81778,51371,26196,0.0458681,0.0379447,0.5,1.0,6.0,3.0
15,90981,35460,40262,0.328101,0.282226,81576,50418,26756,0.0537719,0.061631,0.5,1.0,6.0,3.0
16,90252,31541,42586,0.358795,0.319812,81220,49035,28696,0.0644607,0.0820846,0.5,1.0,6.0,3.0
17,89738,27764,43527,0.390152,0.346256,81944,48114,30242,0.0757896,0.105301,0.5,1.0,6.0,3.0
18,87507,24257,43236,0.417458,0.361446,82507,47249,31620,0.0854049,0.116667,0.5,1.0,6.0,3.0
19,84975,21449,42238,0.441171,0.370969,83756,46896,31973,0.0926441,0.126998,0.5,1.0,6.0,3.0
20,82572,19240,40475,0.459078,0.384484,83998,46090,32631,0.099931,0.135056,0.5,1.0,6.0,3.0
21,79499,16933,39435,0.482232,0.390579,84412,45795,34185,0.10309,0.146819,0.5,1.0,6.0,3.0
22,76316,15196,36331,0.498736,0.39469,85196,45634,33516,0.109037,0.151823,0.5,1.0,6.0,3.0
23,72871,13594,34479,0.516035,0.40281,84291,44638,34308,0.113239,0.157427,0.5,1.0,6.0,3.0
24,69274,12043,32638,0.535656,0.40894,83925,44077,35151,0.114811,0.162385,0.5,1.0,6.0,3.0
25,65707,10771,29839,0.552483,0.414139,84228,43810,35240,0.118351,0.167324,0.5,1.0,6.0,3.0
26,62501,9505,27309,0.572351,0.421125,84003,43326,36087,0.120293,0.175035,0.5,1.0,6.0,3.0
27,58745,8220,25576,0.593846,0.425008,83857,42950,35943,0.123687,0.170242,0.5,1.0,6.0,3.0
28,55643,7107,22730,0.612737,0.427519,84051,42762,37007,0.125049,0.172184,0.5,1.0,6.0,3.0
29,52398,6161,19676,0.632791,0.433371,84649,42965,35923,0.124491,0.179523,0.5,1.0,6.0,3.0
30,48818,5163,17865,0.659101,0.43728,84036,42551,37017,0.12644,0.174866,0.5,1.0,6.0,3.0
31,45796,4391,15486,0.683826,0.443142,83982,42491,36975,0.12539,0.176646,0.5,1.0,6.0,3.0
32,42872,3704,13353,0.708399,0.448364,84071,42395,36948,0.125775,0.173338,0.5,1.0,6.0,3.0
33,40285,3008,11449,0.737049,0.452136,84282,42380,36611,0.124991,0.175152,0.5,1.0,6.0,3.0
34,37425,2360,9402,0.765892,0.456233,83789,42425,37619,0.124103,0.173676,0.5,1.0,6.0,3.0
35,35022,1811,7628,0.795143,0.461458,84095,42682,36316,0.123652,0.168259,0.5,1.0,6.0,3.0
36,33078,1416,5654,0.823735,0.469314,83441,42474,37069,0.121679,0.172867,0.5,1.0,6.0,3.0
37,31167,1025,4475,0.856146,0.47162,83372,42485,36821,0.121318,0.167608,0.5,1.0,6.0,3.0
38,29297,741,3588,0.883981,0.477285,83544,42852,36744,0.119207,0.166694,0.5,1.0,6.0,3.0
39,28035,534,2454,0.908097,0.480644,83433,43149,36168,0.116884,0.168464,0.5,1.0,6.0,3.0
