sim.cycle,total_adults_2,total_adult_females_2,total_juveniles_2,adult_drive_frequency_2,juveniles_drive_frequency_2,total_adults_3,total_adult_females_3,total_juveniles_3,adult_drive_frequency_3,juveniles_drive_frequency_3,drive_efficiency,drive_fitness,low_density_growth_rate,drop_ratio
1,74070,46325,28623,0.0,0.0,82648,52165,28347,0.0,0.0,0.5,1.0,6.0,3.0
2,72198,44693,35010,0.0,0.0,84290,53948,24063,0.0,0.0,0.5,1.0,6.0,3.0
3,77557,47074,33586,0.0,0.0,80729,52804,22671,0.0,0.0,0.5,1.0,6.0,3.0
4,80293,48634,30864,0.0,0.0,76906,51182,25815,0.0,0.0,0.5,1.0,6.0,3.0
5,79230,48743,30268,0.0,0.0,77468,50911,28007,0.0,0.0,0.5,1.0,6.0,3.0
6,77496,48368,29529,0.0,0.0,80415,52276,26651,0.0,0.0,0.5,1.0,6.0,3.0
7,75971,47512,30936,0.0,0.0,81267,52692,25146,0.0,0.0,0.5,1.0,6.0,3.0
8,76354,47417,32328,0.0,0.0,79848,52346,24644,0.0,0.0,0.5,1.0,6.0,3.0
9,77793,47833,31597,0.0,0.0,78060,51491,25901,0.0,0.0,0.5,1.0,6.0,3.0
10,77915,47944,30951,0.0,0.0,78878,51687,28593,0.0,0.0,0.5,1.0,6.0,3.0
11,77776,47930,31170,0.0,0.0,81779,52939,25259,0.0,0.0,0.5,1.0,6.0,3.0
12,93886,47703,30788,0.175852,0.0831818,81949,52295,24041,0.0176329,0.0,0.5,1.0,6.0,3.0
13,98788,45277,31568,0.258002,0.165246,81310,51409,26289,0.0357275,0.0109361,0.5,1.0,6.0,3.0
14,94381,40797,35392,0.291499,0.232595,81283,51494,26655,0.0379292,0.0312699,0.5,1.0,6.0,3.0
15,92187,36482,40037,0.327888,0.282851,81103,50778,26028,0.0434448,0.0514254,0.5,1.0,6.0,3.0
16,92054,32471,41782,0.361576,0.320808,79287,48827,28898,0.0510487,0.0672538,0.5,1.0,6.0,3.0
17,90741,28356,43178,0.391697,0.349912,80210,47954,30282,0.0603977,0.0854798,0.5,1.0,6.0,3.0
18,89043,24656,43442,0.420415,0.362564,81771,47493,31938,0.0696763,0.0977675,0.5,1.0,6.0,3.0
19,86862,21825,42469,0.444256,0.372295,83392,47290,31364,0.0762183,0.102442,0.5,1.0,6.0,3.0
20,84249,19478,40827,0.462985,0.384219,83678,47005,32509,0.0806664,0.112569,0.5,1.0,6.0,3.0
21,81025,17171,38626,0.482259,0.392534,83971,46946,32275,0.0843327,0.119318,0.5,1.0,6.0,3.0
22,77665,15430,37026,0.501539,0.394966,83753,46602,32762,0.0875551,0.128762,0.5,1.0,6.0,3.0
23,74289,13858,35018,0.517876,0.402193,83413,46002,32591,0.0910829,0.133212,0.5,1.0,6.0,3.0
