generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,rate_cas,rate_has_cas,drive_efficiency,total_germline_resistance_rate,drop_ratio,low_density_growth_rate,density_growth_curve
1,78265,49215,49215,0.0,0.0,0.0,0.0,0.5,0.0,3.5,0.0,6.0,linear
2,77793,48915,48915,0.0,0.0,0.0,0.0,0.5,0.0,3.5,0.0,6.0,linear
3,80144,50043,50043,0.0,0.0,0.0,0.0,0.5,0.0,3.5,0.0,6.0,linear
4,80115,50438,50438,0.0,0.0,0.0,0.0,0.5,0.0,3.5,0.0,6.0,linear
5,79479,50302,50302,0.0,0.0,0.0,0.0,0.5,0.0,3.5,0.0,6.0,linear
6,78120,49808,49808,0.0,0.0,0.0,0.0,0.5,0.0,3.5,0.0,6.0,linear
7,78431,50052,50052,0.0,0.0,0.0,0.0,0.5,0.0,3.5,0.0,6.0,linear
8,78243,49958,49958,0.0,0.0,0.0,0.0,0.5,0.0,3.5,0.0,6.0,linear
9,78111,49685,49685,0.0,0.0,0.0,0.0,0.5,0.0,3.5,0.0,6.0,linear
10,78117,49476,49476,0.0,0.0,0.0,0.0,0.5,0.0,3.5,0.0,6.0,linear
11,78829,49884,49884,0.0,0.0,0.0,0.0,0.5,0.0,3.5,0.0,6.0,linear
12,100069,50051,50051,0.175862,0.188776,0.175862,0.188776,0.5,0.0,3.5,0.0,6.0,linear
13,109095,48461,48461,0.261712,0.293176,0.261712,0.293176,0.5,0.0,3.5,0.0,6.0,linear
14,105101,44821,44821,0.289734,0.347943,0.28965,0.347775,0.5,0.0,3.5,0.0,6.0,linear
15,103564,41648,41648,0.316139,0.40505,0.315849,0.404469,0.5,0.0,3.5,0.0,6.0,linear
16,103855,38919,38919,0.339072,0.454458,0.338698,0.453667,0.5,0.0,3.5,0.0,6.0,linear
17,103634,35910,35910,0.359592,0.500472,0.358575,0.49825,0.5,0.0,3.5,0.0,6.0,linear
18,103632,33291,33291,0.375876,0.535194,0.374723,0.532386,0.5,0.0,3.5,0.0,6.0,linear
19,103898,31495,31495,0.387481,0.558998,0.386371,0.555533,0.5,0.0,3.5,0.0,6.0,linear
20,104167,30122,30122,0.396271,0.576677,0.395737,0.573252,0.5,0.0,3.5,0.0,6.0,linear
21,103401,29110,29110,0.400217,0.585201,0.401659,0.583541,0.5,0.0,3.5,0.0,6.0,linear
22,102919,28466,28466,0.404732,0.594827,0.409077,0.595928,0.5,0.0,3.5,0.0,6.0,linear
23,102712,27793,27793,0.408452,0.600684,0.415986,0.605037,0.5,0.0,3.5,0.0,6.0,linear
24,102191,27142,27142,0.412396,0.607403,0.424556,0.617474,0.5,0.0,3.5,0.0,6.0,linear
25,101646,26674,26674,0.414674,0.61035,0.432062,0.627399,0.5,0.0,3.5,0.0,6.0,linear
