generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,rate_cas,rate_has_cas,drive_efficiency,total_germline_resistance_rate,drop_ratio,low_density_growth_rate,density_growth_curve
1,78662,49393,49393,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
2,78676,49663,49663,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
3,79330,50173,50173,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
4,79453,50320,50320,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
5,79177,50099,50099,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
6,79855,50794,50794,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
7,78180,49977,49977,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
8,76301,49070,49070,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
9,77091,49324,49324,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
10,79875,50414,50414,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
11,81129,50911,50911,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
12,79689,50579,50579,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
13,77629,49699,49699,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
14,77769,49505,49505,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
15,77658,49434,49434,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
16,78399,49762,49762,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
17,78591,49961,49961,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
18,78807,50146,50146,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
19,79231,50559,50559,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
20,78474,50289,50289,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
21,77782,49958,49958,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
22,78386,50002,50002,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
23,78338,49798,49798,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
24,78561,49772,49772,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
25,79009,50235,50235,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
26,78750,50223,50223,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
27,78117,49913,49913,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
28,78030,49726,49726,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
29,77261,49289,49289,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
30,78243,49808,49808,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
31,79148,50148,50148,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
32,78555,49819,49819,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
33,78623,50136,50136,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
34,79756,50771,50771,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
35,79143,50578,50578,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
36,77137,49256,49256,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
37,77040,49182,49182,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
38,79593,50423,50423,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
39,80417,50793,50793,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
40,78521,50050,50050,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
41,77584,49859,49859,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear
42,78693,50351,50351,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,linear

