generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,rate_cas,rate_has_cas,drive_efficiency,total_germline_resistance_rate,drop_ratio,low_density_growth_rate,density_growth_curve
1,78313,49073,49073,0.0,0.0,0.0,0.0,0.5,0.0,4.5,0.0,6.0,linear
2,78534,49266,49266,0.0,0.0,0.0,0.0,0.5,0.0,4.5,0.0,6.0,linear
3,80526,50723,50723,0.0,0.0,0.0,0.0,0.5,0.0,4.5,0.0,6.0,linear
4,80282,50764,50764,0.0,0.0,0.0,0.0,0.5,0.0,4.5,0.0,6.0,linear
5,77999,49696,49696,0.0,0.0,0.0,0.0,0.5,0.0,4.5,0.0,6.0,linear
6,77038,49225,49225,0.0,0.0,0.0,0.0,0.5,0.0,4.5,0.0,6.0,linear
7,79203,50118,50118,0.0,0.0,0.0,0.0,0.5,0.0,4.5,0.0,6.0,linear
8,79430,50148,50148,0.0,0.0,0.0,0.0,0.5,0.0,4.5,0.0,6.0,linear
9,78238,49420,49420,0.0,0.0,0.0,0.0,0.5,0.0,4.5,0.0,6.0,linear
10,78198,49695,49695,0.0,0.0,0.0,0.0,0.5,0.0,4.5,0.0,6.0,linear
11,79775,50470,50470,0.0,0.0,0.0,0.0,0.5,0.0,4.5,0.0,6.0,linear
12,106416,50328,50328,0.216916,0.231472,0.216916,0.231472,0.5,0.0,4.5,0.0,6.0,linear
13,116186,47470,47470,0.315721,0.352178,0.315721,0.352178,0.5,0.0,4.5,0.0,6.0,linear
14,113068,44013,44013,0.344849,0.4116,0.344808,0.411518,0.5,0.0,4.5,0.0,6.0,linear
15,112158,40778,40778,0.372182,0.470754,0.371909,0.470208,0.5,0.0,4.5,0.0,6.0,linear
16,111493,36751,36751,0.398941,0.528733,0.398211,0.527207,0.5,0.0,4.5,0.0,6.0,linear
17,110974,32898,32898,0.423763,0.58061,0.422246,0.577439,0.5,0.0,4.5,0.0,6.0,linear
18,110304,29608,29608,0.441306,0.618117,0.439556,0.614226,0.5,0.0,4.5,0.0,6.0,linear
19,110251,27433,27433,0.454006,0.643112,0.452535,0.638932,0.5,0.0,4.5,0.0,6.0,linear
20,109267,25544,25544,0.46565,0.664205,0.465414,0.660611,0.5,0.0,4.5,0.0,6.0,linear
21,107594,23865,23865,0.47404,0.678049,0.475455,0.675733,0.5,0.0,4.5,0.0,6.0,linear
22,105999,22464,22464,0.480643,0.68885,0.485572,0.689573,0.5,0.0,4.5,0.0,6.0,linear
23,104474,21427,21427,0.488131,0.697643,0.496038,0.699957,0.5,0.0,4.5,0.0,6.0,linear
24,103098,20551,20551,0.493732,0.704464,0.506838,0.71148,0.5,0.0,4.5,0.0,6.0,linear
25,101622,19747,19747,0.497862,0.70934,0.515489,0.721317,0.5,0.0,4.5,0.0,6.0,linear
26,100657,19166,19166,0.503078,0.71701,0.525958,0.733796,0.5,0.0,4.5,0.0,6.0,linear
27,99041,18536,18536,0.505982,0.719403,0.533992,0.742047,0.5,0.0,4.5,0.0,6.0,linear
28,97880,17895,17895,0.512046,0.726668,0.54558,0.753993,0.5,0.0,4.5,0.0,6.0,linear
29,97158,17317,17317,0.518587,0.734333,0.558131,0.766441,0.5,0.0,4.5,0.0,6.0,linear
30,95786,16810,16810,0.52251,0.739803,0.567695,0.776776,0.5,0.0,4.5,0.0,6.0,linear
31,94278,16113,16113,0.526597,0.744477,0.576648,0.785866,0.5,0.0,4.5,0.0,6.0,linear
32,92914,15601,15601,0.532418,0.750323,0.587531,0.796617,0.5,0.0,4.5,0.0,6.0,linear
33,91699,15190,15190,0.536594,0.754037,0.595959,0.804085,0.5,0.0,4.5,0.0,6.0,linear
34,90833,14547,14547,0.54206,0.761141,0.605382,0.813032,0.5,0.0,4.5,0.0,6.0,linear
35,89777,13908,13908,0.547676,0.766211,0.615106,0.821733,0.5,0.0,4.5,0.0,6.0,linear
36,88542,13347,13347,0.554162,0.773315,0.624969,0.829694,0.5,0.0,4.5,0.0,6.0,linear
37,87098,12730,12730,0.560021,0.779496,0.634704,0.838388,0.5,0.0,4.5,0.0,6.0,linear
38,85849,12172,12172,0.566855,0.785642,0.644622,0.846412,0.5,0.0,4.5,0.0,6.0,linear
39,84524,11664,11664,0.57301,0.790943,0.653623,0.852584,0.5,0.0,4.5,0.0,6.0,linear
40,82945,11115,11115,0.578907,0.796777,0.662984,0.860155,0.5,0.0,4.5,0.0,6.0,linear
41,81464,10661,10661,0.585904,0.801508,0.672582,0.867891,0.5,0.0,4.5,0.0,6.0,linear
42,79819,10137,10137,0.59183,0.806538,0.681877,0.874151,0.5,0.0,4.5,0.0,6.0,linear
43,78604,9633,9633,0.600106,0.813171,0.692823,0.882367,0.5,0.0,4.5,0.0,6.0,linear
44,77062,9072,9072,0.606145,0.817643,0.700651,0.888047,0.5,0.0,4.5,0.0,6.0,linear
45,75586,8575,8575,0.614175,0.822865,0.711361,0.893667,0.5,0.0,4.5,0.0,6.0,linear
46,74367,8242,8242,0.621962,0.829503,0.719967,0.89989,0.5,0.0,4.5,0.0,6.0,linear
