generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,rate_cas,rate_has_cas,drive_efficiency,total_germline_resistance_rate,drop_ratio,low_density_growth_rate,density_growth_curve
1,78160,49220,49220,0.0,0.0,0.0,0.0,0.5,0.0,5.0,0.0,6.0,linear
2,78364,49239,49239,0.0,0.0,0.0,0.0,0.5,0.0,5.0,0.0,6.0,linear
3,79656,49917,49917,0.0,0.0,0.0,0.0,0.5,0.0,5.0,0.0,6.0,linear
4,80207,50365,50365,0.0,0.0,0.0,0.0,0.5,0.0,5.0,0.0,6.0,linear
5,80285,50822,50822,0.0,0.0,0.0,0.0,0.5,0.0,5.0,0.0,6.0,linear
6,78549,50266,50266,0.0,0.0,0.0,0.0,0.5,0.0,5.0,0.0,6.0,linear
7,78323,50152,50152,0.0,0.0,0.0,0.0,0.5,0.0,5.0,0.0,6.0,linear
8,78039,49964,49964,0.0,0.0,0.0,0.0,0.5,0.0,5.0,0.0,6.0,linear
9,77840,49501,49501,0.0,0.0,0.0,0.0,0.5,0.0,5.0,0.0,6.0,linear
10,79043,50312,50312,0.0,0.0,0.0,0.0,0.5,0.0,5.0,0.0,6.0,linear
11,78407,49885,49885,0.0,0.0,0.0,0.0,0.5,0.0,5.0,0.0,6.0,linear
12,107697,49544,49544,0.24077,0.261147,0.24077,0.261147,0.5,0.0,5.0,0.0,6.0,linear
13,120363,46859,46859,0.345596,0.392009,0.345596,0.392009,0.5,0.0,5.0,0.0,6.0,linear
14,116999,42662,42662,0.381261,0.463373,0.381158,0.463167,0.5,0.0,5.0,0.0,6.0,linear
15,114504,37933,37933,0.41665,0.537493,0.416338,0.536869,0.5,0.0,5.0,0.0,6.0,linear
16,112763,32948,32948,0.450083,0.608486,0.44933,0.606941,0.5,0.0,5.0,0.0,6.0,linear
17,112014,28222,28222,0.47838,0.667261,0.477136,0.664546,0.5,0.0,5.0,0.0,6.0,linear
18,110616,23999,23999,0.50144,0.711365,0.500123,0.707933,0.5,0.0,5.0,0.0,6.0,linear
19,108938,20700,20700,0.521542,0.743473,0.520471,0.739098,0.5,0.0,5.0,0.0,6.0,linear
20,105760,17908,17908,0.537479,0.76595,0.538089,0.762098,0.5,0.0,5.0,0.0,6.0,linear
21,102324,15885,15885,0.551394,0.781229,0.554001,0.77819,0.5,0.0,5.0,0.0,6.0,linear
22,98646,14255,14255,0.565402,0.793358,0.572432,0.794016,0.5,0.0,5.0,0.0,6.0,linear
23,94938,12874,12874,0.578551,0.804187,0.590378,0.807969,0.5,0.0,5.0,0.0,6.0,linear
24,91800,11735,11735,0.591605,0.814176,0.609098,0.821716,0.5,0.0,5.0,0.0,6.0,linear
25,88297,10728,10728,0.604336,0.825309,0.626956,0.835989,0.5,0.0,5.0,0.0,6.0,linear
26,85410,9599,9599,0.618024,0.836839,0.645716,0.850864,0.5,0.0,5.0,0.0,6.0,linear
27,82187,8672,8672,0.632075,0.847127,0.665198,0.864434,0.5,0.0,5.0,0.0,6.0,linear
28,79741,7755,7755,0.648102,0.857455,0.684963,0.877477,0.5,0.0,5.0,0.0,6.0,linear
29,76720,6859,6859,0.665078,0.86967,0.7068,0.89239,0.5,0.0,5.0,0.0,6.0,linear
30,73962,5955,5955,0.681372,0.879813,0.726167,0.903908,0.5,0.0,5.0,0.0,6.0,linear
31,71359,5183,5183,0.700174,0.890433,0.747946,0.916061,0.5,0.0,5.0,0.0,6.0,linear
32,68495,4468,4468,0.720837,0.903821,0.768428,0.927952,0.5,0.0,5.0,0.0,6.0,linear
33,65612,3742,3742,0.743066,0.915392,0.790675,0.939232,0.5,0.0,5.0,0.0,6.0,linear
34,62633,3151,3151,0.765863,0.927293,0.812817,0.948695,0.5,0.0,5.0,0.0,6.0,linear
35,60448,2500,2500,0.791197,0.938161,0.835324,0.956493,0.5,0.0,5.0,0.0,6.0,linear
36,57968,2115,2115,0.815084,0.947061,0.856441,0.963451,0.5,0.0,5.0,0.0,6.0,linear
37,55731,1598,1598,0.838084,0.957457,0.87565,0.971032,0.5,0.0,5.0,0.0,6.0,linear
38,53831,1223,1223,0.862467,0.966877,0.897042,0.979224,0.5,0.0,5.0,0.0,6.0,linear
39,52292,915,915,0.886542,0.973867,0.916578,0.984907,0.5,0.0,5.0,0.0,6.0,linear
40,50905,666,666,0.908458,0.98027,0.933768,0.988951,0.5,0.0,5.0,0.0,6.0,linear
41,49482,496,496,0.9296,0.986013,0.950638,0.992707,0.5,0.0,5.0,0.0,6.0,linear
42,48337,339,339,0.946505,0.990143,0.96345,0.994921,0.5,0.0,5.0,0.0,6.0,linear
43,47531,230,230,0.960098,0.993124,0.973029,0.99688,0.5,0.0,5.0,0.0,6.0,linear
44,47001,151,151,0.971723,0.995585,0.98163,0.998054,0.5,0.0,5.0,0.0,6.0,linear
45,46429,99,99,0.979926,0.997297,0.986717,0.998531,0.5,0.0,5.0,0.0,6.0,linear
46,46042,56,56,0.987416,0.998533,0.991912,0.999245,0.5,0.0,5.0,0.0,6.0,linear
47,45530,30,30,0.991608,0.999148,0.994569,0.999432,0.5,0.0,5.0,0.0,6.0,linear
48,45596,14,14,0.995002,0.999563,0.996763,0.999694,0.5,0.0,5.0,0.0,6.0,linear
49,45176,6,6,0.997215,0.999713,0.998231,0.999823,0.5,0.0,5.0,0.0,6.0,linear
50,45148,6,6,0.99824,0.99969,0.998904,0.999779,0.5,0.0,5.0,0.0,6.0,linear
51,45282,5,5,0.99915,0.999823,0.999448,0.999823,0.5,0.0,5.0,0.0,6.0,linear
52,45048,2,2,0.999368,0.999867,0.999501,0.999845,0.5,0.0,5.0,0.0,6.0,linear
53,45070,4,4,0.999501,0.9998,0.999623,0.999845,0.5,0.0,5.0,0.0,6.0,linear
54,45136,4,4,0.999646,0.999867,0.999723,0.999889,0.5,0.0,5.0,0.0,6.0,linear
55,44972,4,4,0.999589,0.999867,0.999711,0.999911,0.5,0.0,5.0,0.0,6.0,linear
56,44968,1,1,0.999589,0.999956,0.999755,0.999978,0.5,0.0,5.0,0.0,6.0,linear
