generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,rate_cas,rate_has_cas,drive_efficiency,total_germline_resistance_rate,drop_ratio,low_density_growth_rate,density_growth_curve
1,78276,49045,49045,0.0,0.0,0.0,0.0,0.5,0.0,3.5,0.0,6.0,linear
2,77785,48898,48898,0.0,0.0,0.0,0.0,0.5,0.0,3.5,0.0,6.0,linear
3,80361,50629,50629,0.0,0.0,0.0,0.0,0.5,0.0,3.5,0.0,6.0,linear
4,80127,50751,50751,0.0,0.0,0.0,0.0,0.5,0.0,3.5,0.0,6.0,linear
5,77967,49876,49876,0.0,0.0,0.0,0.0,0.5,0.0,3.5,0.0,6.0,linear
6,76547,49161,49161,0.0,0.0,0.0,0.0,0.5,0.0,3.5,0.0,6.0,linear
7,78090,49890,49890,0.0,0.0,0.0,0.0,0.5,0.0,3.5,0.0,6.0,linear
8,79462,50433,50433,0.0,0.0,0.0,0.0,0.5,0.0,3.5,0.0,6.0,linear
9,78775,50094,50094,0.0,0.0,0.0,0.0,0.5,0.0,3.5,0.0,6.0,linear
10,77158,49546,49546,0.0,0.0,0.0,0.0,0.5,0.0,3.5,0.0,6.0,linear
11,78412,49996,49996,0.0,0.0,0.0,0.0,0.5,0.0,3.5,0.0,6.0,linear
12,99813,50030,50030,0.183658,0.202031,0.183658,0.202031,0.5,0.0,3.5,0.0,6.0,linear
13,107288,47132,47132,0.276724,0.320402,0.276724,0.320402,0.5,0.0,3.5,0.0,6.0,linear
14,103225,43098,43098,0.311242,0.391266,0.311082,0.390945,0.5,0.0,3.5,0.0,6.0,linear
15,101823,39212,39212,0.344603,0.463292,0.34423,0.462546,0.5,0.0,3.5,0.0,6.0,linear
16,101722,35209,35209,0.376676,0.5313,0.375612,0.52913,0.5,0.0,3.5,0.0,6.0,linear
17,101621,31193,31193,0.404082,0.587087,0.402564,0.583906,0.5,0.0,3.5,0.0,6.0,linear
18,99961,27582,27582,0.425204,0.630741,0.423086,0.625858,0.5,0.0,3.5,0.0,6.0,linear
19,99231,24803,24803,0.442025,0.660816,0.440218,0.655207,0.5,0.0,3.5,0.0,6.0,linear
20,97468,22587,22587,0.452763,0.680059,0.452174,0.674982,0.5,0.0,3.5,0.0,6.0,linear
21,95431,20811,20811,0.461892,0.693682,0.463664,0.689681,0.5,0.0,3.5,0.0,6.0,linear
22,93457,19536,19536,0.468483,0.701741,0.474277,0.701086,0.5,0.0,3.5,0.0,6.0,linear
23,91770,18489,18489,0.476338,0.711534,0.487352,0.7152,0.5,0.0,3.5,0.0,6.0,linear
24,89036,17501,17501,0.482359,0.717579,0.499506,0.72643,0.5,0.0,3.5,0.0,6.0,linear
25,86912,16916,16916,0.488648,0.723558,0.512877,0.739227,0.5,0.0,3.5,0.0,6.0,linear
26,84875,16079,16079,0.493404,0.729988,0.524464,0.750416,0.5,0.0,3.5,0.0,6.0,linear
27,84182,15414,15414,0.499684,0.737443,0.53769,0.763501,0.5,0.0,3.5,0.0,6.0,linear
28,82651,14639,14639,0.50719,0.745663,0.552366,0.779178,0.5,0.0,3.5,0.0,6.0,linear
29,81115,13886,13886,0.513171,0.752168,0.56425,0.790925,0.5,0.0,3.5,0.0,6.0,linear
30,79379,13313,13313,0.517916,0.756007,0.576048,0.800489,0.5,0.0,3.5,0.0,6.0,linear
31,78250,12831,12831,0.526938,0.764647,0.590109,0.812533,0.5,0.0,3.5,0.0,6.0,linear
32,76193,12113,12113,0.532262,0.771412,0.600507,0.822902,0.5,0.0,3.5,0.0,6.0,linear
33,74708,11560,11560,0.538999,0.77575,0.612268,0.830829,0.5,0.0,3.5,0.0,6.0,linear
34,73139,10996,10996,0.546437,0.783449,0.624273,0.841646,0.5,0.0,3.5,0.0,6.0,linear
35,71468,10309,10309,0.554163,0.79109,0.635363,0.849762,0.5,0.0,3.5,0.0,6.0,linear
36,70038,9641,9641,0.563193,0.799103,0.648126,0.859523,0.5,0.0,3.5,0.0,6.0,linear
37,68078,9090,9090,0.57144,0.805722,0.659584,0.867996,0.5,0.0,3.5,0.0,6.0,linear
38,66678,8554,8554,0.580729,0.814193,0.671,0.876272,0.5,0.0,3.5,0.0,6.0,linear
39,64417,7860,7860,0.587379,0.818068,0.6815,0.881977,0.5,0.0,3.5,0.0,6.0,linear
40,63557,7507,7507,0.599605,0.826988,0.694107,0.890079,0.5,0.0,3.5,0.0,6.0,linear
41,61534,6936,6936,0.608373,0.834663,0.703446,0.896391,0.5,0.0,3.5,0.0,6.0,linear
42,60310,6379,6379,0.62006,0.845004,0.716507,0.90596,0.5,0.0,3.5,0.0,6.0,linear
43,58058,5776,5776,0.632831,0.854234,0.731668,0.914791,0.5,0.0,3.5,0.0,6.0,linear
44,56201,5088,5088,0.648512,0.864842,0.747166,0.923868,0.5,0.0,3.5,0.0,6.0,linear
45,54076,4512,4512,0.664667,0.873722,0.762231,0.929966,0.5,0.0,3.5,0.0,6.0,linear
46,51832,4019,4019,0.683041,0.883853,0.778057,0.937325,0.5,0.0,3.5,0.0,6.0,linear
47,49658,3537,3537,0.701415,0.895297,0.791737,0.942395,0.5,0.0,3.5,0.0,6.0,linear
48,47972,3032,3032,0.722298,0.906681,0.808778,0.949307,0.5,0.0,3.5,0.0,6.0,linear
49,46292,2627,2627,0.741729,0.917244,0.824431,0.955763,0.5,0.0,3.5,0.0,6.0,linear
50,44227,2207,2207,0.760675,0.926132,0.839552,0.961403,0.5,0.0,3.5,0.0,6.0,linear
51,42869,1831,1831,0.783477,0.935899,0.856845,0.967281,0.5,0.0,3.5,0.0,6.0,linear
52,41091,1458,1458,0.806504,0.945293,0.874947,0.972423,0.5,0.0,3.5,0.0,6.0,linear
53,39658,1160,1160,0.832603,0.954417,0.892931,0.977343,0.5,0.0,3.5,0.0,6.0,linear
54,38182,921,921,0.856333,0.962749,0.909458,0.983225,0.5,0.0,3.5,0.0,6.0,linear
55,36837,694,694,0.880147,0.971014,0.924113,0.988306,0.5,0.0,3.5,0.0,6.0,linear
56,35842,526,526,0.902653,0.977734,0.940017,0.991156,0.5,0.0,3.5,0.0,6.0,linear
57,34691,393,393,0.923044,0.983118,0.953061,0.993028,0.5,0.0,3.5,0.0,6.0,linear
58,33965,282,282,0.940092,0.987562,0.964514,0.995042,0.5,0.0,3.5,0.0,6.0,linear
59,33538,183,183,0.955926,0.991545,0.973227,0.996339,0.5,0.0,3.5,0.0,6.0,linear
60,32979,127,127,0.967931,0.993955,0.980512,0.99738,0.5,0.0,3.5,0.0,6.0,linear
61,32500,83,83,0.975708,0.995611,0.985561,0.998396,0.5,0.0,3.5,0.0,6.0,linear
62,32165,56,56,0.984677,0.996852,0.991467,0.998858,0.5,0.0,3.5,0.0,6.0,linear
63,32013,42,42,0.988984,0.998076,0.993965,0.999255,0.5,0.0,3.5,0.0,6.0,linear
64,31959,31,31,0.992537,0.998629,0.996089,0.999564,0.5,0.0,3.5,0.0,6.0,linear
65,31919,18,18,0.995003,0.999407,0.997299,0.999844,0.5,0.0,3.5,0.0,6.0,linear
66,31838,15,15,0.997066,0.999498,0.998321,0.999843,0.5,0.0,3.5,0.0,6.0,linear
67,31598,6,6,0.99815,0.999779,0.998909,0.999937,0.5,0.0,3.5,0.0,6.0,linear
68,31659,4,4,0.998911,0.999874,0.999306,0.999968,0.5,0.0,3.5,0.0,6.0,linear
69,31449,1,1,0.999349,0.999968,0.999666,1.0,0.5,0.0,3.5,0.0,6.0,linear
70,31624,0,0,0.999557,1.0,0.999763,1.0,0.5,0.0,3.5,0.0,6.0,linear

