generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,rate_cas,rate_has_cas,drive_efficiency,total_germline_resistance_rate,drop_ratio,low_density_growth_rate,density_growth_curve
1,77714,48907,48907,0.0,0.0,0.0,0.0,0.5,0.0,1.75,0.0,6.0,linear
2,77760,48960,48960,0.0,0.0,0.0,0.0,0.5,0.0,1.75,0.0,6.0,linear
3,80575,50770,50770,0.0,0.0,0.0,0.0,0.5,0.0,1.75,0.0,6.0,linear
4,81121,51320,51320,0.0,0.0,0.0,0.0,0.5,0.0,1.75,0.0,6.0,linear
5,78278,49982,49982,0.0,0.0,0.0,0.0,0.5,0.0,1.75,0.0,6.0,linear
6,75809,48919,48919,0.0,0.0,0.0,0.0,0.5,0.0,1.75,0.0,6.0,linear
7,78283,49684,49684,0.0,0.0,0.0,0.0,0.5,0.0,1.75,0.0,6.0,linear
8,79756,50318,50318,0.0,0.0,0.0,0.0,0.5,0.0,1.75,0.0,6.0,linear
9,79934,50388,50388,0.0,0.0,0.0,0.0,0.5,0.0,1.75,0.0,6.0,linear
10,78743,50336,50336,0.0,0.0,0.0,0.0,0.5,0.0,1.75,0.0,6.0,linear
11,78221,50229,50229,0.0,0.0,0.0,0.0,0.5,0.0,1.75,0.0,6.0,linear
12,88308,50047,50047,0.102904,0.116525,0.102904,0.116525,0.5,0.0,1.75,0.0,6.0,linear
13,92082,48101,48101,0.165863,0.199953,0.165863,0.199953,0.5,0.0,1.75,0.0,6.0,linear
14,88304,44723,44723,0.194615,0.25949,0.194413,0.259085,0.5,0.0,1.75,0.0,6.0,linear
15,88097,42167,42167,0.223673,0.320479,0.223147,0.319428,0.5,0.0,1.75,0.0,6.0,linear
16,88531,39604,39604,0.250646,0.377347,0.249476,0.374984,0.5,0.0,1.75,0.0,6.0,linear
17,88977,36900,36900,0.273386,0.424893,0.271166,0.420266,0.5,0.0,1.75,0.0,6.0,linear
18,88218,34248,34248,0.29059,0.460564,0.288189,0.455084,0.5,0.0,1.75,0.0,6.0,linear
19,88656,32637,32637,0.302392,0.485209,0.300486,0.4796,0.5,0.0,1.75,0.0,6.0,linear
20,88995,31572,31572,0.311782,0.503764,0.311055,0.499409,0.5,0.0,1.75,0.0,6.0,linear
21,89001,30662,30662,0.317849,0.516467,0.318952,0.513275,0.5,0.0,1.75,0.0,6.0,linear
22,88250,29855,29855,0.322027,0.524596,0.326858,0.525357,0.5,0.0,1.75,0.0,6.0,linear
23,87877,29280,29280,0.324531,0.52896,0.333138,0.533899,0.5,0.0,1.75,0.0,6.0,linear
24,87740,28983,28983,0.327033,0.533974,0.340482,0.543695,0.5,0.0,1.75,0.0,6.0,linear
25,87359,28639,28639,0.328548,0.537415,0.347065,0.55313,0.5,0.0,1.75,0.0,6.0,linear
26,87186,28356,28356,0.328613,0.537057,0.35371,0.561645,0.5,0.0,1.75,0.0,6.0,linear
27,87235,28171,28171,0.329214,0.537802,0.361036,0.569876,0.5,0.0,1.75,0.0,6.0,linear
28,87428,28400,28400,0.329983,0.539303,0.36841,0.580191,0.5,0.0,1.75,0.0,6.0,linear
29,87532,28259,28259,0.331351,0.542043,0.377045,0.591295,0.5,0.0,1.75,0.0,6.0,linear
30,87337,28070,28070,0.333997,0.546515,0.385156,0.602516,0.5,0.0,1.75,0.0,6.0,linear
31,86970,27814,27814,0.33715,0.552134,0.394006,0.614486,0.5,0.0,1.75,0.0,6.0,linear
32,86352,27309,27309,0.337584,0.553289,0.400633,0.623556,0.5,0.0,1.75,0.0,6.0,linear
33,86037,26973,26973,0.338553,0.554364,0.407797,0.633541,0.5,0.0,1.75,0.0,6.0,linear
34,85949,27033,27033,0.338882,0.554736,0.414156,0.640347,0.5,0.0,1.75,0.0,6.0,linear
35,85579,26785,26785,0.338841,0.555864,0.420525,0.647972,0.5,0.0,1.75,0.0,6.0,linear
