generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,rate_complete_r2,rate_partial_r2,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,78161,49043,49043,0.0,0.0,0.0,0.0,0.5,0.75,6.0,linear
2,78272,49032,49032,0.0,0.0,0.0,0.0,0.5,0.75,6.0,linear
3,81086,50592,50592,0.0,0.0,0.0,0.0,0.5,0.75,6.0,linear
4,80393,50597,50597,0.0,0.0,0.0,0.0,0.5,0.75,6.0,linear
5,78533,50003,50003,0.0,0.0,0.0,0.0,0.5,0.75,6.0,linear
6,78086,50228,50228,0.0,0.0,0.0,0.0,0.5,0.75,6.0,linear
7,78473,50321,50321,0.0,0.0,0.0,0.0,0.5,0.75,6.0,linear
8,78216,50117,50117,0.0,0.0,0.0,0.0,0.5,0.75,6.0,linear
9,77010,49204,49204,0.0,0.0,0.0,0.0,0.5,0.75,6.0,linear
10,77846,49378,49378,0.0,0.0,0.0,0.0,0.5,0.75,6.0,linear
11,79656,50152,50152,0.0,0.0,0.0,0.0,0.5,0.75,6.0,linear
12,83593,50142,50142,0.0482172,0.0565755,0.0,0.0,0.5,0.75,6.0,linear
13,85049,49656,49214,0.082935,0.10631,0.0,0.0,0.5,0.75,6.0,linear
14,83289,48404,47115,0.105717,0.150966,0.000540526,0.0,0.5,0.75,6.0,linear
15,83156,47594,45002,0.132442,0.203414,0.00223537,0.0,0.5,0.75,6.0,linear
16,83683,46776,42393,0.161722,0.259339,0.00557812,0.0,0.5,0.75,6.0,linear
17,83785,45844,39346,0.190445,0.313071,0.0111924,0.0,0.5,0.75,6.0,linear
18,84399,45102,36260,0.218856,0.362819,0.0195809,0.0,0.5,0.75,6.0,linear
19,83953,44326,33133,0.248048,0.413447,0.0310501,0.0,0.5,0.75,6.0,linear
20,84646,43654,29977,0.274393,0.455725,0.044321,0.0,0.5,0.75,6.0,linear
21,84706,42944,26990,0.301037,0.496684,0.0584489,0.0,0.5,0.75,6.0,linear
22,84791,42159,23981,0.325956,0.535117,0.0736515,0.0,0.5,0.75,6.0,linear
23,84702,41218,21065,0.349201,0.569007,0.0896393,0.0,0.5,0.75,6.0,linear
24,84688,40372,18436,0.371757,0.603285,0.105874,0.0,0.5,0.75,6.0,linear
25,84651,39594,15880,0.392433,0.633265,0.121595,0.0,0.5,0.75,6.0,linear
26,84682,38676,13501,0.413322,0.662065,0.136552,0.0,0.5,0.75,6.0,linear
27,84700,37667,11428,0.433234,0.689123,0.151298,0.0,0.5,0.75,6.0,linear
28,84576,36801,9682,0.453284,0.714674,0.164961,0.0,0.5,0.75,6.0,linear
29,84434,35880,8150,0.471317,0.736633,0.177519,0.0,0.5,0.75,6.0,linear
30,84009,35253,6804,0.487733,0.757594,0.190112,0.0,0.5,0.75,6.0,linear
31,83066,34314,5735,0.50087,0.775597,0.202514,0.0,0.5,0.75,6.0,linear
32,82943,33691,4753,0.514811,0.79365,0.21217,0.0,0.5,0.75,6.0,linear
33,82146,32891,4014,0.527262,0.811026,0.221235,0.0,0.5,0.75,6.0,linear
34,81420,31962,3293,0.540723,0.827667,0.227429,0.0,0.5,0.75,6.0,linear
35,80816,31145,2714,0.55285,0.843024,0.234409,0.0,0.5,0.75,6.0,linear
36,80105,30215,2190,0.563573,0.855654,0.241276,0.0,0.5,0.75,6.0,linear
37,79704,29619,1755,0.57602,0.868904,0.24686,0.0,0.5,0.75,6.0,linear
38,79071,28853,1380,0.585752,0.87996,0.252832,0.0,0.5,0.75,6.0,linear
39,77994,28060,1158,0.595665,0.89086,0.257518,0.0,0.5,0.75,6.0,linear
40,77099,27191,931,0.605625,0.901864,0.260214,0.0,0.5,0.75,6.0,linear
41,75997,26375,720,0.614206,0.911276,0.263671,0.0,0.5,0.75,6.0,linear
42,75009,25529,556,0.622421,0.920015,0.267664,0.0,0.5,0.75,6.0,linear
43,74363,25023,445,0.62789,0.927232,0.271989,0.0,0.5,0.75,6.0,linear
44,72999,24471,385,0.635593,0.934721,0.27405,0.0,0.5,0.75,6.0,linear
45,72480,23819,317,0.640865,0.940731,0.27629,0.0,0.5,0.75,6.0,linear
46,71723,23326,274,0.645501,0.945286,0.27828,0.0,0.5,0.75,6.0,linear
47,70650,22780,230,0.649144,0.949523,0.280931,0.0,0.5,0.75,6.0,linear
48,69493,22299,202,0.652684,0.954463,0.282994,0.0,0.5,0.75,6.0,linear
49,69395,22005,149,0.658134,0.959737,0.283755,0.0,0.5,0.75,6.0,linear
50,68600,21536,121,0.662387,0.964012,0.284911,0.0,0.5,0.75,6.0,linear
51,67419,20912,93,0.665571,0.96798,0.286423,0.0,0.5,0.75,6.0,linear
52,66937,20579,70,0.670395,0.971815,0.285867,0.0,0.5,0.75,6.0,linear
53,65874,20181,59,0.673566,0.974138,0.287226,0.0,0.5,0.75,6.0,linear
54,65161,19717,48,0.677981,0.976753,0.286872,0.0,0.5,0.75,6.0,linear
55,64406,19194,39,0.680442,0.978774,0.288284,0.0,0.5,0.75,6.0,linear
56,63963,18995,32,0.682462,0.980488,0.2896,0.0,0.5,0.75,6.0,linear
57,63129,18645,25,0.684502,0.982356,0.290203,0.0,0.5,0.75,6.0,linear
58,62336,18403,22,0.684469,0.984114,0.292582,0.0,0.5,0.75,6.0,linear
59,62048,18056,15,0.686339,0.985824,0.293113,0.0,0.5,0.75,6.0,linear
60,61401,17679,12,0.690024,0.988102,0.291733,0.0,0.5,0.75,6.0,linear
61,60251,17453,6,0.690767,0.98952,0.292569,0.0,0.5,0.75,6.0,linear
62,59583,17244,5,0.692368,0.990988,0.293009,0.0,0.5,0.75,6.0,linear
63,59524,17071,4,0.694629,0.992086,0.29267,0.0,0.5,0.75,6.0,linear
64,59224,16883,2,0.697497,0.993269,0.291591,0.0,0.5,0.75,6.0,linear
65,58825,16733,1,0.69886,0.993965,0.291409,0.0,0.5,0.75,6.0,linear
66,58598,16469,1,0.699891,0.995096,0.291955,0.0,0.5,0.75,6.0,linear
67,57908,16239,1,0.700345,0.995877,0.292736,0.0,0.5,0.75,6.0,linear
68,57359,16156,1,0.700799,0.996348,0.293248,0.0,0.5,0.75,6.0,linear
69,56817,16020,0,0.701263,0.996874,0.29367,0.0,0.5,0.75,6.0,linear
70,57003,15947,0,0.701819,0.997241,0.293755,0.0,0.5,0.75,6.0,linear
71,56696,15806,0,0.702017,0.997295,0.293869,0.0,0.5,0.75,6.0,linear
72,56233,15696,0,0.702205,0.997586,0.294262,0.0,0.5,0.75,6.0,linear
73,56075,15662,0,0.702344,0.997954,0.29452,0.0,0.5,0.75,6.0,linear
74,55488,15439,0,0.702497,0.998276,0.294738,0.0,0.5,0.75,6.0,linear
75,55829,15361,0,0.703239,0.998606,0.294405,0.0,0.5,0.75,6.0,linear
76,55555,15407,0,0.704481,0.998807,0.293553,0.0,0.5,0.75,6.0,linear
77,54869,15236,0,0.705524,0.999024,0.292817,0.0,0.5,0.75,6.0,linear
78,54292,15245,0,0.705411,0.999045,0.293093,0.0,0.5,0.75,6.0,linear
79,54402,15182,0,0.704591,0.999185,0.294124,0.0,0.5,0.75,6.0,linear
80,54681,15263,0,0.705753,0.999348,0.293172,0.0,0.5,0.75,6.0,linear
81,54622,15308,0,0.704775,0.999362,0.294296,0.0,0.5,0.75,6.0,linear
82,54902,15289,0,0.704818,0.999476,0.294367,0.0,0.5,0.75,6.0,linear
83,54899,15201,0,0.705569,0.99953,0.293685,0.0,0.5,0.75,6.0,linear
84,54384,15035,0,0.70523,0.999541,0.294054,0.0,0.5,0.75,6.0,linear
