generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,rate_complete_r2,rate_partial_r2,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
72,5809,171,27,0.942056,0.994914,0.0,0.0,0.5,0.475,6.0,linear
73,5297,105,15,0.959604,0.997021,0.0,0.0,0.5,0.475,6.0,linear
74,4919,63,9,0.975483,0.998263,0.0,0.0,0.5,0.475,6.0,linear
75,4704,46,5,0.983187,0.998981,0.0,0.0,0.5,0.475,6.0,linear
76,4567,28,2,0.989561,0.999574,0.0,0.0,0.5,0.475,6.0,linear
77,4463,17,0,0.994907,1.0,0.0,0.0,0.5,0.475,6.0,linear
78,4429,12,0,0.997223,1.0,0.0,0.0,0.5,0.475,6.0,linear
79,4354,5,0,0.999087,1.0,0.0,0.0,0.5,0.475,6.0,linear
80,4322,3,0,0.999654,1.0,0.0,0.0,0.5,0.475,6.0,linear
81,4278,0,0,1.0,1.0,0.0,0.0,0.5,0.475,6.0,linear

