generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,rate_complete_r2,rate_partial_r2,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
150,34164,8171,0,0.713957,1.0,0.286043,0.0,0.5,0.525,6.0,linear
151,33772,8062,0,0.713718,1.0,0.286282,0.0,0.5,0.525,6.0,linear
152,33730,8036,0,0.7158,1.0,0.2842,0.0,0.5,0.525,6.0,linear
153,33638,7975,0,0.716305,1.0,0.283695,0.0,0.5,0.525,6.0,linear
154,33597,7953,0,0.715739,1.0,0.284261,0.0,0.5,0.525,6.0,linear
155,33740,7967,0,0.715924,1.0,0.284076,0.0,0.5,0.525,6.0,linear
156,33233,7952,0,0.716114,1.0,0.283886,0.0,0.5,0.525,6.0,linear
157,33153,7898,0,0.715327,1.0,0.284673,0.0,0.5,0.525,6.0,linear
158,32778,7856,0,0.714728,1.0,0.285272,0.0,0.5,0.525,6.0,linear
159,32711,7765,0,0.716322,1.0,0.283678,0.0,0.5,0.525,6.0,linear
160,32835,7795,0,0.714547,1.0,0.285453,0.0,0.5,0.525,6.0,linear
161,32877,7852,0,0.715812,1.0,0.284188,0.0,0.5,0.525,6.0,linear
162,32601,7728,0,0.7155,1.0,0.2845,0.0,0.5,0.525,6.0,linear
163,32725,7809,0,0.71517,1.0,0.28483,0.0,0.5,0.525,6.0,linear
164,32722,7830,0,0.714261,1.0,0.285739,0.0,0.5,0.525,6.0,linear
165,32913,7807,0,0.714402,1.0,0.285598,0.0,0.5,0.525,6.0,linear
166,32638,7834,0,0.715464,1.0,0.284536,0.0,0.5,0.525,6.0,linear
167,32616,7921,0,0.715162,1.0,0.284838,0.0,0.5,0.525,6.0,linear
168,32728,7876,0,0.716013,1.0,0.283987,0.0,0.5,0.525,6.0,linear
169,32716,7857,0,0.716597,1.0,0.283403,0.0,0.5,0.525,6.0,linear
170,32676,7835,0,0.716215,1.0,0.283785,0.0,0.5,0.525,6.0,linear
171,32906,7812,0,0.716581,1.0,0.283419,0.0,0.5,0.525,6.0,linear
172,32834,7873,0,0.716619,1.0,0.283381,0.0,0.5,0.525,6.0,linear
173,32495,7852,0,0.715622,1.0,0.284378,0.0,0.5,0.525,6.0,linear
174,32486,7977,0,0.715016,1.0,0.284984,0.0,0.5,0.525,6.0,linear
175,32730,7993,0,0.716496,1.0,0.283504,0.0,0.5,0.525,6.0,linear
176,32975,7962,0,0.715505,1.0,0.284495,0.0,0.5,0.525,6.0,linear
177,33011,8002,0,0.714793,1.0,0.285207,0.0,0.5,0.525,6.0,linear
178,33060,8068,0,0.715007,1.0,0.284993,0.0,0.5,0.525,6.0,linear
179,33265,8030,0,0.716185,1.0,0.283815,0.0,0.5,0.525,6.0,linear
180,32997,7999,0,0.716895,1.0,0.283105,0.0,0.5,0.525,6.0,linear
181,33181,8021,0,0.714415,1.0,0.285585,0.0,0.5,0.525,6.0,linear
182,33052,7881,0,0.715789,1.0,0.284211,0.0,0.5,0.525,6.0,linear
183,33372,7801,0,0.715832,1.0,0.284168,0.0,0.5,0.525,6.0,linear
184,33217,7830,0,0.715718,1.0,0.284282,0.0,0.5,0.525,6.0,linear
185,32892,7701,0,0.717211,1.0,0.282789,0.0,0.5,0.525,6.0,linear
186,32608,7627,0,0.717454,1.0,0.282546,0.0,0.5,0.525,6.0,linear
187,32497,7689,0,0.717525,1.0,0.282475,0.0,0.5,0.525,6.0,linear
188,32206,7609,0,0.718079,1.0,0.281921,0.0,0.5,0.525,6.0,linear
189,32329,7659,0,0.716784,1.0,0.283216,0.0,0.5,0.525,6.0,linear
190,32163,7565,0,0.71723,1.0,0.28277,0.0,0.5,0.525,6.0,linear
191,32089,7535,0,0.717179,1.0,0.282821,0.0,0.5,0.525,6.0,linear
192,32178,7505,0,0.717725,1.0,0.282275,0.0,0.5,0.525,6.0,linear
193,32289,7547,0,0.71968,1.0,0.28032,0.0,0.5,0.525,6.0,linear
194,31770,7576,0,0.718282,1.0,0.281718,0.0,0.5,0.525,6.0,linear
195,31810,7552,0,0.716937,1.0,0.283063,0.0,0.5,0.525,6.0,linear
196,31925,7515,0,0.716541,1.0,0.283459,0.0,0.5,0.525,6.0,linear
197,31894,7423,0,0.716423,1.0,0.283577,0.0,0.5,0.525,6.0,linear
198,32081,7577,0,0.716385,1.0,0.283615,0.0,0.5,0.525,6.0,linear
199,31825,7549,0,0.717157,1.0,0.282843,0.0,0.5,0.525,6.0,linear
200,31488,7594,0,0.716325,1.0,0.283675,0.0,0.5,0.525,6.0,linear
201,31815,7652,0,0.717221,1.0,0.282779,0.0,0.5,0.525,6.0,linear
202,32032,7659,0,0.71594,1.0,0.28406,0.0,0.5,0.525,6.0,linear
203,32473,7787,0,0.715563,1.0,0.284437,0.0,0.5,0.525,6.0,linear
204,32334,7741,0,0.715534,1.0,0.284466,0.0,0.5,0.525,6.0,linear
205,32617,7774,0,0.714739,1.0,0.285261,0.0,0.5,0.525,6.0,linear
206,32546,7693,0,0.715039,1.0,0.284961,0.0,0.5,0.525,6.0,linear
207,32706,7687,0,0.716349,1.0,0.283651,0.0,0.5,0.525,6.0,linear
208,32742,7735,0,0.717309,1.0,0.282691,0.0,0.5,0.525,6.0,linear
209,32812,7750,0,0.717482,1.0,0.282518,0.0,0.5,0.525,6.0,linear
210,32507,7795,0,0.715652,1.0,0.284348,0.0,0.5,0.525,6.0,linear
