generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,rate_complete_r2,rate_partial_r2,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,78113,49284,49284,0.0,0.0,0.0,0.0,0.5,0.425,6.0,linear
2,78475,49613,49613,0.0,0.0,0.0,0.0,0.5,0.425,6.0,linear
3,80143,50477,50477,0.0,0.0,0.0,0.0,0.5,0.425,6.0,linear
4,79497,50273,50273,0.0,0.0,0.0,0.0,0.5,0.425,6.0,linear
5,77695,49503,49503,0.0,0.0,0.0,0.0,0.5,0.425,6.0,linear
6,77377,49332,49332,0.0,0.0,0.0,0.0,0.5,0.425,6.0,linear
7,79142,49971,49971,0.0,0.0,0.0,0.0,0.5,0.425,6.0,linear
8,79870,50258,50258,0.0,0.0,0.0,0.0,0.5,0.425,6.0,linear
9,79497,50172,50172,0.0,0.0,0.0,0.0,0.5,0.425,6.0,linear
10,78839,50122,50122,0.0,0.0,0.0,0.0,0.5,0.425,6.0,linear
11,77836,49779,49779,0.0,0.0,0.0,0.0,0.5,0.425,6.0,linear
12,81016,50158,50158,0.0278582,0.032416,0.0,0.0,0.5,0.425,6.0,linear
13,82705,50050,49947,0.0486406,0.0623435,0.0,0.0,0.5,0.425,6.0,linear
14,80998,48645,48287,0.062541,0.0895318,0.0,0.0,0.5,0.425,6.0,linear
15,79860,47429,46717,0.0775489,0.119997,0.0,0.0,0.5,0.425,6.0,linear
16,81363,47274,46021,0.0938655,0.153311,0.0,0.0,0.5,0.425,6.0,linear
17,82970,47115,45263,0.109362,0.183695,0.0,0.0,0.5,0.425,6.0,linear
18,83992,46988,44469,0.124794,0.213394,0.0,0.0,0.5,0.425,6.0,linear
19,83894,46488,43325,0.141467,0.244707,0.0,0.0,0.5,0.425,6.0,linear
20,84829,46263,42490,0.156021,0.271313,0.0,0.0,0.5,0.425,6.0,linear
21,84881,45399,41088,0.16968,0.295772,0.0,0.0,0.5,0.425,6.0,linear
22,84679,44378,39618,0.183681,0.32007,0.0,0.0,0.5,0.425,6.0,linear
23,85075,44038,38836,0.198016,0.346233,0.0,0.0,0.5,0.425,6.0,linear
24,85744,43810,38080,0.209136,0.365707,0.0,0.0,0.5,0.425,6.0,linear
25,86097,43274,37139,0.222443,0.387861,0.0,0.0,0.5,0.425,6.0,linear
26,85718,42454,35923,0.235458,0.410184,0.0,0.0,0.5,0.425,6.0,linear
27,85301,41554,34585,0.249012,0.433161,0.0,0.0,0.5,0.425,6.0,linear
28,85481,41071,33600,0.26228,0.454141,0.0,0.0,0.5,0.425,6.0,linear
29,85316,40176,32300,0.275654,0.474919,0.0,0.0,0.5,0.425,6.0,linear
30,85004,39283,31082,0.289572,0.496247,0.0,0.0,0.5,0.425,6.0,linear
31,84063,38317,29851,0.30344,0.517115,0.0,0.0,0.5,0.425,6.0,linear
32,83731,37353,28681,0.31647,0.53639,0.0,0.0,0.5,0.425,6.0,linear
33,82945,36417,27420,0.329596,0.556253,0.0,0.0,0.5,0.425,6.0,linear
34,81687,35068,25898,0.343866,0.575819,0.0,0.0,0.5,0.425,6.0,linear
35,81103,34255,24814,0.358728,0.596869,0.0,0.0,0.5,0.425,6.0,linear
36,80446,33301,23459,0.373934,0.619581,0.0,0.0,0.5,0.425,6.0,linear
37,78835,31891,21858,0.391695,0.642446,0.0,0.0,0.5,0.425,6.0,linear
38,77422,30612,20449,0.408083,0.664624,0.0,0.0,0.5,0.425,6.0,linear
39,76003,29213,18937,0.425044,0.685417,0.0,0.0,0.5,0.425,6.0,linear
40,74331,27829,17546,0.441451,0.705044,0.0,0.0,0.5,0.425,6.0,linear
41,71843,26098,15963,0.460944,0.727796,0.0,0.0,0.5,0.425,6.0,linear
42,69870,24492,14414,0.478523,0.746193,0.0,0.0,0.5,0.425,6.0,linear
43,67388,22848,12938,0.498737,0.767,0.0,0.0,0.5,0.425,6.0,linear
44,64270,20958,11451,0.521804,0.791147,0.0,0.0,0.5,0.425,6.0,linear
45,61460,19089,10000,0.541877,0.80968,0.0,0.0,0.5,0.425,6.0,linear
46,58205,17463,8680,0.56163,0.829984,0.0,0.0,0.5,0.425,6.0,linear
47,54709,15699,7397,0.580987,0.847082,0.0,0.0,0.5,0.425,6.0,linear
48,50896,13991,6225,0.602659,0.863159,0.0,0.0,0.5,0.425,6.0,linear
49,47041,12386,5134,0.623542,0.880846,0.0,0.0,0.5,0.425,6.0,linear
50,43169,10748,4173,0.648311,0.896018,0.0,0.0,0.5,0.425,6.0,linear
51,39432,9234,3328,0.671169,0.909695,0.0,0.0,0.5,0.425,6.0,linear
52,35490,7795,2590,0.692631,0.920955,0.0,0.0,0.5,0.425,6.0,linear
53,31878,6604,2039,0.715637,0.932307,0.0,0.0,0.5,0.425,6.0,linear
54,27725,5369,1476,0.739765,0.943708,0.0,0.0,0.5,0.425,6.0,linear
55,24089,4244,1082,0.766348,0.954972,0.0,0.0,0.5,0.425,6.0,linear
56,20916,3347,762,0.788365,0.964456,0.0,0.0,0.5,0.425,6.0,linear
57,18073,2630,519,0.81151,0.971226,0.0,0.0,0.5,0.425,6.0,linear
58,15310,1997,335,0.834986,0.978823,0.0,0.0,0.5,0.425,6.0,linear
59,12758,1452,207,0.860042,0.984105,0.0,0.0,0.5,0.425,6.0,linear
