generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,rate_complete_r2,rate_partial_r2,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,78166,49230,49230,0.0,0.0,0.0,0.0,0.5,1.05,6.0,linear
2,78194,49229,49229,0.0,0.0,0.0,0.0,0.5,1.05,6.0,linear
3,79501,50054,50054,0.0,0.0,0.0,0.0,0.5,1.05,6.0,linear
4,80160,50685,50685,0.0,0.0,0.0,0.0,0.5,1.05,6.0,linear
5,79085,50450,50450,0.0,0.0,0.0,0.0,0.5,1.05,6.0,linear
6,77013,49301,49301,0.0,0.0,0.0,0.0,0.5,1.05,6.0,linear
7,77209,49202,49202,0.0,0.0,0.0,0.0,0.5,1.05,6.0,linear
8,79627,50333,50333,0.0,0.0,0.0,0.0,0.5,1.05,6.0,linear
9,79878,50554,50554,0.0,0.0,0.0,0.0,0.5,1.05,6.0,linear
10,78336,49977,49977,0.0,0.0,0.0,0.0,0.5,1.05,6.0,linear
11,77814,49833,49833,0.0,0.0,0.0,0.0,0.5,1.05,6.0,linear
12,83751,49469,49469,0.0659516,0.0764193,0.0,0.0,0.5,1.05,6.0,linear
13,86658,48788,48501,0.109052,0.137328,0.0,0.0,0.5,1.05,6.0,linear
14,86315,47710,46831,0.13537,0.188418,0.000459725,0.0,0.5,1.05,6.0,linear
15,84973,45744,44009,0.164465,0.246364,0.00194734,0.0,0.5,1.05,6.0,linear
16,85318,44482,41612,0.191427,0.299197,0.00541091,0.0,0.5,1.05,6.0,linear
17,85163,42757,38612,0.220639,0.353882,0.0107645,0.0,0.5,1.05,6.0,linear
18,85319,41099,35333,0.247011,0.401537,0.0184708,0.0,0.5,1.05,6.0,linear
19,85402,39784,32410,0.271146,0.442878,0.0286133,0.0,0.5,1.05,6.0,linear
20,85894,38831,29669,0.290647,0.47623,0.0407726,0.0,0.5,1.05,6.0,linear
21,86339,37894,26990,0.310435,0.507638,0.0536235,0.0,0.5,1.05,6.0,linear
22,86285,37085,24421,0.330239,0.538376,0.0678706,0.0,0.5,1.05,6.0,linear
23,85866,35852,21686,0.3488,0.565896,0.0818268,0.0,0.5,1.05,6.0,linear
24,85255,34879,19316,0.365041,0.58961,0.0971027,0.0,0.5,1.05,6.0,linear
25,84958,33785,17001,0.3821,0.615054,0.111647,0.0,0.5,1.05,6.0,linear
26,83940,32349,14558,0.397614,0.638081,0.12663,0.0,0.5,1.05,6.0,linear
27,82999,31198,12699,0.411967,0.658138,0.139425,0.0,0.5,1.05,6.0,linear
28,82626,30278,11108,0.425661,0.676236,0.152196,0.0,0.5,1.05,6.0,linear
29,82267,29424,9812,0.437819,0.690944,0.163739,0.0,0.5,1.05,6.0,linear
30,81310,28253,8400,0.446981,0.703652,0.174071,0.0,0.5,1.05,6.0,linear
31,80240,27419,7381,0.458233,0.71878,0.183681,0.0,0.5,1.05,6.0,linear
32,79221,26450,6327,0.468991,0.73408,0.19059,0.0,0.5,1.05,6.0,linear
33,77997,25593,5506,0.479808,0.747879,0.197247,0.0,0.5,1.05,6.0,linear
34,76738,24590,4707,0.491315,0.761374,0.203902,0.0,0.5,1.05,6.0,linear
35,75750,23832,4093,0.501351,0.774279,0.209683,0.0,0.5,1.05,6.0,linear
36,74093,22781,3529,0.511239,0.785106,0.215487,0.0,0.5,1.05,6.0,linear
37,73060,21926,3036,0.520222,0.79574,0.219408,0.0,0.5,1.05,6.0,linear
38,72067,21149,2717,0.528341,0.805122,0.222859,0.0,0.5,1.05,6.0,linear
39,70843,20547,2381,0.534665,0.812969,0.226626,0.0,0.5,1.05,6.0,linear
40,68915,19491,2072,0.542012,0.822035,0.228498,0.0,0.5,1.05,6.0,linear
41,67544,18721,1782,0.54866,0.829198,0.231599,0.0,0.5,1.05,6.0,linear
42,66245,17916,1624,0.557545,0.839233,0.233098,0.0,0.5,1.05,6.0,linear
43,64348,17155,1479,0.564554,0.846517,0.233996,0.0,0.5,1.05,6.0,linear
44,62532,16529,1286,0.573418,0.854144,0.233619,0.0,0.5,1.05,6.0,linear
45,61221,15880,1146,0.582444,0.86206,0.233744,0.0,0.5,1.05,6.0,linear
46,60053,15322,1019,0.589476,0.869368,0.23502,0.0,0.5,1.05,6.0,linear
47,58342,14548,937,0.596953,0.878095,0.235779,0.0,0.5,1.05,6.0,linear
48,57108,13793,772,0.604252,0.885444,0.236048,0.0,0.5,1.05,6.0,linear
49,55680,13089,645,0.61302,0.89253,0.235696,0.0,0.5,1.05,6.0,linear
50,53658,12301,564,0.618959,0.897565,0.236456,0.0,0.5,1.05,6.0,linear
51,51887,11732,494,0.627108,0.903339,0.235905,0.0,0.5,1.05,6.0,linear
52,50034,11038,417,0.636133,0.909515,0.23481,0.0,0.5,1.05,6.0,linear
53,48358,10487,355,0.6433,0.914597,0.234182,0.0,0.5,1.05,6.0,linear
54,46622,9879,304,0.649866,0.920504,0.233287,0.0,0.5,1.05,6.0,linear
55,45339,9335,246,0.653828,0.925211,0.234246,0.0,0.5,1.05,6.0,linear
56,43444,8652,223,0.661753,0.931883,0.231131,0.0,0.5,1.05,6.0,linear
57,41713,8094,199,0.671016,0.937477,0.230564,0.0,0.5,1.05,6.0,linear
58,39697,7546,165,0.679414,0.943554,0.22927,0.0,0.5,1.05,6.0,linear
59,38707,7152,128,0.688208,0.948255,0.227203,0.0,0.5,1.05,6.0,linear
60,37189,6611,107,0.695612,0.952071,0.225938,0.0,0.5,1.05,6.0,linear
61,35607,6094,95,0.702117,0.956771,0.223412,0.0,0.5,1.05,6.0,linear
62,33915,5742,71,0.708433,0.959386,0.22168,0.0,0.5,1.05,6.0,linear
63,32231,5296,56,0.716368,0.96325,0.21903,0.0,0.5,1.05,6.0,linear
64,31015,4943,35,0.725098,0.967539,0.216933,0.0,0.5,1.05,6.0,linear
65,29532,4500,22,0.734447,0.97172,0.212746,0.0,0.5,1.05,6.0,linear
66,27876,4060,16,0.742021,0.974688,0.211389,0.0,0.5,1.05,6.0,linear
67,26557,3725,13,0.750339,0.97719,0.209182,0.0,0.5,1.05,6.0,linear
68,25236,3374,12,0.758454,0.980983,0.205068,0.0,0.5,1.05,6.0,linear
69,24169,3072,6,0.769271,0.984641,0.198525,0.0,0.5,1.05,6.0,linear
70,22968,2783,4,0.778406,0.985971,0.193583,0.0,0.5,1.05,6.0,linear
71,21963,2571,2,0.784628,0.988738,0.191052,0.0,0.5,1.05,6.0,linear
72,21182,2332,1,0.793997,0.991371,0.185478,0.0,0.5,1.05,6.0,linear
73,20062,2138,2,0.800183,0.992838,0.182021,0.0,0.5,1.05,6.0,linear
74,19257,1944,1,0.809076,0.993809,0.176401,0.0,0.5,1.05,6.0,linear
75,18178,1762,1,0.819109,0.995006,0.168902,0.0,0.5,1.05,6.0,linear
76,17488,1568,1,0.823996,0.995832,0.166144,0.0,0.5,1.05,6.0,linear
77,16939,1410,1,0.835377,0.995958,0.155966,0.0,0.5,1.05,6.0,linear
78,15996,1256,1,0.841678,0.997151,0.151127,0.0,0.5,1.05,6.0,linear
79,15505,1111,0,0.850756,0.998007,0.143317,0.0,0.5,1.05,6.0,linear
80,14901,1000,0,0.858024,0.997997,0.137267,0.0,0.5,1.05,6.0,linear
81,14237,891,0,0.869181,0.998508,0.127203,0.0,0.5,1.05,6.0,linear
82,13867,790,0,0.877983,0.998915,0.118913,0.0,0.5,1.05,6.0,linear
83,13168,698,0,0.885913,0.999431,0.111213,0.0,0.5,1.05,6.0,linear
84,12917,612,0,0.895188,0.999736,0.103063,0.0,0.5,1.05,6.0,linear
85,12548,552,0,0.902134,0.999862,0.0964556,0.0,0.5,1.05,6.0,linear
86,12263,510,0,0.906849,0.999929,0.0922327,0.0,0.5,1.05,6.0,linear
87,11980,474,0,0.91385,1.0,0.0858921,0.0,0.5,1.05,6.0,linear
88,11617,436,0,0.918954,1.0,0.0810081,0.0,0.5,1.05,6.0,linear
89,11538,393,0,0.927489,1.0,0.0725112,0.0,0.5,1.05,6.0,linear
90,11348,335,0,0.931745,1.0,0.0682552,0.0,0.5,1.05,6.0,linear
91,11130,306,0,0.937806,1.0,0.0621935,0.0,0.5,1.05,6.0,linear
92,11033,281,0,0.94333,1.0,0.05667,0.0,0.5,1.05,6.0,linear
93,10883,243,0,0.949452,1.0,0.050548,0.0,0.5,1.05,6.0,linear
94,10621,231,0,0.952352,1.0,0.0476481,0.0,0.5,1.05,6.0,linear
95,10524,202,0,0.952639,1.0,0.047361,0.0,0.5,1.05,6.0,linear
96,10534,179,0,0.956177,1.0,0.0438229,0.0,0.5,1.05,6.0,linear
