drive_fitness,drop_ratio,drive_efficiency,low_density_growth_rate,density_growth_curve,weeks_to_suppression,type
0.600,4.25,0.0,6.0,linear,58.650,TARE
0.600,4.5,0.0,6.0,linear,55.000,TARE
0.600,4.75,0.0,6.0,linear,53.100,TARE
0.600,5.0,0.0,6.0,linear,50.650,TARE
0.625,0.0,0.0,6.0,linear,NAN,TARE
0.625,0.25,0.0,6.0,linear,NAN,TARE
0.625,0.5,0.0,6.0,linear,NAN,TARE
0.625,0.75,0.0,6.0,linear,NAN,TARE
0.625,1.0,0.0,6.0,linear,NAN,TARE
0.625,1.25,0.0,6.0,linear,NAN,TARE
0.625,1.5,0.0,6.0,linear,NAN,TARE
0.625,1.75,0.0,6.0,linear,NAN,TARE
0.625,2.0,0.0,6.0,linear,NAN,TARE
0.625,2.25,0.0,6.0,linear,NAN,TARE
0.625,2.5,0.0,6.0,linear,NAN,TARE
0.625,2.75,0.0,6.0,linear,139.350,TARE
0.625,3.0,0.0,6.0,linear,97.900,TARE
0.625,3.25,0.0,6.0,linear,81.200,TARE
0.625,3.5,0.0,6.0,linear,71.300,TARE
0.625,3.75,0.0,6.0,linear,65.000,TARE
0.625,4.0,0.0,6.0,linear,60.350,TARE
0.625,4.25,0.0,6.0,linear,56.500,TARE
0.625,4.5,0.0,6.0,linear,53.150,TARE
0.625,4.75,0.0,6.0,linear,51.200,TARE
0.625,5.0,0.0,6.0,linear,49.500,TARE
0.650,0.0,0.0,6.0,linear,NAN,TARE
0.650,0.25,0.0,6.0,linear,NAN,TARE
0.650,0.5,0.0,6.0,linear,NAN,TARE
0.650,0.75,0.0,6.0,linear,NAN,TARE
0.650,1.0,0.0,6.0,linear,NAN,TARE
0.650,1.25,0.0,6.0,linear,NAN,TARE
0.650,1.5,0.0,6.0,linear,NAN,TARE
0.650,1.75,0.0,6.0,linear,NAN,TARE
0.650,2.0,0.0,6.0,linear,NAN,TARE
0.650,2.25,0.0,6.0,linear,NAN,TARE
0.650,2.5,0.0,6.0,linear,272.400,TARE
0.650,2.75,0.0,6.0,linear,115.550,TARE
0.650,3.0,0.0,6.0,linear,89.600,TARE
0.650,3.25,0.0,6.0,linear,75.800,TARE
0.650,3.5,0.0,6.0,linear,67.800,TARE
0.650,3.75,0.0,6.0,linear,62.350,TARE
0.650,4.0,0.0,6.0,linear,57.650,TARE
0.650,4.25,0.0,6.0,linear,54.400,TARE
0.650,4.5,0.0,6.0,linear,51.700,TARE
0.650,4.75,0.0,6.0,linear,49.850,TARE
0.650,5.0,0.0,6.0,linear,48.250,TARE
0.675,0.0,0.0,6.0,linear,NAN,TARE
0.675,0.25,0.0,6.0,linear,NAN,TARE
0.675,0.5,0.0,6.0,linear,NAN,TARE
0.675,0.75,0.0,6.0,linear,NAN,TARE
0.675,1.0,0.0,6.0,linear,NAN,TARE
0.675,1.25,0.0,6.0,linear,NAN,TARE
0.675,1.5,0.0,6.0,linear,NAN,TARE
0.675,1.75,0.0,6.0,linear,NAN,TARE
0.675,2.0,0.0,6.0,linear,NAN,TARE
0.675,2.25,0.0,6.0,linear,NAN,TARE
0.675,2.5,0.0,6.0,linear,162.600,TARE
0.675,2.75,0.0,6.0,linear,102.650,TARE
0.675,3.0,0.0,6.0,linear,81.450,TARE
0.675,3.25,0.0,6.0,linear,71.750,TARE
0.675,3.5,0.0,6.0,linear,65.000,TARE
0.675,3.75,0.0,6.0,linear,59.650,TARE
0.675,4.0,0.0,6.0,linear,55.650,TARE
0.675,4.25,0.0,6.0,linear,53.450,TARE
0.675,4.5,0.0,6.0,linear,51.650,TARE
0.675,4.75,0.0,6.0,linear,49.600,TARE
0.675,5.0,0.0,6.0,linear,47.200,TARE
0.700,0.0,0.0,6.0,linear,NAN,TARE
0.700,0.25,0.0,6.0,linear,NAN,TARE
0.700,0.5,0.0,6.0,linear,NAN,TARE
0.700,0.75,0.0,6.0,linear,NAN,TARE
0.700,1.0,0.0,6.0,linear,NAN,TARE
0.700,1.25,0.0,6.0,linear,NAN,TARE
0.700,1.5,0.0,6.0,linear,NAN,TARE
0.700,1.75,0.0,6.0,linear,NAN,TARE
0.700,2.0,0.0,6.0,linear,NAN,TARE
0.700,2.25,0.0,6.0,linear,NAN,TARE
0.700,2.5,0.0,6.0,linear,129.000,TARE
0.700,2.75,0.0,6.0,linear,92.900,TARE
0.700,3.0,0.0,6.0,linear,77.400,TARE
0.700,3.25,0.0,6.0,linear,68.100,TARE
0.700,3.5,0.0,6.0,linear,62.900,TARE
0.700,3.75,0.0,6.0,linear,57.650,TARE
0.700,4.0,0.0,6.0,linear,54.400,TARE
0.700,4.25,0.0,6.0,linear,52.400,TARE
0.700,4.5,0.0,6.0,linear,49.550,TARE
0.700,4.75,0.0,6.0,linear,47.600,TARE
0.700,5.0,0.0,6.0,linear,46.550,TARE
0.725,0.0,0.0,6.0,linear,NAN,TARE
0.725,0.25,0.0,6.0,linear,NAN,TARE
0.725,0.5,0.0,6.0,linear,NAN,TARE
0.725,0.75,0.0,6.0,linear,NAN,TARE
0.725,1.0,0.0,6.0,linear,NAN,TARE
0.725,1.25,0.0,6.0,linear,NAN,TARE
0.725,1.5,0.0,6.0,linear,NAN,TARE
0.725,1.75,0.0,6.0,linear,NAN,TARE
0.725,2.0,0.0,6.0,linear,NAN,TARE
0.725,2.25,0.0,6.0,linear,270.941,TARE
0.725,2.5,0.0,6.0,linear,111.350,TARE
0.725,2.75,0.0,6.0,linear,86.800,TARE
0.725,3.0,0.0,6.0,linear,72.950,TARE
0.725,3.25,0.0,6.0,linear,65.800,TARE
0.725,3.5,0.0,6.0,linear,59.800,TARE
0.725,3.75,0.0,6.0,linear,56.700,TARE
0.725,4.0,0.0,6.0,linear,53.250,TARE
0.725,4.25,0.0,6.0,linear,50.450,TARE
0.725,4.5,0.0,6.0,linear,48.850,TARE
0.725,4.75,0.0,6.0,linear,47.100,TARE
0.725,5.0,0.0,6.0,linear,45.700,TARE
0.750,0.0,0.0,6.0,linear,NAN,TARE
0.750,0.25,0.0,6.0,linear,NAN,TARE
0.750,0.5,0.0,6.0,linear,NAN,TARE
0.750,0.75,0.0,6.0,linear,NAN,TARE
0.750,1.0,0.0,6.0,linear,NAN,TARE
0.750,1.25,0.0,6.0,linear,NAN,TARE
0.750,1.5,0.0,6.0,linear,NAN,TARE
0.750,1.75,0.0,6.0,linear,NAN,TARE
0.750,2.0,0.0,6.0,linear,NAN,TARE
0.750,2.25,0.0,6.0,linear,168.200,TARE
0.750,2.5,0.0,6.0,linear,100.250,TARE
0.750,2.75,0.0,6.0,linear,80.800,TARE
0.750,3.0,0.0,6.0,linear,70.050,TARE
0.750,3.25,0.0,6.0,linear,62.800,TARE
0.750,3.5,0.0,6.0,linear,57.900,TARE
0.750,3.75,0.0,6.0,linear,54.850,TARE
0.750,4.0,0.0,6.0,linear,51.950,TARE
0.750,4.25,0.0,6.0,linear,49.750,TARE
0.750,4.5,0.0,6.0,linear,47.450,TARE
0.750,4.75,0.0,6.0,linear,45.300,TARE
0.750,5.0,0.0,6.0,linear,44.750,TARE
0.775,0.0,0.0,6.0,linear,NAN,TARE
0.775,0.25,0.0,6.0,linear,NAN,TARE
0.775,0.5,0.0,6.0,linear,NAN,TARE
0.775,0.75,0.0,6.0,linear,NAN,TARE
0.775,1.0,0.0,6.0,linear,NAN,TARE
0.775,1.25,0.0,6.0,linear,NAN,TARE
0.775,1.5,0.0,6.0,linear,NAN,TARE
0.775,1.75,0.0,6.0,linear,NAN,TARE
0.775,2.0,0.0,6.0,linear,NAN,TARE
0.775,2.25,0.0,6.0,linear,136.050,TARE
0.775,2.5,0.0,6.0,linear,92.000,TARE
0.775,2.75,0.0,6.0,linear,76.300,TARE
0.775,3.0,0.0,6.0,linear,67.600,TARE
0.775,3.25,0.0,6.0,linear,61.450,TARE
0.775,3.5,0.0,6.0,linear,56.450,TARE
0.775,3.75,0.0,6.0,linear,53.800,TARE
0.775,4.0,0.0,6.0,linear,50.450,TARE
0.775,4.25,0.0,6.0,linear,48.650,TARE
0.775,4.5,0.0,6.0,linear,46.550,TARE
0.775,4.75,0.0,6.0,linear,45.700,TARE
0.775,5.0,0.0,6.0,linear,44.000,TARE
0.800,0.0,0.0,6.0,linear,NAN,TARE
0.800,0.25,0.0,6.0,linear,NAN,TARE
0.800,0.5,0.0,6.0,linear,NAN,TARE
0.800,0.75,0.0,6.0,linear,NAN,TARE
0.800,1.0,0.0,6.0,linear,NAN,TARE
0.800,1.25,0.0,6.0,linear,NAN,TARE
0.800,1.5,0.0,6.0,linear,NAN,TARE
0.800,1.75,0.0,6.0,linear,NAN,TARE
0.800,2.0,0.0,6.0,linear,NAN,TARE
0.800,2.25,0.0,6.0,linear,116.400,TARE
