generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,78555,49505,49505,0.0,0.0,0.95,2.5,6.0,convex
2,78238,49365,49365,0.0,0.0,0.95,2.5,6.0,convex
3,81070,50875,50875,0.0,0.0,0.95,2.5,6.0,convex
4,81933,51461,51461,0.0,0.0,0.95,2.5,6.0,convex
5,74810,48091,48091,0.0,0.0,0.95,2.5,6.0,convex
6,72772,47211,47211,0.0,0.0,0.95,2.5,6.0,convex
7,85799,53380,53380,0.0,0.0,0.95,2.5,6.0,convex
8,86772,53770,53770,0.0,0.0,0.95,2.5,6.0,convex
9,63414,42634,42634,0.0,0.0,0.95,2.5,6.0,convex
10,72437,47196,47196,0.0,0.0,0.95,2.5,6.0,convex
11,96045,58323,58323,0.0,0.0,0.95,2.5,6.0,convex
12,100832,53045,53045,0.148931,0.148931,0.95,2.5,6.0,convex
13,75382,37774,37774,0.238058,0.288663,0.95,2.5,6.0,convex
14,90382,42169,42169,0.237328,0.318409,0.95,2.5,6.0,convex
15,112848,48136,48136,0.256667,0.361709,0.95,2.5,6.0,convex
16,108471,42390,42390,0.288167,0.414063,0.95,2.5,6.0,convex
17,94168,35472,35472,0.332671,0.513429,0.95,2.5,6.0,convex
18,100309,34662,34662,0.356429,0.564411,0.95,2.5,6.0,convex
19,104027,32505,32505,0.374024,0.605232,0.95,2.5,6.0,convex
20,104251,28493,28493,0.393734,0.645586,0.95,2.5,6.0,convex
21,102152,25333,25333,0.412713,0.683612,0.95,2.5,6.0,convex
22,101839,23459,23459,0.428256,0.713196,0.95,2.5,6.0,convex
23,99533,21284,21284,0.441329,0.736648,0.95,2.5,6.0,convex
24,97114,18939,18939,0.456132,0.760766,0.95,2.5,6.0,convex
25,93262,16739,16739,0.470392,0.78227,0.95,2.5,6.0,convex
26,88659,14337,14337,0.485328,0.802197,0.95,2.5,6.0,convex
27,83440,12247,12247,0.501132,0.820665,0.95,2.5,6.0,convex
28,77632,10455,10455,0.517148,0.836924,0.95,2.5,6.0,convex
29,70906,8763,8763,0.534012,0.851933,0.95,2.5,6.0,convex
30,65577,7210,7210,0.552023,0.864414,0.95,2.5,6.0,convex
31,59968,5971,5971,0.572762,0.877264,0.95,2.5,6.0,convex
32,54233,4709,4709,0.598969,0.893208,0.95,2.5,6.0,convex
33,48766,3642,3642,0.628977,0.907699,0.95,2.5,6.0,convex
34,43716,2755,2755,0.664314,0.922844,0.95,2.5,6.0,convex
35,39313,2032,2032,0.701442,0.936833,0.95,2.5,6.0,convex
36,35314,1465,1465,0.74082,0.950026,0.95,2.5,6.0,convex
37,32207,1001,1001,0.782706,0.961852,0.95,2.5,6.0,convex
38,29723,670,670,0.825099,0.971798,0.95,2.5,6.0,convex
39,27743,444,444,0.865985,0.980339,0.95,2.5,6.0,convex
40,25821,275,275,0.90112,0.987451,0.95,2.5,6.0,convex
41,24955,138,138,0.932814,0.993405,0.95,2.5,6.0,convex
42,24044,70,70,0.957996,0.9967,0.95,2.5,6.0,convex
43,23366,38,38,0.976159,0.998303,0.95,2.5,6.0,convex
44,23040,19,19,0.986467,0.999138,0.95,2.5,6.0,convex
45,22832,9,9,0.992989,0.99952,0.95,2.5,6.0,convex
46,22773,4,4,0.996645,0.999825,0.95,2.5,6.0,convex
47,22604,2,2,0.998143,0.999912,0.95,2.5,6.0,convex
48,22392,1,1,0.998996,0.999955,0.95,2.5,6.0,convex
49,22429,1,1,0.999554,0.999955,0.95,2.5,6.0,convex
50,22463,1,1,0.999511,0.999956,0.95,2.5,6.0,convex
51,22662,0,0,0.999846,1.0,0.95,2.5,6.0,convex

