generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,78411,49434,49434,0.0,0.0,0.8,0.6,6.0,concave
2,78454,49097,49097,0.0,0.0,0.8,0.6,6.0,concave
3,78584,49425,49425,0.0,0.0,0.8,0.6,6.0,concave
4,78152,49341,49341,0.0,0.0,0.8,0.6,6.0,concave
5,77834,49485,49485,0.0,0.0,0.8,0.6,6.0,concave
6,77863,49672,49672,0.0,0.0,0.8,0.6,6.0,concave
7,77960,49734,49734,0.0,0.0,0.8,0.6,6.0,concave
8,78170,49811,49811,0.0,0.0,0.8,0.6,6.0,concave
9,78010,49796,49796,0.0,0.0,0.8,0.6,6.0,concave
10,77965,49579,49579,0.0,0.0,0.8,0.6,6.0,concave
11,78093,49560,49560,0.0,0.0,0.8,0.6,6.0,concave
12,81902,49777,49777,0.0397345,0.0466074,0.8,0.6,6.0,concave
13,82967,49048,49048,0.0670669,0.0855698,0.8,0.6,6.0,concave
14,81640,47508,47508,0.0837148,0.117989,0.8,0.6,6.0,concave
15,79404,45266,45266,0.100293,0.149668,0.8,0.6,6.0,concave
16,76474,42694,42694,0.117953,0.184063,0.8,0.6,6.0,concave
17,73067,39664,39664,0.135821,0.217882,0.8,0.6,6.0,concave
18,69555,36494,36494,0.153476,0.250595,0.8,0.6,6.0,concave
19,66040,33620,33620,0.169518,0.280116,0.8,0.6,6.0,concave
20,62857,30932,30932,0.186048,0.310887,0.8,0.6,6.0,concave
21,59996,28441,28441,0.201096,0.338252,0.8,0.6,6.0,concave
22,57185,26305,26305,0.215611,0.364257,0.8,0.6,6.0,concave
23,54308,24175,24175,0.229263,0.389488,0.8,0.6,6.0,concave
24,51319,22102,22102,0.24481,0.419064,0.8,0.6,6.0,concave
25,48704,20023,20023,0.259983,0.445132,0.8,0.6,6.0,concave
26,46985,18529,18529,0.274293,0.469116,0.8,0.6,6.0,concave
27,44489,16949,16949,0.284473,0.486819,0.8,0.6,6.0,concave
28,42503,15638,15638,0.297848,0.510855,0.8,0.6,6.0,concave
29,40002,14121,14121,0.310479,0.530378,0.8,0.6,6.0,concave
30,38474,13296,13296,0.318816,0.543895,0.8,0.6,6.0,concave
31,36328,12101,12101,0.331129,0.564446,0.8,0.6,6.0,concave
32,34800,10980,10980,0.344169,0.584471,0.8,0.6,6.0,concave
33,32873,9927,9927,0.358844,0.606493,0.8,0.6,6.0,concave
34,31559,9167,9167,0.370615,0.623684,0.8,0.6,6.0,concave
35,29807,8284,8284,0.38423,0.645317,0.8,0.6,6.0,concave
36,27915,7468,7468,0.394128,0.658796,0.8,0.6,6.0,concave
37,26651,6776,6776,0.405828,0.676073,0.8,0.6,6.0,concave
38,25605,6134,6134,0.416987,0.691625,0.8,0.6,6.0,concave
39,24242,5411,5411,0.431527,0.711235,0.8,0.6,6.0,concave
40,22825,4828,4828,0.443663,0.725272,0.8,0.6,6.0,concave
41,21290,4319,4319,0.457821,0.744564,0.8,0.6,6.0,concave
42,20013,3804,3804,0.472523,0.759772,0.8,0.6,6.0,concave
43,18602,3301,3301,0.485642,0.775076,0.8,0.6,6.0,concave
44,17632,2854,2854,0.500996,0.79175,0.8,0.6,6.0,concave
45,16413,2466,2466,0.517532,0.806809,0.8,0.6,6.0,concave
46,15163,2075,2075,0.536132,0.819433,0.8,0.6,6.0,concave
47,13928,1788,1788,0.554302,0.833231,0.8,0.6,6.0,concave
48,13000,1540,1540,0.576854,0.850586,0.8,0.6,6.0,concave
49,11992,1256,1256,0.600795,0.870603,0.8,0.6,6.0,concave
50,11182,1022,1022,0.627616,0.883596,0.8,0.6,6.0,concave
51,10203,818,818,0.653527,0.899071,0.8,0.6,6.0,concave
52,9377,639,639,0.685866,0.91609,0.8,0.6,6.0,concave
53,8758,462,462,0.720718,0.929723,0.8,0.6,6.0,concave
54,8011,329,329,0.761587,0.944427,0.8,0.6,6.0,concave
55,7394,248,248,0.795339,0.954218,0.8,0.6,6.0,concave
56,6912,174,174,0.830709,0.964373,0.8,0.6,6.0,concave
57,6592,134,134,0.868044,0.97468,0.8,0.6,6.0,concave
58,6278,87,87,0.899445,0.982903,0.8,0.6,6.0,concave
59,6089,59,59,0.922717,0.98847,0.8,0.6,6.0,concave
60,5885,43,43,0.945234,0.990914,0.8,0.6,6.0,concave
61,5670,26,26,0.957884,0.994179,0.8,0.6,6.0,concave
62,5637,13,13,0.973486,0.997025,0.8,0.6,6.0,concave
63,5451,8,8,0.985657,0.998173,0.8,0.6,6.0,concave
64,5507,3,3,0.988661,0.9991,0.8,0.6,6.0,concave
65,5474,3,3,0.995068,0.999452,0.8,0.6,6.0,concave
66,5491,2,2,0.997087,0.999636,0.8,0.6,6.0,concave
67,5456,1,1,0.998352,0.999817,0.8,0.6,6.0,concave
68,5377,1,1,0.998515,0.999814,0.8,0.6,6.0,concave
69,5397,1,1,0.998981,0.999815,0.8,0.6,6.0,concave
70,5369,0,0,0.999534,1.0,0.8,0.6,6.0,concave

