generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,77749,48955,48955,0.0,0.0,0.45,2.55,6.0,linear
2,78120,49186,49186,0.0,0.0,0.45,2.55,6.0,linear
3,80528,50510,50510,0.0,0.0,0.45,2.55,6.0,linear
4,80335,50735,50735,0.0,0.0,0.45,2.55,6.0,linear
5,78913,50401,50401,0.0,0.0,0.45,2.55,6.0,linear
6,77388,49919,49919,0.0,0.0,0.45,2.55,6.0,linear
7,79057,50435,50435,0.0,0.0,0.45,2.55,6.0,linear
8,78658,49936,49936,0.0,0.0,0.45,2.55,6.0,linear
9,77445,49145,49145,0.0,0.0,0.45,2.55,6.0,linear
10,78336,49491,49491,0.0,0.0,0.45,2.55,6.0,linear
11,79995,50261,50261,0.0,0.0,0.45,2.55,6.0,linear
12,95262,50272,50272,0.140935,0.157455,0.45,2.55,6.0,linear
13,99952,48029,48029,0.220405,0.261305,0.45,2.55,6.0,linear
14,95565,44235,44235,0.254468,0.329408,0.45,2.55,6.0,linear
15,93220,40125,40125,0.289982,0.402842,0.45,2.55,6.0,linear
16,93184,36291,36291,0.321628,0.469146,0.45,2.55,6.0,linear
17,93074,32701,32701,0.34868,0.527569,0.45,2.55,6.0,linear
18,92742,29417,29417,0.370723,0.57179,0.45,2.55,6.0,linear
19,92168,27123,27123,0.388357,0.606945,0.45,2.55,6.0,linear
20,90668,24640,24640,0.402359,0.633317,0.45,2.55,6.0,linear
21,89364,22915,22915,0.414674,0.654744,0.45,2.55,6.0,linear
22,87106,21066,21066,0.426001,0.672958,0.45,2.55,6.0,linear
23,84638,19564,19564,0.434296,0.685548,0.45,2.55,6.0,linear
24,82851,18350,18350,0.442283,0.695499,0.45,2.55,6.0,linear
25,80679,17234,17234,0.449679,0.704088,0.45,2.55,6.0,linear
26,78281,16308,16308,0.455018,0.712028,0.45,2.55,6.0,linear
27,76229,15355,15355,0.461545,0.720216,0.45,2.55,6.0,linear
28,74282,14518,14518,0.468173,0.726458,0.45,2.55,6.0,linear
29,72236,13700,13700,0.477373,0.736913,0.45,2.55,6.0,linear
30,70487,12883,12883,0.48336,0.743037,0.45,2.55,6.0,linear
31,68439,12256,12256,0.490122,0.750413,0.45,2.55,6.0,linear
32,66712,11628,11628,0.498245,0.759791,0.45,2.55,6.0,linear
33,64786,10758,10758,0.505828,0.767972,0.45,2.55,6.0,linear
34,63215,10127,10127,0.514597,0.776629,0.45,2.55,6.0,linear
35,61289,9560,9560,0.522738,0.783968,0.45,2.55,6.0,linear
36,59418,8862,8862,0.530706,0.792227,0.45,2.55,6.0,linear
37,57959,8319,8319,0.539539,0.797559,0.45,2.55,6.0,linear
38,55406,7684,7684,0.547851,0.805621,0.45,2.55,6.0,linear
39,54027,7049,7049,0.559602,0.814781,0.45,2.55,6.0,linear
40,52103,6461,6461,0.571495,0.823625,0.45,2.55,6.0,linear
41,50178,5893,5893,0.583484,0.834322,0.45,2.55,6.0,linear
42,48104,5237,5237,0.598287,0.846095,0.45,2.55,6.0,linear
43,46127,4564,4564,0.614729,0.856879,0.45,2.55,6.0,linear
44,44205,4065,4065,0.630659,0.86455,0.45,2.55,6.0,linear
45,41973,3679,3679,0.648226,0.873522,0.45,2.55,6.0,linear
46,39789,3142,3142,0.666605,0.885319,0.45,2.55,6.0,linear
47,38003,2681,2681,0.687076,0.896452,0.45,2.55,6.0,linear
48,35905,2273,2273,0.710169,0.905845,0.45,2.55,6.0,linear
49,34335,1944,1944,0.733922,0.916633,0.45,2.55,6.0,linear
50,32506,1545,1545,0.761102,0.929497,0.45,2.55,6.0,linear
51,31153,1219,1219,0.790225,0.941684,0.45,2.55,6.0,linear
52,29829,967,967,0.814537,0.949894,0.45,2.55,6.0,linear
53,28555,803,803,0.843599,0.959707,0.45,2.55,6.0,linear
54,27270,618,618,0.867581,0.968939,0.45,2.55,6.0,linear
55,26436,447,447,0.890196,0.977029,0.45,2.55,6.0,linear
56,25889,315,315,0.914295,0.984052,0.45,2.55,6.0,linear
57,24959,206,206,0.931899,0.98842,0.45,2.55,6.0,linear
58,24564,130,130,0.94931,0.992235,0.45,2.55,6.0,linear
59,24096,81,81,0.968117,0.995378,0.45,2.55,6.0,linear
60,23724,46,46,0.978715,0.997084,0.45,2.55,6.0,linear
61,23509,32,32,0.986948,0.998226,0.45,2.55,6.0,linear
62,23008,23,23,0.992201,0.998873,0.45,2.55,6.0,linear
63,23306,14,14,0.993997,0.999316,0.45,2.55,6.0,linear
64,23056,6,6,0.996538,0.999697,0.45,2.55,6.0,linear
65,23147,3,3,0.997971,0.99987,0.45,2.55,6.0,linear
66,22935,1,1,0.998954,0.999956,0.45,2.55,6.0,linear
67,22903,0,0,0.99928,1.0,0.45,2.55,6.0,linear

