generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,78083,49269,49269,0.0,0.0,0.7,2.7,6.0,linear
2,77991,49243,49243,0.0,0.0,0.7,2.7,6.0,linear
3,78746,49740,49740,0.0,0.0,0.7,2.7,6.0,linear
4,79743,50441,50441,0.0,0.0,0.7,2.7,6.0,linear
5,78766,50155,50155,0.0,0.0,0.7,2.7,6.0,linear
6,78579,50180,50180,0.0,0.0,0.7,2.7,6.0,linear
7,78522,50041,50041,0.0,0.0,0.7,2.7,6.0,linear
8,78515,50009,50009,0.0,0.0,0.7,2.7,6.0,linear
9,77638,49727,49727,0.0,0.0,0.7,2.7,6.0,linear
10,78236,49669,49669,0.0,0.0,0.7,2.7,6.0,linear
11,78956,50009,50009,0.0,0.0,0.7,2.7,6.0,linear
12,95670,50197,50197,0.147321,0.164205,0.7,2.7,6.0,linear
13,101486,48203,48203,0.228517,0.269203,0.7,2.7,6.0,linear
14,97116,44285,44285,0.263785,0.33825,0.7,2.7,6.0,linear
15,94134,39831,39831,0.300302,0.415707,0.7,2.7,6.0,linear
16,94075,36094,36094,0.332705,0.483575,0.7,2.7,6.0,linear
17,94136,32192,32192,0.362507,0.54599,0.7,2.7,6.0,linear
18,93268,28406,28406,0.388145,0.597945,0.7,2.7,6.0,linear
19,92074,25440,25440,0.408448,0.637306,0.7,2.7,6.0,linear
20,89600,22646,22646,0.426688,0.669709,0.7,2.7,6.0,linear
21,87540,20312,20312,0.443559,0.697193,0.7,2.7,6.0,linear
22,84481,18092,18092,0.458761,0.720728,0.7,2.7,6.0,linear
23,81470,16150,16150,0.472624,0.741229,0.7,2.7,6.0,linear
24,77693,14321,14321,0.486451,0.758504,0.7,2.7,6.0,linear
25,74057,12578,12578,0.499497,0.772536,0.7,2.7,6.0,linear
26,70390,11233,11233,0.514374,0.786635,0.7,2.7,6.0,linear
27,66228,9918,9918,0.528754,0.80173,0.7,2.7,6.0,linear
28,63075,8677,8677,0.544444,0.81727,0.7,2.7,6.0,linear
29,59754,7500,7500,0.56199,0.831122,0.7,2.7,6.0,linear
30,56105,6480,6480,0.580651,0.845704,0.7,2.7,6.0,linear
31,52206,5409,5409,0.601332,0.860623,0.7,2.7,6.0,linear
32,48996,4505,4505,0.622555,0.871648,0.7,2.7,6.0,linear
33,46042,3823,3823,0.647491,0.883588,0.7,2.7,6.0,linear
34,42914,3205,3205,0.673094,0.897104,0.7,2.7,6.0,linear
35,39925,2594,2594,0.700022,0.910817,0.7,2.7,6.0,linear
36,37602,2066,2066,0.726706,0.924438,0.7,2.7,6.0,linear
37,35291,1626,1626,0.758607,0.936603,0.7,2.7,6.0,linear
38,33385,1235,1235,0.789263,0.949598,0.7,2.7,6.0,linear
39,31656,850,850,0.818816,0.961935,0.7,2.7,6.0,linear
40,30039,594,594,0.856002,0.972092,0.7,2.7,6.0,linear
41,28537,409,409,0.88696,0.980962,0.7,2.7,6.0,linear
42,27465,274,274,0.917516,0.987134,0.7,2.7,6.0,linear
43,26440,162,162,0.941209,0.992091,0.7,2.7,6.0,linear
44,25809,84,84,0.961971,0.995479,0.7,2.7,6.0,linear
45,25236,45,45,0.976107,0.997732,0.7,2.7,6.0,linear
46,24923,25,25,0.986257,0.998803,0.7,2.7,6.0,linear
47,24709,13,13,0.993215,0.999394,0.7,2.7,6.0,linear
48,24581,8,8,0.997074,0.999594,0.7,2.7,6.0,linear
49,24387,5,5,0.998382,0.999754,0.7,2.7,6.0,linear
50,24564,5,5,0.998658,0.999797,0.7,2.7,6.0,linear
51,24310,2,2,0.998931,0.999918,0.7,2.7,6.0,linear
52,24254,1,1,0.999382,0.999959,0.7,2.7,6.0,linear
53,24163,1,1,0.999752,0.999959,0.7,2.7,6.0,linear
54,24469,0,0,0.999775,1.0,0.7,2.7,6.0,linear

