"generation","adult_population_size","adult_female_population_size","juvenile_population_size","adult_drive_frequency","juvenile_drive_frequency","drive_efficiency"
1,78365.65,49320.9,28489.6,0,0,1
2,78263.05,49256.4,29860.2,0,0,1
3,79517.15,50097.8,29465.15,0,0,1
4,80146.9,50670.75,27923.35,0,0,1
5,79005,50287.8,27573.6,0,0,1
6,77720.45,49757.65,28510.85,0,0,1
7,77843.1,49760.65,28980.1,0,0,1
8,78551.65,49941.45,28918.35,0,0,1
9,78872.5,50041.4,28342.6,0,0,1
10,78566.1,49938.9,28663.3,0,0,1
11,78692.5,50085.4,28673.95,0,0,1
12,96852.2,50148.7,28226.9,0.18647795,0.07865675,1
13,103278.75,47679.35,28377.35,0.2730551,0.15873555,1
14,98890.7,43442.05,32997.5,0.30372795,0.22487475,1
15,97101,39361.55,37462.6,0.3362295,0.27847705,1
16,96888.4,35394.2,40416.9,0.3663501,0.3261729,1
17,96412.25,31144.85,42509.3,0.3976369,0.3620968,1
18,95041.55,26966.85,43360.05,0.43026105,0.3840868,1
19,92997.15,23366.6,43147.45,0.4591336,0.40216945,1
20,90278.05,20091.8,41814.65,0.48582405,0.4176932,1
21,68432.6,16946.3,39545.45,0.3841247,0.42518825,1
22,55167.55,14277.05,36579.05,0.31022665,0.42840545,1
23,50578,12139.75,33135.2,0.3231024,0.42718105,1
24,45866.5,10534.3,29903.45,0.32904345,0.42699855,1
25,41359.7,9273.5,27078.85,0.33145935,0.4259834,1
26,37290.25,8308.65,24767.7,0.33155675,0.4254184,1
27,33939,7561.35,22877.65,0.33112945,0.42571275,1
28,31145.35,6902.05,21156.6,0.3314155,0.4259223,1
29,28722.85,6335.85,19784.4,0.33155475,0.4266183,1
30,26652.65,5845.05,18465.2,0.3327874,0.42622405,1
31,24789.95,5427.25,17219.15,0.33319065,0.4268859,1
32,23118.8,5022.75,16083.3,0.3340564,0.42654415,1
33,21562.7,4668.05,15058.2,0.33440565,0.42628015,1
34,20175.7,4357.5,14119.65,0.33471955,0.42699585,1
35,18882.5,4072.95,13263.2,0.33502465,0.4271181,1
36,17669.6,3817.85,12545.55,0.33492315,0.42709145,1
37,16633.2,3576.8,11800.35,0.33539765,0.42517175,1
38,15676.4,3381.05,11154.15,0.3345624,0.4266877,1
39,14780.45,3179.25,10605.05,0.33483165,0.4271849,1
40,14006,2997.7,10063,0.33581995,0.42685225,1
41,13255.95,2847.25,9531,0.3357963,0.42738465,1
42,12564.2,2691.15,8974.95,0.3364286,0.4278634,1
43,11907.3,2543.85,8612.7,0.33668865,0.4270077,1
44,11319.45,2418.2,8124.4,0.3366734,0.42727065,1
45,10716.5,2294.6,7751.75,0.33642645,0.42688275,1
46,10190.9,2178,7406.9,0.3361815,0.4257695,1
47,9735,2093.35,7094.15,0.33577445,0.4273524,1
48,9294.65,1989.7,6810.55,0.3367507,0.4269851,1
49,8928,1914.25,6434.8,0.3367846,0.4273869,1
50,8504.65,1822.95,6261.75,0.33729325,0.4254338,1
51,8162.95,1747.15,5902.8,0.33659915,0.4230974,1
52,7802.8,1697,5736.25,0.33375495,0.42566385,1
53,7483,1632.4,5538.75,0.33359525,0.42582925,1
54,7248.95,1576.9,5319.25,0.3347067,0.42571195,1
55,7003.45,1527.2,5238.65,0.33456385,0.4273559,1
56,6790.65,1476,5029.8,0.33590585,0.42436795,1
57,6583.3,1431.15,4833.8,0.3354795,0.42597295,1
58,6342.4,1378.65,4726.4,0.33504965,0.4268791,1
59,6147.9,1337.9,4517.25,0.3355278,0.4273971,1
60,5943.55,1290.9,4443.7,0.3373763,0.42863795,1
61,5772.4,1246.7,4234.55,0.3395907,0.43058715,1
62,5556.65,1192.9,4087.95,0.3411958,0.4294272,1
63,5357.25,1157.25,3873.9,0.34142665,0.43008495,1
64,5119.6,1106.75,3782.3,0.3413038,0.42719,1
65,4959.65,1079.55,3684.25,0.34004235,0.42955425,1
66,4798.35,1049.7,3589.85,0.3401122,0.42915905,1
67,4665.8,1021.7,3501.55,0.3407294,0.4304557,1
68,4545.4,994.75,3353.35,0.34168195,0.43030815,1
69,4407.55,965.5,3253.5,0.34337675,0.4291233,1
70,4275.45,946.8,3170.55,0.34280115,0.43245085,1
71,4141,919.5,3089.65,0.34401295,0.4304772,1
72,4040.3,894.3,3067.55,0.3449723,0.42944785,1
73,3978.55,881.35,2905.95,0.34478065,0.4313534,1
74,3861.4,858.7,2889.8,0.34531845,0.42935705,1
75,3784.25,858,2838.85,0.34552395,0.4298616,1
76,3718.1,845.75,2818.65,0.34485845,0.43309735,1
77,3669.1,830.55,2718.05,0.34629015,0.43354655,1
78,3585.7,816.55,2720.5,0.348888,0.4327616,1
79,3539.35,807.05,2669.6,0.3506676,0.4320591,1
80,3491.25,805.45,2670.05,0.3503399,0.4299001,1
81,3458.7,794.65,2649.45,0.34712405,0.43242495,1
82,3465.7,804.35,2604.5,0.34777415,0.42319565,1
83,3448.3,806.65,2624.95,0.34395915,0.4268501,1
84,3436.15,811.1,2621.3,0.33976225,0.4200966,1
85,3430.7,822.55,2596.85,0.33635905,0.42705,1
86,3413.3,816.3,2647.25,0.33623465,0.4284664,1
87,3435.15,808,2624.1,0.34188485,0.41867065,1
88,3441.6,817.6,2613.5,0.33600255,0.4169338,1
89,3441.35,830,2672.05,0.33322885,0.41683935,1
90,3481.2,846.25,2679.05,0.3303995,0.41406835,1
91,3522.75,860.5,2663.45,0.3293407,0.4218012,1
92,3537.35,870.65,2791.05,0.331954,0.42061585,1
93,3610,880.25,2779.85,0.33524315,0.42492415,1
94,3648.05,879.05,2837.6,0.33826565,0.4196962,1
95,3718.35,901.5,2819.95,0.33771525,0.4305389,1
96,3718,902.45,2929.1,0.341508,0.4292096,1
97,3798.7,920.8,2864.05,0.34398415,0.42814515,1
98,3806,935.05,2933.15,0.3459914,0.42398225,1
99,3862.7,952.75,2956.1,0.34540585,0.4217159,1
100,3898.9,971.7,3005.5,0.34205495,0.4336388,1
101,3959.6,992.1,3075.25,0.3454953,0.43511045,1
102,4040.7,1011,3155.55,0.3496457,0.43643775,1
103,4126,1022.7,3190.1,0.3538926,0.43595545,1
104,4201.55,1045,3228.55,0.35620955,0.4329334,1
105,4264.85,1056,3313.5,0.35720745,0.432509,1
106,4359.3,1085.2,3284.3,0.35763915,0.4341251,1
107,4387.85,1091.45,3428.3,0.3563409,0.4218337,1
108,4509.4,1133.15,3420.85,0.3553628,0.4333747,1
109,4569.8,1159.25,3546.55,0.3564955,0.42995185,1
110,4668.65,1191.55,3629.4,0.3571201,0.42485935,1
111,4788.8,1236.5,3726.05,0.3533326,0.42280355,1
112,4904.1,1254.7,3823,0.34895285,0.40295895,1
113,5031.75,1295.4,3931.9,0.34638255,0.4288708,1
114,5175.15,1324.2,3984.3,0.344139,0.41896485,1
115,5301.65,1377.05,4091.5,0.34318255,0.4148473,1
116,5441.25,1421.1,4227.2,0.33899665,0.41611055,1
117,5623.4,1493.2,4378.85,0.3395512,0.4038896,1
118,5820.7,1564.75,4540.65,0.3293103,0.4138479,1
119,6059.8,1631.05,4743.95,0.3321356,0.4189114,1
120,6310.75,1700.2,5018.7,0.3391576,0.4112807,1
121,6650.95,1793.1,5131.7,0.33957375,0.4128141,1
122,6947.65,1893.65,5396.65,0.33867505,0.41778425,1
123,7271.75,1999.45,5624.3,0.34238115,0.4173318,1
124,7574.2,2092.15,5904.15,0.34502385,0.422678,1
125,7906.9,2196.1,6130.95,0.34643855,0.41786605,1
126,8266.65,2306.55,6399.1,0.3458151,0.4111421,1
127,8650.35,2447.65,6641.95,0.34119285,0.41821985,1
128,9036.6,2577.55,7036.8,0.34527765,0.4152984,1
129,9533.55,2735.05,7267.25,0.34431465,0.41733015,1
130,9953.55,2869.4,7630.45,0.34450295,0.4262727,1
131,10415.95,3007.6,7899.8,0.348807,0.4172286,1
132,10870,3166.35,8197,0.34754895,0.42036395,1
133,11327,3322.9,8670.45,0.3493608,0.4132324,1
134,11916.55,3534.55,8949.5,0.34521115,0.4119844,1
135,12415.25,3703.3,9356.95,0.3418632,0.41855935,1
136,13018.8,3910,9803.2,0.34383725,0.41938265,1
137,13651.65,4157,10200.75,0.3465208,0.4161486,1
138,14333.75,4394.35,10649.2,0.34527095,0.41862675,1
139,15019.7,4636.8,11093,0.3456179,0.4219004,1
140,15684.15,4854.85,11551.6,0.3490243,0.4196014,1
141,16358.35,5119.3,11950.1,0.3487694,0.41614615,1
142,17063.45,5386.8,12335.55,0.3465753,0.4224512,1
143,17735.5,5664.55,12724.3,0.34798765,0.4216463,1
144,18364.15,5917.25,13136.75,0.3491176,0.41770425,1
145,19050.85,6185.2,13308.2,0.3474338,0.41906805,1
146,19545.1,6389,13642.3,0.3455197,0.41831275,1
147,20025.45,6599,13741.55,0.34668855,0.42213805,1
148,20411.85,6777.7,14050.3,0.349828,0.4207259,1
149,20833.2,6933.1,14117.25,0.35069815,0.421438,1
150,21086.8,7061.95,14217.7,0.35126275,0.42220495,1
151,21318.75,7162,14257.55,0.3525732,0.4252032,1
152,21448.85,7200.85,14300.7,0.3554979,0.4193128,1
153,21555.2,7286.05,14309.55,0.35388195,0.4169457,1
154,21644.7,7344.9,14314.65,0.3520402,0.42147815,1
155,21674.1,7359.5,14471.05,0.3490568,0.42178025,1
156,21759.25,7380.3,14463.25,0.35113305,0.4178507,1
157,21819.85,7410.2,14467.05,0.348348,0.42196505,1
158,21864.75,7400.1,14467.95,0.3492202,0.42252175,1
159,21879.45,7414.3,14528.65,0.35340055,0.42410125,1
160,21934.6,7416.45,14439.2,0.3551277,0.41431385,1
161,21877.45,7408.5,14508.3,0.35002245,0.42361915,1
162,21895.35,7418.4,14494.7,0.34881145,0.42364285,1
163,21912.8,7429.85,14433.35,0.3532893,0.42459425,1
164,21902.15,7442.25,14478.9,0.3561728,0.40913755,1
165,21894.75,7468.1,14531.45,0.35058815,0.4249526,1
166,21998.7,7505.95,14541.9,0.35393395,0.42573395,1
167,22043.85,7549.85,14576.15,0.3564607,0.4231556,1
168,22130.5,7580.5,14585.85,0.3552654,0.4248853,1
169,22171.85,7577.15,14654.95,0.3564316,0.42407205,1
170,22236.7,7580.25,14640.95,0.3573737,0.4220099,1
171,22226.25,7609.55,14750.15,0.35711115,0.4239861,1
172,22320.25,7633.35,14731.05,0.35735085,0.4227928,1
173,22370.2,7645.2,14754.75,0.35742025,0.4248558,1
174,22383.25,7643.4,14769.25,0.35852675,0.42507225,1
175,22451.95,7681.3,14766.75,0.35944885,0.4232592,1
176,22466.55,7683.4,14842.2,0.35842425,0.424131,1
177,22479.7,7696.65,14858.65,0.3586987,0.4249443,1
178,22508.45,7681.7,14841.2,0.35946545,0.4249101,1
179,22523.85,7678.25,14934.1,0.3599195,0.42302355,1
180,22586.95,7692.7,14891.8,0.358447,0.4255218,1
181,22548.15,7673.45,14980.75,0.35924115,0.42306145,1
182,22586.55,7684.7,14952.05,0.3587711,0.42250415,1
183,22650.85,7706.45,15030.25,0.35745725,0.4258841,1
184,22718.7,7730.05,15148.2,0.3587185,0.42338975,1
185,22850.55,7740.25,15184.75,0.35863505,0.42430415,1
186,22956.75,7783.45,15198.9,0.35878325,0.4249058,1
187,23014.5,7815.2,15275.9,0.35921905,0.4236593,1
188,23100.95,7860.15,15381.8,0.359488,0.42480395,1
189,23207.4,7882.85,15462,0.3590424,0.42641035,1
190,23295.5,7878.85,15593.8,0.3605238,0.4232454,1
191,23445.25,7938.45,15588.65,0.35989785,0.42504725,1
192,23560.25,8005.9,15721.55,0.35932885,0.4250624,1
193,23692.5,8066.9,15792.8,0.35882865,0.42346435,1
194,23826.4,8101.15,15935.75,0.35897325,0.4221749,1
195,24000.6,8164.4,15928.45,0.3574655,0.4246227,1
196,24063.3,8197.3,16116.75,0.3585144,0.4232605,1
197,24210.3,8265.9,16101.3,0.3579747,0.42385395,1
198,24360.8,8314.75,16203.55,0.3576527,0.4229567,1
199,24481.15,8361.55,16184.15,0.35675085,0.42473595,1
200,24563.65,8358.1,16397.45,0.357738,0.4231673,1
201,24727.2,8408.75,16325.05,0.35698405,0.42453825,1
202,24727.85,8433.55,16413.4,0.3575345,0.42698035,1
203,24786.45,8427.3,16338.75,0.3604956,0.4277721,1
204,24781.65,8446.1,16397.85,0.3623207,0.42751625,1
205,24806.4,8453.4,16428,0.36377285,0.4241872,1
206,24832.65,8452.9,16412.1,0.36166575,0.42463755,1
207,24884.55,8491.45,16325.4,0.36109395,0.4246313,1
208,24865.25,8496.9,16489.7,0.36011045,0.42724655,1
209,24957.95,8505.2,16419.95,0.36189455,0.42733935,1
210,24964.35,8507.35,16492.4,0.3647447,0.42951345,1
211,24983,8521.45,16459.35,0.3654599,0.4285032,1
212,24955.85,8520.95,16395.3,0.36447015,0.427988,1
213,24925.6,8534.05,16483.4,0.36515665,0.42737505,1
214,24962.1,8532.75,16513.6,0.36667255,0.42911185,1
215,25026.7,8523.25,16443.15,0.36777675,0.42933675,1
216,25017.05,8527.8,16511.75,0.3685949,0.42767545,1
217,25028.65,8530.2,16493.5,0.36724035,0.42763325,1
218,25030.35,8533,16471.7,0.3669579,0.428297,1
219,25038.35,8546.6,16389.45,0.36621965,0.42796635,1
220,24991.4,8573.75,16577.85,0.36637315,0.42774745,1
221,25085.65,8600.7,16457.05,0.3669372,0.4262699,1
222,25124.3,8606.3,16546.9,0.36642675,0.42723205,1
223,25150.15,8596.75,16503.05,0.3660003,0.42816995,1
224,25137.25,8610.1,16532.8,0.36554555,0.4266951,1
225,25163.35,8604.7,16542.05,0.3660564,0.42817155,1
226,25099.35,8587.45,16572.1,0.3667054,0.42726455,1
227,25140.85,8608,16563.1,0.36692955,0.4261532,1
228,25195.05,8631.05,16611.4,0.3664474,0.4284174,1
229,25222.9,8644.75,16545.9,0.36710795,0.43029765,1
230,25214.55,8674.7,16598.55,0.3684567,0.42528925,1
231,25234.6,8675.5,16733,0.3672098,0.42680465,1
232,25291.95,8643.1,16705.1,0.36556845,0.42274115,1
233,25350.5,8650.15,16693.8,0.3632999,0.42740425,1
234,25336.45,8648.65,16629.7,0.3638313,0.42322315,1
235,25313.05,8644.05,16780.8,0.3622857,0.425544,1
236,25332.9,8644.05,16791.7,0.36126005,0.42741945,1
237,25366.8,8650,16691.15,0.3625335,0.4262621,1
238,25320,8645.8,16739.55,0.36387115,0.42481365,1
239,25349.15,8634.8,16650.2,0.362716,0.42593325,1
240,25320.7,8630.1,16791.1,0.3626057,0.42772885,1
241,25404.3,8648.8,16643.35,0.36491055,0.4290444,1
242,25345.35,8633.35,16734.05,0.3657558,0.42834815,1
243,25373.2,8642.7,16685.65,0.3662536,0.42382825,1
244,25362.6,8659.3,16723.05,0.36324825,0.4278735,1
245,25372.9,8663.4,16615.65,0.36443675,0.42927225,1
246,25374.25,8671.35,16658.85,0.36521425,0.42939935,1
247,25362.45,8691.15,16761.95,0.3686567,0.4269819,1
248,25379.8,8680.7,16762.45,0.36757805,0.4253792,1
249,25464.55,8715.2,16636.8,0.36418625,0.42503885,1
250,25407.65,8705.25,16707.8,0.36224555,0.430909,1
251,25393,8705.4,16768.95,0.3666007,0.4274579,1
252,25455.6,8743.9,16655.5,0.36591095,0.4290441,1
253,25407.45,8695.9,16780.65,0.3682106,0.4302956,1
254,25448.4,8708,16692.2,0.3704198,0.42564885,1
255,25422.35,8707.8,16714,0.366417,0.43072165,1
256,25438,8690.3,16700.05,0.36625315,0.43047875,1
257,25393.85,8695.45,16674.5,0.36605105,0.42993115,1
258,25406.15,8693.55,16658.5,0.3701395,0.43151095,1
259,25316.35,8674.4,16694.4,0.3725386,0.43020165,1
260,25321.6,8669.25,16690,0.3720986,0.43067775,1
261,25321.05,8642.25,16629.65,0.37310065,0.43069115,1
262,25293.4,8610.55,16685.4,0.37314275,0.4305187,1
263,25273.25,8597.75,16654.1,0.37319695,0.4306331,1
264,25307.1,8611.45,16677.7,0.3734124,0.43014115,1
265,25298.9,8647.3,16720.85,0.3730177,0.4299769,1
266,25363.45,8686.6,16678.05,0.372616,0.4303389,1
267,25358.9,8711.45,16732,0.372574,0.43007495,1
268,25427.55,8728.85,16739.55,0.37253545,0.42991335,1
269,25463.75,8739,16763,0.3724292,0.43000845,1
270,25515.75,8761.35,16835.8,0.37251895,0.4296502,1
271,25580.5,8773.1,16795.95,0.3723021,0.42997195,1
272,25546.8,8770.75,16875.6,0.3722302,0.42970735,1
