"generation","adult_population_size","adult_female_population_size","juvenile_population_size","adult_drive_frequency","juvenile_drive_frequency","drive_efficiency"
98,78419.1,49890,28544.25,0.0008369623,0.001995407,0.5
99,78375,49864.95,28827.65,0.0007647772,0.00191492,0.5
100,78605.85,49959.1,28709.85,0.000704768,0.001756417,0.5
101,78743.15,50022.8,28615.55,0.00066049885,0.001693133,0.5
102,78678.25,50003.5,28438.6,0.0006300143,0.0015015024,0.5
103,78462.3,49929.35,28754.65,0.00059039605,0.0013743261,0.5
104,78585,49992.5,28482.5,0.0005562783,0.0013859671,0.5
105,78450,49871.45,28337.6,0.00050421195,0.0012647728,0.5
106,78214.75,49776.6,29148.9,0.0004679805,0.00110280075,0.5
107,78828.7,50062.3,28676.4,0.00042465335,0.00109984045,0.5
108,78858.95,50081.1,28401.3,0.0004084675,0.0009835129,0.5
109,78581.55,49979.6,28533.75,0.00037745875,0.00084169355,0.5
110,78433.95,49947.55,28666,0.00033385145,0.00081342025,0.5
111,78506.9,49938.65,28800.75,0.00029491735,0.0007831009,0.5
112,78790.95,50040.45,28518.6,0.0002837122,0.0007397201,0.5
113,78606.25,50029.25,28545.5,0.0002671037,0.0007106336,0.5
114,78557.95,49999.2,28581.7,0.00026600475,0.00059332945,0.5
115,78564.85,50056.35,28595.35,0.00023637975,0.0006146348,0.5
116,78628.8,50050.25,28319.4,0.0002296136,0.00051702445,0.5
117,78348.5,49899.95,28512.75,0.00021262745,0.0005168903,0.5
118,78309.2,49846.2,28742.2,0.00019224776,0.0004714186,0.5
119,78550.35,49951.4,28666.6,0.000171737735,0.0004653447,0.5
120,78699.1,50032.25,28696.9,0.00016887619,0.0003996692,0.5
121,78815.7,50087.65,28406.6,0.000150006195,0.0003604315,0.5
122,78537.2,50002.2,28445.65,0.000134611875,0.000334922895,0.5
123,78473.2,49986.95,28563.7,0.000130034635,0.00026606454,0.5
124,78424.3,49948.95,28845.7,0.000118637945,0.00027957814,0.5
125,78780.4,50100.1,28567,0.000111159205,0.00027002982,0.5
126,78788.15,50085.1,28365.1,9.622018e-05,0.000278539765,0.5
127,78495.2,49918.1,28411.95,0.000100604185,0.00024991841,0.5
128,78288.45,49852.45,28765.85,9.09371235e-05,0.000223735885,0.5
129,78536,49926.95,28592.7,8.47227145e-05,0.000244965875,0.5
